date,stock_id,volume,turnover,open,high,low,close,spread,transactions
2024-09-20,3035,3525941,931807038,269.5,271.0,260.0,261.0,-3.5,8222
2024-09-23,3035,1790053,471427151,262.5,265.5,261.0,262.5,1.5,2597
2024-09-24,3035,3055893,785832793,263.5,263.5,254.0,258.0,-4.5,5234
2024-09-25,3035,6296908,1687193355,263.0,272.0,263.0,266.0,8.0,7404
2024-09-26,3035,3097388,826036171,270.0,270.0,264.0,264.5,-1.5,4477
2024-09-27,3035,6643988,1804584388,267.0,274.5,267.0,268.0,3.5,6298
2024-09-30,3035,3851019,1032628526,265.0,272.5,263.5,266.0,-2.0,3721
2024-10-01,3035,3808283,1005320825,269.5,270.0,260.0,262.0,-4.0,4786
2024-10-04,3035,2265811,590908351,260.5,263.5,257.5,260.0,-2.0,2704
2024-10-07,3035,1909644,501876656,263.0,264.5,260.0,264.0,4.0,3288
2024-10-08,3035,4826487,1238304144,262.0,262.0,252.0,261.0,-3.0,5386
2024-10-09,3035,3178046,839265878,263.5,269.0,259.0,259.0,-2.0,3729
2024-10-11,3035,4118476,1095325674,264.0,269.0,259.5,267.5,8.5,7465
2024-10-14,3035,5309019,1437455034,264.5,274.0,264.5,274.0,6.5,8067
2024-10-15,3035,6429886,1781661828,278.0,280.5,274.5,274.5,0.5,10216
2024-10-16,3035,3030745,816678964,271.0,272.5,268.0,268.5,-6.0,10062
2024-10-17,3035,1987534,534996071,269.5,273.0,267.5,267.5,-1.0,2269
2024-10-18,3035,3122991,824847957,271.0,271.5,260.0,260.0,-7.5,4138
2024-10-21,3035,4810554,1299128510,262.5,273.0,262.0,271.5,11.5,4522
2024-10-22,3035,3012888,814844206,268.5,274.5,267.0,270.5,-1.0,8828
2024-10-23,3035,2000855,538226516,270.0,272.0,267.0,268.0,-2.5,2371
2024-10-24,3035,4183487,1094750079,266.5,267.5,258.0,258.0,-10.0,5405
2024-10-25,3035,4524639,1155652177,260.5,261.0,253.0,254.5,-3.5,4692
2024-10-28,3035,3244545,829712485,257.0,261.0,252.5,253.5,-1.0,3199
2024-10-29,3035,11549444,2749766431,250.0,250.5,233.0,242.0,-11.5,13319
2024-10-30,3035,16745928,3907437014,218.0,244.0,218.0,234.5,-7.5,16027
2024-11-01,3035,11158465,2527315141,224.5,230.5,221.0,229.5,-5.0,11718
2024-11-04,3035,5782029,1326822044,230.0,233.0,225.5,230.0,0.5,5546
2024-11-05,3035,3592780,830828341,227.5,234.0,226.5,231.0,1.0,3495
2024-11-06,3035,4894020,1163743940,233.5,240.0,233.5,240.0,9.0,5135
2024-11-07,3035,4244024,1019629027,241.0,243.5,238.0,238.5,-1.5,4614
2024-11-08,3035,4906796,1153659647,241.0,242.0,231.0,232.5,-6.0,5864
2024-11-11,3035,3578931,827788577,233.0,235.5,227.5,234.0,1.5,3696
2024-11-12,3035,3989813,908820237,230.0,232.0,225.0,225.0,-9.0,5453
2024-11-13,3035,3258473,729471541,226.5,228.0,222.0,222.0,-3.0,3738
2024-11-14,3035,4478229,991407464,224.0,226.5,218.5,220.0,-2.0,4246
2024-11-15,3035,4062481,908549326,221.0,226.5,220.5,226.0,6.0,3923
2024-11-18,3035,3232564,714155014,225.0,225.5,219.0,219.5,-6.5,3496
2024-11-19,3035,5980660,1320267823,222.0,226.5,215.0,223.5,4.0,5827
2024-11-20,3035,3347168,756059048,227.0,229.5,224.0,226.0,2.5,3183
2024-11-21,3035,2334183,528686580,224.5,228.5,223.5,226.0,0.0,2391
2024-11-22,3035,2244572,509316128,229.0,230.5,224.0,224.0,-2.0,2342
2024-11-25,3035,2180628,498232074,227.0,230.0,226.5,229.5,5.5,2504
2024-11-26,3035,2555377,581760602,230.0,230.5,224.5,227.0,-2.5,2583
2024-11-27,3035,3667835,812436663,227.0,229.0,217.0,217.0,-10.0,4759
2024-11-28,3035,3391180,728899422,218.0,218.5,211.0,217.5,0.5,3703
2024-11-29,3035,2529962,554519631,217.0,223.0,214.5,222.0,4.5,3895
2024-12-02,3035,2111788,467838475,222.5,224.0,220.0,220.5,-1.5,2380
2024-12-03,3035,2275693,506580026,223.0,226.0,220.5,220.5,0.0,2301
2024-12-04,3035,3762312,849615465,222.0,228.5,222.0,224.5,4.0,4317
2024-12-05,3035,5157158,1175917843,226.0,232.5,224.0,227.0,2.5,7747
2024-12-06,3035,5953068,1377013351,229.0,234.5,226.0,229.5,2.5,7017
2024-12-09,3035,5993064,1401118576,229.0,238.0,227.0,235.0,5.5,6315
2024-12-10,3035,6823973,1602309208,236.5,241.5,230.5,231.5,-3.5,12730
2024-12-11,3035,3344606,779249366,231.0,236.0,230.0,231.0,-0.5,9025
2024-12-12,3035,2572867,597691250,235.0,235.5,230.0,230.5,-0.5,9334
2024-12-13,3035,2526858,582167841,230.0,233.0,227.5,230.0,-0.5,5756
2024-12-16,3035,10911867,2573550031,233.0,241.5,230.5,233.0,3.0,12340
2024-12-17,3035,23799821,5851577750,235.5,252.0,234.5,245.0,12.0,26693
2024-12-18,3035,9773477,2365236755,244.5,246.5,238.5,239.5,-5.5,10712
2024-12-19,3035,6257613,1458958843,233.0,236.5,230.5,233.5,-6.0,6568
2024-12-20,3035,6041759,1413399332,232.0,240.0,230.0,231.0,-2.5,8150
2024-12-23,3035,3489826,818924963,234.5,236.5,231.5,234.5,3.5,3859
2024-12-24,3035,3408844,798684204,237.0,238.5,232.0,232.0,-2.5,5014
2024-12-25,3035,2291543,538624340,235.0,237.0,233.0,235.0,3.0,3733
2024-12-26,3035,1761117,412480800,237.0,237.0,233.0,233.5,-1.5,4653
2024-12-27,3035,11675499,2850855191,234.5,248.0,232.5,245.5,12.0,11470
2024-12-30,3035,7843527,1890585217,246.0,246.5,238.0,239.0,-6.5,12558
2024-12-31,3035,3744674,896940225,238.5,241.5,236.5,241.0,2.0,3863
2025-01-02,3035,4173725,988397167,240.5,241.0,235.0,235.5,-5.5,5802
2025-01-03,3035,3412317,802324783,238.0,239.5,233.0,233.5,-2.0,3832
2025-01-06,3035,4580477,1099735871,236.5,243.0,234.5,243.0,9.5,5431
2025-01-07,3035,4268615,1036549243,243.0,244.5,240.5,243.5,0.5,5031
2025-01-08,3035,6108009,1484560656,245.5,248.0,239.0,239.5,-4.0,7155
2025-01-09,3035,6469579,1503672710,240.0,241.0,225.5,225.5,-14.0,8709
2025-01-10,3035,3903102,874412448,226.0,228.0,221.5,221.5,-4.0,4691
2025-01-13,3035,6551683,1384820928,221.0,221.0,206.5,207.5,-14.0,8799
2025-01-14,3035,5252283,1087966989,209.5,212.5,203.5,204.5,-3.0,6818
2025-01-15,3035,4154449,864793433,206.0,211.5,205.0,207.0,2.5,4345
2025-01-16,3035,3870386,826133476,212.5,216.5,210.0,216.0,9.0,4186
2025-01-17,3035,2359399,503980885,215.0,216.0,210.5,215.5,-0.5,2589
2025-01-20,3035,2993552,656603150,216.0,222.0,214.5,222.0,6.5,3141
2025-01-21,3035,2486079,554053613,222.0,226.0,219.0,225.5,3.5,3102
2025-01-22,3035,2819639,633460037,228.0,228.0,222.5,225.0,-0.5,3125
2025-02-03,3035,3614335,779119468,216.0,221.0,211.0,217.5,-7.5,6192
2025-02-04,3035,5814961,1315390062,218.0,232.0,218.0,229.0,11.5,6283
2025-02-05,3035,8244418,1955611321,230.0,244.0,229.5,240.0,11.0,14146
2025-02-06,3035,4643482,1107170341,242.0,242.0,236.0,237.5,-2.5,10374
2025-02-07,3035,6124576,1476309578,238.5,243.5,236.5,240.5,3.0,9998
2025-02-10,3035,7134348,1735937270,240.5,249.0,239.0,242.0,1.5,8138
2025-02-11,3035,3540977,853496507,243.5,244.0,238.0,240.0,-2.0,4812
2025-02-12,3035,2639453,635479556,241.0,243.5,238.0,241.0,1.0,5559
2025-02-13,3035,6747765,1656839714,242.0,249.0,242.0,245.5,4.5,7182
2025-02-14,3035,12747850,3207017162,244.5,258.0,243.0,250.5,5.0,12211
2025-02-17,3035,7542167,1898113690,252.0,256.0,249.0,249.0,-1.5,15125
2025-02-18,3035,15290657,3917682026,253.0,262.0,251.0,255.5,6.5,21487
2025-02-19,3035,14451085,3669434518,258.5,263.0,249.5,249.5,-6.0,15457
2025-02-20,3035,7231220,1769730054,249.5,249.5,241.5,243.0,-6.5,17037
2025-02-21,3035,3572074,876559685,244.5,247.0,243.5,245.5,2.5,5358
2025-02-24,3035,9550477,2292787178,235.5,245.5,232.0,245.0,-0.5,8720
2025-02-25,3035,4852581,1159613847,241.0,241.5,237.5,239.0,-6.0,7334
2025-02-26,3035,3913000,933349796,238.0,242.5,236.0,237.0,-2.0,4342
2025-02-27,3035,3233700,775411972,239.0,242.5,238.0,238.5,1.5,3331
2025-03-03,3035,4299396,1017839909,235.5,240.0,233.0,238.0,-0.5,4400
2025-03-04,3035,5735580,1368347164,234.5,245.0,231.5,245.0,7.0,5548
2025-03-05,3035,4967775,1218645351,245.5,248.5,243.5,244.0,-1.0,4487
2025-03-06,3035,3836991,927671581,246.5,246.5,239.0,239.0,-5.0,6264
2025-03-07,3035,3388377,807570236,239.0,243.0,236.0,236.0,-3.0,3878
2025-03-10,3035,16953017,4153447279,250.0,254.0,237.0,237.0,1.0,14764
2025-03-11,3035,8360161,1928405676,234.0,235.5,225.0,230.5,-6.5,12552
2025-03-12,3035,9266857,2099933697,231.5,233.0,221.0,224.5,-6.0,10957
2025-03-13,3035,6152631,1395120402,227.5,232.5,220.5,220.5,-4.0,5914
2025-03-14,3035,4382325,978826205,222.5,227.0,219.0,225.0,4.5,8473
2025-03-17,3035,2878677,650998487,227.0,229.0,223.5,224.5,-0.5,6164
2025-03-18,3035,1587832,360390969,227.5,229.5,224.5,224.5,0.0,2253
2025-03-19,3035,4184991,960612405,229.0,232.0,226.5,226.5,2.0,6290
2025-03-20,3035,6880617,1623795482,230.0,241.0,229.0,238.5,12.0,10020
2025-03-21,3035,11843076,2892783886,240.5,247.0,239.0,245.5,7.0,17753
2025-03-24,3035,7027167,1739071081,249.0,251.5,244.0,244.0,-1.5,8199
2025-03-25,3035,9110436,2255075866,248.0,250.5,242.5,247.0,3.0,10293
2025-03-26,3035,5198500,1289192373,248.5,252.0,245.0,245.5,-1.5,9087
