date,stock_id,volume,turnover,open,high,low,close,TaiwanStockPrice_spread,TaiwanStockPrice_transactions,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2024-09-20,1519,8537196,5266640102,631.0,639.0,605.0,606.0,-16.0,12443,0.0,0.0,0.0,0.0
2024-09-20,2308,9377882,3656363310,395.0,397.5,387.0,387.0,-4.5,7437,0.0,0.0,0.0,0.0
2024-09-20,2344,42691297,879221452,20.6,20.95,20.45,20.45,0.05,9511,0.0,0.0,0.0,0.0
2024-09-20,2379,4792118,2258635467,476.0,478.0,468.5,470.0,-3.0,3690,0.0,0.0,0.0,0.0
2024-09-20,2383,4381812,2081984020,480.5,482.5,471.0,472.0,-3.0,4302,0.0,0.0,0.0,0.0
2024-09-20,2454,9138981,10381805590,1145.0,1155.0,1125.0,1125.0,5.0,8642,0.0,0.0,0.0,0.0
2024-09-20,3035,3525941,931807038,269.5,271.0,260.0,261.0,-3.5,8222,0.0,0.0,0.0,0.0
2024-09-20,3293,3140000,2598170000,829.0,831.0,818.0,830.0,8.0,1457,0.0,0.0,0.0,0.0
2024-09-20,3535,10023109,640177950,63.4,65.5,62.4,63.9,1.2,6368,0.0,0.0,0.0,0.0
2024-09-20,6231,336000,177659000,535.0,535.0,521.0,528.0,7.0,304,0.0,0.0,0.0,0.0
2024-09-20,6643,2052000,2045433000,1015.0,1030.0,980.0,984.0,-31.0,1869,0.0,0.0,0.0,0.0
2024-09-20,8358,1141000,70477600,61.8,62.5,61.3,61.3,0.1,768,0.0,0.0,0.0,0.0
2024-09-20,8932,1250000,106973000,82.0,88.0,81.6,84.8,3.3,822,0.0,0.0,0.0,0.0
2024-09-23,1519,8427998,5396336477,610.0,661.0,610.0,650.0,44.0,10386,0.0,0.0,0.0,0.0
2024-09-23,2308,5102479,1997787898,392.5,393.5,389.0,390.5,3.5,4436,0.0,0.0,0.0,0.0
2024-09-23,2344,15277143,316425947,20.75,20.95,20.55,20.65,0.2,6005,0.0,0.0,0.0,0.0
2024-09-23,2379,2344615,1121794134,474.5,481.0,471.0,480.5,10.5,2609,0.0,0.0,0.0,0.0
2024-09-23,2383,2017110,952382764,474.5,480.0,468.5,468.5,-3.5,2751,0.0,0.0,0.0,0.0
2024-09-23,2454,4562996,5195943045,1125.0,1150.0,1120.0,1145.0,20.0,5228,0.0,0.0,0.0,0.0
2024-09-23,3035,1790053,471427151,262.5,265.5,261.0,262.5,1.5,2597,0.0,0.0,0.0,0.0
2024-09-23,3293,2623000,2206297000,837.0,850.0,826.0,834.0,4.0,2248,0.0,0.0,0.0,0.0
2024-09-23,3535,3098323,194286646,63.9,64.4,61.8,62.0,-1.9,2214,0.0,0.0,0.0,0.0
2024-09-23,6231,247000,131435000,534.0,535.0,521.0,535.0,7.0,224,0.0,0.0,0.0,0.0
2024-09-23,6643,154000,136444000,886.0,886.0,886.0,886.0,-98.0,103,0.0,0.0,0.0,0.0
2024-09-23,8358,984000,60809500,61.7,62.1,61.5,61.8,0.5,636,0.0,0.0,0.0,0.0
2024-09-23,8932,1068000,91382400,83.8,88.3,83.1,85.9,1.1,721,0.0,0.0,0.0,0.0
2024-09-24,1519,5924618,3768729436,650.0,652.0,625.0,635.0,-15.0,11795,0.0,0.0,0.0,0.0
2024-09-24,2308,3933449,1546680723,390.5,397.0,387.0,397.0,6.5,4926,0.0,0.0,0.0,0.0
2024-09-24,2344,28032310,568695702,20.6,20.6,20.1,20.4,-0.25,10358,0.0,0.0,0.0,0.0
2024-09-24,2379,1828580,874423314,480.5,482.5,472.0,481.0,0.5,2225,0.0,0.0,0.0,0.0
2024-09-24,2383,4378808,2019513255,470.0,471.5,457.0,461.5,-7.0,5429,0.0,0.0,0.0,0.0
2024-09-24,2454,7297056,8563842676,1135.0,1195.0,1135.0,1195.0,50.0,14778,0.0,0.0,0.0,0.0
2024-09-24,3035,3055893,785832793,263.5,263.5,254.0,258.0,-4.5,5234,0.0,0.0,0.0,0.0
2024-09-24,3293,2060000,1739176000,834.0,850.0,831.0,850.0,16.0,1716,0.0,0.0,0.0,0.0
2024-09-24,3535,3395671,206119804,61.6,62.7,59.9,60.5,-1.5,2432,0.0,0.0,0.0,0.0
2024-09-24,6231,241000,126324000,535.0,535.0,516.0,530.0,-5.0,229,0.0,0.0,0.0,0.0
2024-09-24,6643,216000,172368000,798.0,798.0,798.0,798.0,-88.0,158,0.0,0.0,0.0,0.0
2024-09-24,8358,788000,48400100,61.7,61.9,61.1,61.5,-0.3,551,0.0,0.0,0.0,0.0
2024-09-24,8932,974000,83963900,85.9,87.9,84.0,87.5,1.6,573,0.0,0.0,0.0,0.0
2024-09-25,1519,6920272,4413466131,641.0,653.0,620.0,648.0,13.0,8241,0.0,0.0,0.0,0.0
2024-09-25,2308,8739750,3482627343,395.0,401.5,395.0,398.0,1.0,9129,0.0,0.0,0.0,0.0
2024-09-25,2344,29449596,610769454,20.5,20.85,20.5,20.75,0.35,8201,0.0,0.0,0.0,0.0
2024-09-25,2379,3723307,1824187379,485.0,494.5,479.0,490.0,9.0,3896,0.0,0.0,0.0,0.0
