date,stock_id,open,high,low,close,volume,turnover,inst_foreign,inst_investment_trust,inst_dealer_self,inst_dealer_hedging
2024-09-20,1519,631.0,639.0,605.0,606.0,8537196,5266640102,0.0,0.0,0.0,0.0
2024-09-20,2308,395.0,397.5,387.0,387.0,9377882,3656363310,0.0,0.0,0.0,0.0
2024-09-20,2344,20.6,20.95,20.45,20.45,42691297,879221452,0.0,0.0,0.0,0.0
2024-09-20,2379,476.0,478.0,468.5,470.0,4792118,2258635467,0.0,0.0,0.0,0.0
2024-09-20,2383,480.5,482.5,471.0,472.0,4381812,2081984020,0.0,0.0,0.0,0.0
2024-09-20,2454,1145.0,1155.0,1125.0,1125.0,9138981,10381805590,0.0,0.0,0.0,0.0
2024-09-20,3035,269.5,271.0,260.0,261.0,3525941,931807038,0.0,0.0,0.0,0.0
2024-09-20,3293,829.0,831.0,818.0,830.0,3140000,2598170000,0.0,0.0,0.0,0.0
2024-09-20,3535,63.4,65.5,62.4,63.9,10023109,640177950,0.0,0.0,0.0,0.0
2024-09-20,6231,535.0,535.0,521.0,528.0,336000,177659000,0.0,0.0,0.0,0.0
2024-09-20,6643,1015.0,1030.0,980.0,984.0,2052000,2045433000,0.0,0.0,0.0,0.0
2024-09-20,8358,61.8,62.5,61.3,61.3,1141000,70477600,0.0,0.0,0.0,0.0
2024-09-20,8932,82.0,88.0,81.6,84.8,1250000,106973000,0.0,0.0,0.0,0.0
2024-09-23,1519,610.0,661.0,610.0,650.0,8427998,5396336477,0.0,0.0,0.0,0.0
2024-09-23,2308,392.5,393.5,389.0,390.5,5102479,1997787898,0.0,0.0,0.0,0.0
2024-09-23,2344,20.75,20.95,20.55,20.65,15277143,316425947,0.0,0.0,0.0,0.0
2024-09-23,2379,474.5,481.0,471.0,480.5,2344615,1121794134,0.0,0.0,0.0,0.0
2024-09-23,2383,474.5,480.0,468.5,468.5,2017110,952382764,0.0,0.0,0.0,0.0
2024-09-23,2454,1125.0,1150.0,1120.0,1145.0,4562996,5195943045,0.0,0.0,0.0,0.0
2024-09-23,3035,262.5,265.5,261.0,262.5,1790053,471427151,0.0,0.0,0.0,0.0
2024-09-23,3293,837.0,850.0,826.0,834.0,2623000,2206297000,0.0,0.0,0.0,0.0
2024-09-23,3535,63.9,64.4,61.8,62.0,3098323,194286646,0.0,0.0,0.0,0.0
2024-09-23,6231,534.0,535.0,521.0,535.0,247000,131435000,0.0,0.0,0.0,0.0
2024-09-23,6643,886.0,886.0,886.0,886.0,154000,136444000,0.0,0.0,0.0,0.0
2024-09-23,8358,61.7,62.1,61.5,61.8,984000,60809500,0.0,0.0,0.0,0.0
2024-09-23,8932,83.8,88.3,83.1,85.9,1068000,91382400,0.0,0.0,0.0,0.0
2024-09-24,1519,650.0,652.0,625.0,635.0,5924618,3768729436,0.0,0.0,0.0,0.0
2024-09-24,2308,390.5,397.0,387.0,397.0,3933449,1546680723,0.0,0.0,0.0,0.0
2024-09-24,2344,20.6,20.6,20.1,20.4,28032310,568695702,0.0,0.0,0.0,0.0
2024-09-24,2379,480.5,482.5,472.0,481.0,1828580,874423314,0.0,0.0,0.0,0.0
2024-09-24,2383,470.0,471.5,457.0,461.5,4378808,2019513255,0.0,0.0,0.0,0.0
2024-09-24,2454,1135.0,1195.0,1135.0,1195.0,7297056,8563842676,0.0,0.0,0.0,0.0
2024-09-24,3035,263.5,263.5,254.0,258.0,3055893,785832793,0.0,0.0,0.0,0.0
2024-09-24,3293,834.0,850.0,831.0,850.0,2060000,1739176000,0.0,0.0,0.0,0.0
2024-09-24,3535,61.6,62.7,59.9,60.5,3395671,206119804,0.0,0.0,0.0,0.0
2024-09-24,6231,535.0,535.0,516.0,530.0,241000,126324000,0.0,0.0,0.0,0.0
2024-09-24,6643,798.0,798.0,798.0,798.0,216000,172368000,0.0,0.0,0.0,0.0
2024-09-24,8358,61.7,61.9,61.1,61.5,788000,48400100,0.0,0.0,0.0,0.0
2024-09-24,8932,85.9,87.9,84.0,87.5,974000,83963900,0.0,0.0,0.0,0.0
2024-09-25,1519,641.0,653.0,620.0,648.0,6920272,4413466131,0.0,0.0,0.0,0.0
2024-09-25,2308,395.0,401.5,395.0,398.0,8739750,3482627343,0.0,0.0,0.0,0.0
2024-09-25,2344,20.5,20.85,20.5,20.75,29449596,610769454,0.0,0.0,0.0,0.0
2024-09-25,2379,485.0,494.5,479.0,490.0,3723307,1824187379,0.0,0.0,0.0,0.0
2024-09-25,2383,467.0,475.0,463.5,473.0,4528976,2126625321,0.0,0.0,0.0,0.0
2024-09-25,2454,1220.0,1230.0,1205.0,1225.0,11480089,13988663410,0.0,0.0,0.0,0.0
