date,stock_id,TaiwanStockPrice_volume,TaiwanStockPrice_turnover,TaiwanStockPrice_open,TaiwanStockPrice_high,TaiwanStockPrice_low,TaiwanStockPrice_close,TaiwanStockPrice_spread,TaiwanStockPrice_transactions,TaiwanStockInstitutionalInvestorsBuySell_buy,TaiwanStockInstitutionalInvestorsBuySell_name,TaiwanStockInstitutionalInvestorsBuySell_sell,TaiwanStockInstitutionalInvestorsBuySell_foreign,TaiwanStockInstitutionalInvestorsBuySell_investment_trust,TaiwanStockInstitutionalInvestorsBuySell_dealer,TaiwanStockInstitutionalInvestorsBuySell_dealer_self,TaiwanStockInstitutionalInvestorsBuySell_dealer_hedging
2024-09-20,1519,8537196,5266640102,631.0,639.0,605.0,606.0,-16.0,12443,0,Foreign_Dealer_Self,0,,,,,
2024-09-20,1519,8537196,5266640102,631.0,639.0,605.0,606.0,-16.0,12443,124000,Investment_Trust,101400,,,,,
2024-09-20,1519,8537196,5266640102,631.0,639.0,605.0,606.0,-16.0,12443,66248,Dealer_self,43519,,,,,
2024-09-20,1519,8537196,5266640102,631.0,639.0,605.0,606.0,-16.0,12443,18200,Dealer_Hedging,22000,,,,,
2024-09-20,1519,8537196,5266640102,631.0,639.0,605.0,606.0,-16.0,12443,3310921,Foreign_Investor,3822169,,,,,
2024-09-23,1519,8427998,5396336477,610.0,661.0,610.0,650.0,44.0,10386,30801,Dealer_Hedging,18457,,,,,
2024-09-23,1519,8427998,5396336477,610.0,661.0,610.0,650.0,44.0,10386,407000,Investment_Trust,100,,,,,
2024-09-23,1519,8427998,5396336477,610.0,661.0,610.0,650.0,44.0,10386,111635,Dealer_self,97105,,,,,
2024-09-23,1519,8427998,5396336477,610.0,661.0,610.0,650.0,44.0,10386,3155701,Foreign_Investor,1348288,,,,,
2024-09-23,1519,8427998,5396336477,610.0,661.0,610.0,650.0,44.0,10386,0,Foreign_Dealer_Self,0,,,,,
2024-09-24,1519,5924618,3768729436,650.0,652.0,625.0,635.0,-15.0,11795,1013214,Foreign_Investor,1698198,,,,,
2024-09-24,1519,5924618,3768729436,650.0,652.0,625.0,635.0,-15.0,11795,0,Foreign_Dealer_Self,0,,,,,
2024-09-24,1519,5924618,3768729436,650.0,652.0,625.0,635.0,-15.0,11795,73038,Dealer_self,58517,,,,,
2024-09-24,1519,5924618,3768729436,650.0,652.0,625.0,635.0,-15.0,11795,10000,Dealer_Hedging,14999,,,,,
2024-09-24,1519,5924618,3768729436,650.0,652.0,625.0,635.0,-15.0,11795,157000,Investment_Trust,353000,,,,,
2024-09-25,1519,6920272,4413466131,641.0,653.0,620.0,648.0,13.0,8241,32000,Investment_Trust,426078,,,,,
2024-09-25,1519,6920272,4413466131,641.0,653.0,620.0,648.0,13.0,8241,118913,Dealer_self,64438,,,,,
2024-09-25,1519,6920272,4413466131,641.0,653.0,620.0,648.0,13.0,8241,18499,Dealer_Hedging,16366,,,,,
2024-09-25,1519,6920272,4413466131,641.0,653.0,620.0,648.0,13.0,8241,1701795,Foreign_Investor,1600623,,,,,
2024-09-25,1519,6920272,4413466131,641.0,653.0,620.0,648.0,13.0,8241,0,Foreign_Dealer_Self,0,,,,,
2024-09-26,1519,9562397,6452480544,665.0,683.0,662.0,678.0,30.0,12111,3075441,Foreign_Investor,2185412,,,,,
2024-09-26,1519,9562397,6452480544,665.0,683.0,662.0,678.0,30.0,12111,0,Foreign_Dealer_Self,0,,,,,
2024-09-26,1519,9562397,6452480544,665.0,683.0,662.0,678.0,30.0,12111,115634,Dealer_self,89356,,,,,
2024-09-26,1519,9562397,6452480544,665.0,683.0,662.0,678.0,30.0,12111,28949,Dealer_Hedging,30196,,,,,
2024-09-26,1519,9562397,6452480544,665.0,683.0,662.0,678.0,30.0,12111,831000,Investment_Trust,35666,,,,,
2024-09-27,1519,8186247,5459181176,684.0,685.0,651.0,660.0,-18.0,15397,55814,Dealer_self,122284,,,,,
2024-09-27,1519,8186247,5459181176,684.0,685.0,651.0,660.0,-18.0,15397,30000,Investment_Trust,264200,,,,,
2024-09-27,1519,8186247,5459181176,684.0,685.0,651.0,660.0,-18.0,15397,15000,Dealer_Hedging,19000,,,,,
2024-09-27,1519,8186247,5459181176,684.0,685.0,651.0,660.0,-18.0,15397,0,Foreign_Dealer_Self,0,,,,,
2024-09-27,1519,8186247,5459181176,684.0,685.0,651.0,660.0,-18.0,15397,1907847,Foreign_Investor,2691548,,,,,
2024-09-30,1519,8229916,5338267544,668.0,677.0,628.0,629.0,-31.0,16292,1669371,Foreign_Investor,2557176,,,,,
2024-09-30,1519,8229916,5338267544,668.0,677.0,628.0,629.0,-31.0,16292,0,Foreign_Dealer_Self,0,,,,,
2024-09-30,1519,8229916,5338267544,668.0,677.0,628.0,629.0,-31.0,16292,64616,Dealer_self,76017,,,,,
2024-09-30,1519,8229916,5338267544,668.0,677.0,628.0,629.0,-31.0,16292,25072,Dealer_Hedging,9354,,,,,
