date,is_trading_day
2025-06-25,True
2025-06-26,True
2025-06-27,True
2025-06-30,True
2025-07-01,True
2025-07-02,True
2025-07-03,True
2025-07-04,True
2025-07-07,True
2025-07-08,True
2025-07-09,True
2025-07-10,True
2025-07-11,True
2025-07-14,True
2025-07-15,True
2025-07-16,True
2025-07-17,True
2025-07-18,True
2025-07-21,True
2025-07-22,True
2025-07-23,True
2025-07-24,True
2025-07-25,True
2025-07-28,True
2025-07-29,True
2025-07-30,True
2025-07-31,True
2025-08-01,True
2025-08-04,True
2025-08-05,True
2025-08-06,True
2025-08-07,True
2025-08-08,True
2025-08-11,True
2025-08-12,True
2025-08-13,True
2025-08-14,True
2025-08-15,True
2025-08-18,True
2025-08-19,True
2025-08-20,True
2025-08-21,True
2025-08-22,True
2025-08-25,True
2025-08-26,True
2025-08-27,True
2025-08-28,True
2025-08-29,True
2025-09-01,True
2025-09-02,True
2025-09-03,True
2025-09-04,True
2025-09-05,True
2025-09-08,True
2025-09-09,True
2025-09-10,True
2025-09-11,True
2025-09-12,True
2025-09-15,True
2025-09-16,True
2025-09-17,True
2025-09-18,True
2025-09-19,True
2025-09-22,True
2025-09-23,True
