date,stock_id,AccountsPayable,AccountsPayableToRelatedParties,AccountsPayableToRelatedParties_per,AccountsPayable_per,AccountsReceivableDuefromRelatedPartiesNet,AccountsReceivableDuefromRelatedPartiesNet_per,AccountsReceivableNet,AccountsReceivableNet_per,BillsReceivableNet,BillsReceivableNet_per,BondsPayable,BondsPayable_per,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplusAdditionalPaidInCapital,CapitalSurplusAdditionalPaidInCapital_per,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod_per,CapitalSurplusDonatedAssetsReceived,CapitalSurplusDonatedAssetsReceived_per,CapitalSurplusNetAssetsFromMerger,CapitalSurplusNetAssetsFromMerger_per,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,CurrentAssets,CurrentAssets_per,CurrentContractLiabilities,CurrentContractLiabilities_per,CurrentDerivativeFinancialLiabilitiesForHedging,CurrentDerivativeFinancialLiabilitiesForHedging_per,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,CurrentIncomeTaxAssets,CurrentIncomeTaxAssets_per,CurrentLiabilities,CurrentLiabilities_per,CurrentProvisions,CurrentProvisions_per,CurrentTaxLiabilities,CurrentTaxLiabilities_per,DeferredTaxAssets,DeferredTaxAssets_per,Equity,EquityAttributableToOwnersOfParent,EquityAttributableToOwnersOfParent_per,Equity_per,FinancialAssetsAtAmortizedCost,FinancialAssetsAtAmortizedCostNonCurrent,FinancialAssetsAtAmortizedCostNonCurrent_per,FinancialAssetsAtAmortizedCost_per,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncome,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent_per,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncome_per,HedgingAinancialAssets,HedgingAinancialAssetsNonCurrent,HedgingAinancialAssetsNonCurrent_per,HedgingAinancialAssets_per,IntangibleAssets,IntangibleAssets_per,Inventories,Inventories_per,InvestmentAccountedForUsingEquityMethod,InvestmentAccountedForUsingEquityMethod_per,LegalReserve,LegalReserve_per,Liabilities,Liabilities_per,LongtermBorrowings,LongtermBorrowings_per,NonCurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,NonCurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,NoncontrollingInterests,NoncontrollingInterests_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,OrdinaryShare,OrdinaryShare_per,OtherCurrentAssets,OtherCurrentAssets_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,OtherNoncurrentAssets,OtherNoncurrentAssets_per,OtherNoncurrentLiabilities,OtherNoncurrentLiabilities_per,OtherPayables,OtherPayables_per,OtherReceivable,OtherReceivable_per,OtherReceivablesDueFromRelatedParties,OtherReceivablesDueFromRelatedParties_per,Prepayments,Prepayments_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,RightOfUseAsset,RightOfUseAsset_per,ShorttermBorrowings,ShorttermBorrowings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,UnappropriatedRetainedEarningsAaccumulatedDeficit,UnappropriatedRetainedEarningsAaccumulatedDeficit_per
2025-06-30,1313,1172889000.0,,,2.38,,,2852589000.0,5.79,709816000.0,1.44,2997891000.0,6.09,13596896000.0,27.6,1170308000.0,,,,,,,,,2.38,3209450000.0,6.52,16800853000.0,34.11,,,,,4087000.0,0.01,,,36466000.0,0.07,7455134000.0,15.13,186171000.0,0.38,34365000.0,0.07,1952976000.0,3.96,24523113000.0,24523113000.0,49.79,49.79,44574000.0,,,0.09,965233000.0,14652792000.0,29.75,1.96,,,,,16635000.0,0.03,7423798000.0,15.07,20840000.0,0.04,1890118000.0,3.84,24734753000.0,50.21,13699523000.0,27.81,,,,,32457013000.0,65.89,17279619000.0,35.08,30000000.0,13596896000.0,27.6,1239194000.0,2.52,395645000.0,0.8,8276570000.0,16.8,324342000.0,0.66,328328000.0,0.67,1082431000.0,2.2,251915000.0,0.51,21989000.0,0.04,,,14180884000.0,28.79,1819932000.0,3.69,1308544000.0,2.66,4525774000.0,9.19,49257866000.0,100.0,49257866000.0,100.0,-411959000.0,-0.84
2025-06-30,1316,364758000.0,,,1.86,,,287318000.0,1.47,25216000.0,0.13,756988000.0,3.86,3670890000.0,18.72,784322000.0,,,,,,,,,4.0,1737721000.0,8.86,14941260000.0,76.2,1234464000.0,6.3,,,3359000.0,0.02,,,2365000.0,0.01,8706373000.0,44.4,0.0,0.0,83623000.0,0.43,28537000.0,0.15,9829447000.0,3888035000.0,19.83,50.13,1050508000.0,174508000.0,0.89,5.36,,28654000.0,0.15,,,,,,242824000.0,1.24,10846707000.0,55.31,,,,,9779712000.0,49.87,118741000.0,0.61,365189000.0,1.86,5941412000.0,30.3,4667899000.0,23.8,1073339000.0,5.47,27743058.0,3670890000.0,18.72,472334000.0,2.41,186382000.0,0.95,-1368000.0,-0.01,210233000.0,1.07,6129000.0,0.03,478112000.0,2.44,44415000.0,0.23,,,469549000.0,2.39,3061793000.0,15.61,-510659000.0,-2.6,128221000.0,0.65,5945507000.0,30.32,19609159000.0,100.0,19609159000.0,100.0,-510659000.0,-2.6
2025-06-30,1414,2199000.0,,,0.05,,,20030000.0,0.48,1315000.0,0.03,,,2200000000.0,52.45,0.0,,,,,,,,,0.0,184160000.0,4.39,901339000.0,21.49,10582000.0,0.25,,,116313000.0,2.77,170000.0,0.0,0.0,0.0,432344000.0,10.31,,,1159000.0,0.03,54392000.0,1.3,3084249000.0,3084249000.0,73.53,73.53,,,,,298631000.0,31099000.0,0.74,7.12,,,,,0.0,0.0,261726000.0,6.24,,,113858000.0,2.71,1110423000.0,26.47,,,,,,,3293333000.0,78.51,678079000.0,16.17,0.0,2200000000.0,52.45,724000.0,0.02,730000.0,0.02,-137111000.0,-3.27,8726000.0,0.21,42714000.0,1.02,42504000.0,1.01,12792000.0,0.3,,,5648000.0,0.13,1452421000.0,34.63,1021360000.0,24.35,,,375000000.0,8.94,4194672000.0,100.0,4194672000.0,100.0,114655000.0,2.73
2025-06-30,1419,230625000.0,8892000.0,0.04,1.02,50360000.0,0.22,364157000.0,1.61,3155000.0,0.01,,,3000413000.0,13.25,67900000.0,,,,,,,,,0.3,878463000.0,3.88,5777796000.0,25.52,37564000.0,0.17,,,575361000.0,2.54,,,465000.0,0.0,4922953000.0,21.74,,,49876000.0,0.22,64659000.0,0.29,15072681000.0,15072681000.0,66.57,66.57,60000000.0,12700000.0,0.06,0.26,865890000.0,7597444000.0,33.55,3.82,,,,,37149000.0,0.16,1217649000.0,5.38,2556299000.0,11.29,910048000.0,4.02,7570082000.0,33.43,1576094000.0,6.96,,,,,16864967000.0,74.48,2647129000.0,11.69,803829.0,3000413000.0,13.25,458000.0,0.0,53440000.0,0.24,6913380000.0,30.53,340371000.0,1.5,251781000.0,1.11,724128000.0,3.2,72373000.0,0.32,368565000.0,1.63,130594000.0,0.58,605889000.0,2.68,5104162000.0,22.54,107213000.0,0.47,3640000000.0,16.08,22642763000.0,100.0,22642763000.0,100.0,3187758000.0,14.08
2025-06-30,1504,9466048000.0,47529000.0,0.04,7.71,218632000.0,0.18,10007769000.0,8.15,682740000.0,0.56,0.0,0.0,21387966000.0,17.42,9672510000.0,9003384000.0,7.33,487130000.0,0.4,,,139800000.0,0.11,7.88,24277666000.0,19.77,57357042000.0,46.71,2514063000.0,2.05,0.0,0.0,27194000.0,0.02,615000.0,0.0,,,32461233000.0,26.43,384357000.0,0.31,170417000.0,0.14,1711525000.0,1.39,75015901000.0,68889550000.0,56.1,61.09,,118086000.0,0.1,,269489000.0,21023053000.0,17.12,0.22,0.0,,,0.0,5735112000.0,4.67,13691300000.0,11.15,3479978000.0,2.83,9465766000.0,7.71,47780709000.0,38.91,5541262000.0,4.51,2580564000.0,2.1,6126351000.0,4.99,65439568000.0,53.29,15319476000.0,12.48,34513022.0,21387966000.0,17.42,509919000.0,0.42,3326763000.0,2.71,5243966000.0,4.27,323055000.0,0.26,1512180000.0,1.23,11172463000.0,9.1,999739000.0,0.81,23197000.0,0.02,936858000.0,0.76,20338437000.0,16.56,33345830000.0,27.16,7034397000.0,5.73,1149891000.0,0.94,122796610000.0,100.0,122796610000.0,100.0,20239285000.0,16.48
2025-06-30,1560,443584000.0,,,3.72,72264000.0,0.61,1199991000.0,10.05,99432000.0,0.83,918520000.0,7.69,1465336000.0,12.27,1532331000.0,,,,,,,,,12.84,1543845000.0,12.93,5365634000.0,44.95,,,,,1399000.0,0.01,0.0,0.0,,,2311962000.0,19.37,,,153057000.0,1.28,57960000.0,0.49,7414963000.0,7121275000.0,59.65,62.11,0.0,,,0.0,,588580000.0,4.93,,,,,,,,2368119000.0,19.84,0.0,0.0,1260213000.0,10.56,4523184000.0,37.89,1052312000.0,8.81,262961000.0,2.2,293688000.0,2.46,6572513000.0,55.05,2211222000.0,18.52,0.0,1465336000.0,12.27,5835000.0,0.05,65242000.0,0.55,-87515000.0,-0.73,693218000.0,5.81,137871000.0,1.15,1389867000.0,11.64,35411000.0,0.3,,,39338000.0,0.33,4620724000.0,38.71,4211123000.0,35.27,41259000.0,0.35,234520000.0,1.96,11938147000.0,100.0,11938147000.0,100.0,2935328000.0,24.59
2025-06-30,1603,466089000.0,21117000.0,0.18,3.93,0.0,0.0,2156179000.0,18.17,34929000.0,0.29,,,1916880000.0,16.15,606844000.0,,,,,,,,,5.11,207192000.0,1.75,7340844000.0,61.86,327174000.0,2.76,,,111487000.0,0.94,,,,,3997902000.0,33.69,2996000.0,0.03,74495000.0,0.63,15242000.0,0.13,7113760000.0,7025106000.0,59.2,59.95,416957000.0,,,3.51,2009752000.0,192975000.0,1.63,16.94,,,,,4144000.0,0.03,2081131000.0,17.54,364649000.0,3.07,374601000.0,3.16,4752290000.0,40.05,,,,,88654000.0,0.75,4525206000.0,38.14,754388000.0,6.36,32841809.0,1916880000.0,16.15,70419000.0,0.59,2550000.0,0.02,367078000.0,3.09,71905000.0,0.61,7894000.0,0.07,379511000.0,3.2,7358000.0,0.06,0.0,0.0,92338000.0,0.78,3306344000.0,27.86,6378476000.0,53.75,22274000.0,0.19,2376562000.0,20.03,11866050000.0,100.0,11866050000.0,100.0,2816470000.0,23.74
2025-06-30,1605,13957946000.0,,,5.16,,,15984449000.0,5.91,317026000.0,0.12,12800000000.0,4.73,44313329000.0,16.38,37314477000.0,,,,,,,,,13.79,15259456000.0,5.64,87236705000.0,32.25,43908000.0,0.02,33056000.0,0.01,117220000.0,0.04,943740000.0,0.35,,,47066000000.0,17.4,,,2099450000.0,0.78,7035730000.0,2.6,143715857000.0,133837370000.0,49.47,53.12,59417000.0,58251000.0,0.02,0.02,,17669702000.0,6.53,,1296000.0,4492000.0,0.0,0.0,11128631000.0,4.11,41870955000.0,15.48,38436900000.0,14.21,10345438000.0,3.82,126808546000.0,46.88,51227152000.0,18.94,60327000.0,0.02,9878487000.0,3.65,183287698000.0,67.75,79742546000.0,29.48,0.0,44313329000.0,16.38,6443126000.0,2.38,5614837000.0,2.08,-5843555000.0,-2.16,6178328000.0,2.28,5392826000.0,1.99,11952397000.0,4.42,6489800000.0,2.4,,,,,82687797000.0,30.57,58053119000.0,21.46,5695175000.0,2.11,11997123000.0,4.43,270524403000.0,100.0,270524403000.0,100.0,44995431000.0,16.63
2025-06-30,1721,178570000.0,,,5.79,,,270169000.0,8.75,8102000.0,0.26,,,1848841000.0,59.91,42255000.0,,,,,,,,,1.37,349531000.0,11.33,1420085000.0,46.02,25688000.0,0.83,,,8094000.0,0.26,0.0,0.0,,,594719000.0,19.27,,,,,86087000.0,2.79,1776131000.0,1776131000.0,57.56,57.56,15650000.0,2800000.0,0.09,0.51,,104542000.0,3.39,,,,,,2313000.0,0.07,736544000.0,23.87,,,35199000.0,1.14,1309796000.0,42.44,588488000.0,19.07,,,,,1665842000.0,53.98,715077000.0,23.17,0.0,1848841000.0,59.91,2402000.0,0.08,156381000.0,5.07,9747000.0,0.32,25608000.0,0.83,,,132584000.0,4.3,,,,,29593000.0,0.96,1358301000.0,44.02,-124712000.0,-4.04,86191000.0,2.79,70647000.0,2.29,3085927000.0,100.0,3085927000.0,100.0,-159911000.0,-5.18
2025-06-30,2023,1510617000.0,0.0,0.0,1.56,713264000.0,0.74,1786313000.0,1.84,1531909000.0,1.58,,,19519972000.0,20.13,4564985000.0,,,,,,,,,4.71,8630886000.0,8.9,26084841000.0,26.9,1041601000.0,1.07,,,61058000.0,0.06,,,105740000.0,0.11,28080623000.0,28.96,143490000.0,0.15,53994000.0,0.06,1847487000.0,1.91,35477832000.0,34891810000.0,35.98,36.59,,,,,,1163827000.0,1.2,,,,,,183303000.0,0.19,8726898000.0,9.0,23351547000.0,24.08,3488666000.0,3.6,61494924000.0,63.41,33166108000.0,34.2,,,586022000.0,0.6,70887915000.0,73.1,33414301000.0,34.46,31923000.0,19519972000.0,20.13,2228277000.0,2.3,8124967000.0,8.38,-1416571000.0,-1.46,786580000.0,0.81,69439000.0,0.07,1423176000.0,1.47,161627000.0,0.17,9226000.0,0.01,1559884000.0,1.61,42546686000.0,43.87,12706038000.0,13.1,410606000.0,0.42,13497000000.0,13.92,96972756000.0,100.0,96972756000.0,100.0,-1697368000.0,-1.75
