date,stock_id,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2025-06-30,1313,,,14601061000.0,-0.11,-145906000.0,,378974000.0,,,-145906000.0,,-145906000.0,,,,,,627882000.0,-248908000.0,-2810264000.0,,,-207039000.0,,14980035000.0,-61133000.0,-2956170000.0,,41869000.0,
2025-06-30,1316,,121897000.0,661126000.0,-0.27,-91304000.0,,287662000.0,,,30597000.0,,30597000.0,,,,121901000.0,,101836000.0,185826000.0,-1216000.0,,,113233000.0,,948788000.0,82636000.0,29381000.0,,-72593000.0,
2025-06-30,1414,,,110329000.0,0.04,9300000.0,,16150000.0,,,9300000.0,,9300000.0,,,,,,20184000.0,-4034000.0,-17802000.0,,,9602000.0,,126479000.0,302000.0,-8502000.0,,13636000.0,
2025-06-30,1419,,0.0,666110000.0,1.09,324802000.0,,270670000.0,,,324802000.0,,324802000.0,,,,0.0,,201141000.0,69529000.0,-634765000.0,,,304513000.0,,936780000.0,-20289000.0,-309963000.0,,234984000.0,
2025-06-30,1504,,39444000.0,11939636000.0,0.69,1448762000.0,,3664334000.0,,,1580630000.0,,1580630000.0,,,,131868000.0,,2183723000.0,1478103000.0,-4923833000.0,,,1917104000.0,0.0,15603970000.0,336474000.0,-3343203000.0,,439001000.0,2508000.0
2025-06-30,1560,,-10266000.0,1435040000.0,1.82,266366000.0,,679723000.0,,,280847000.0,,280847000.0,,,,14481000.0,,327610000.0,352113000.0,-115832000.0,,,336155000.0,,2114763000.0,55308000.0,165015000.0,,-15958000.0,
2025-06-30,1603,,2910000.0,1226514000.0,0.97,153060000.0,,198555000.0,,,153099000.0,,153099000.0,,,,39000.0,8109000.0,37012000.0,169652000.0,138410000.0,,,194226000.0,,1425069000.0,41127000.0,291509000.0,,24574000.0,
2025-06-30,1605,,-952836000.0,43047581000.0,0.12,488450000.0,,3383386000.0,,,365577000.0,,365577000.0,,,,-122873000.0,,2885802000.0,497584000.0,-11717212000.0,,,383995000.0,,46430967000.0,18418000.0,-11351635000.0,,-113589000.0,
2025-06-30,1721,,,436028000.0,-0.65,-119877000.0,,-50897000.0,,,-119877000.0,,-119877000.0,,,,,,46710000.0,-97607000.0,-886000.0,,,-124839000.0,,385131000.0,-4962000.0,-120763000.0,,-27232000.0,
2025-06-30,2023,,-176617000.0,16839137000.0,-0.7,-1363604000.0,,1256008000.0,,,-1491455000.0,,-1491455000.0,,,,-127851000.0,,1355781000.0,-99773000.0,-1521225000.0,,,-1663477000.0,,18095145000.0,-172022000.0,-3012680000.0,,-1563704000.0,
2025-06-30,2033,,,157502000.0,0.05,,,24482000.0,,,4237000.0,,4237000.0,,,,,,17730000.0,6752000.0,0.0,,,6416000.0,,181984000.0,2179000.0,4237000.0,,-336000.0,
2025-06-30,2239,,-600507000.0,4270526000.0,0.96,114483000.0,,569705000.0,,,118254000.0,,118254000.0,,,,3771000.0,,598295000.0,-28590000.0,-2290696000.0,,,121945000.0,,4840231000.0,3691000.0,-2172442000.0,,150535000.0,
2025-06-30,2241,,-16541000.0,172178000.0,-0.13,-13544000.0,,-26559000.0,,,-18683000.0,,-18683000.0,,,,-5139000.0,,40516000.0,-67075000.0,-25699000.0,,,6694000.0,,145619000.0,25377000.0,-44382000.0,,73769000.0,
