date,stock_id,ForeignInvestmentRemainRatio
2024-09-23,2308,34.86
2024-09-24,2308,34.83
2024-09-25,2308,34.89
2024-09-26,2308,34.95
2024-09-27,2308,34.91
2024-09-30,2308,35.01
2024-10-01,2308,34.95
2024-10-04,2308,35.25
2024-10-07,2308,35.29
2024-10-08,2308,35.2
2024-10-09,2308,35.13
2024-10-11,2308,35.1
2024-10-14,2308,35.07
2024-10-15,2308,34.93
2024-10-16,2308,34.98
2024-10-17,2308,34.88
2024-10-18,2308,34.65
2024-10-21,2308,34.68
2024-10-22,2308,34.59
2024-10-23,2308,34.59
2024-10-24,2308,34.61
2024-10-25,2308,34.47
2024-10-28,2308,34.37
2024-10-29,2308,34.34
2024-10-30,2308,34.31
2024-11-01,2308,34.39
2024-11-04,2308,34.41
2024-11-05,2308,34.36
2024-11-06,2308,34.33
2024-11-07,2308,34.4
2024-11-08,2308,34.36
2024-11-11,2308,34.25
2024-11-12,2308,34.18
2024-11-13,2308,34.25
2024-11-14,2308,34.24
2024-11-15,2308,34.22
2024-11-18,2308,34.22
2024-11-19,2308,34.25
2024-11-20,2308,34.29
2024-11-21,2308,34.36
2024-11-22,2308,34.28
2024-11-25,2308,34.26
2024-11-26,2308,34.3
2024-11-27,2308,34.3
2024-11-28,2308,34.38
2024-11-29,2308,34.43
2024-12-02,2308,34.4
2024-12-03,2308,34.42
2024-12-04,2308,34.4
2024-12-05,2308,34.38
2024-12-06,2308,34.28
2024-12-09,2308,34.21
2024-12-10,2308,34.24
2024-12-11,2308,34.08
2024-12-12,2308,34.11
2024-12-13,2308,33.99
2024-12-16,2308,33.91
2024-12-17,2308,33.87
2024-12-18,2308,33.79
2024-12-19,2308,33.8
2024-12-20,2308,33.79
2024-12-23,2308,33.75
2024-12-24,2308,33.72
2024-12-25,2308,33.71
2024-12-26,2308,33.69
2024-12-27,2308,33.67
2024-12-30,2308,33.64
2024-12-31,2308,33.69
2025-01-02,2308,33.56
2025-01-03,2308,33.4
2025-01-06,2308,33.34
2025-01-07,2308,33.2
2025-01-08,2308,33.16
2025-01-09,2308,33.19
2025-01-10,2308,33.19
2025-01-13,2308,33.29
2025-01-14,2308,33.25
2025-01-15,2308,33.22
2025-01-16,2308,33.21
2025-01-17,2308,33.16
2025-01-20,2308,33.16
2025-01-21,2308,33.12
2025-01-22,2308,33.05
2025-01-23,2308,33.04
2025-01-24,2308,33.04
2025-02-03,2308,33.4
2025-02-04,2308,33.42
2025-02-05,2308,33.37
2025-02-06,2308,33.21
2025-02-07,2308,33.23
2025-02-10,2308,33.29
2025-02-11,2308,33.36
2025-02-12,2308,33.43
2025-02-13,2308,33.43
2025-02-14,2308,33.46
2025-02-17,2308,33.44
2025-02-18,2308,33.78
2025-02-19,2308,33.84
2025-02-20,2308,33.96
2025-02-21,2308,34.0
2025-02-24,2308,34.09
2025-02-25,2308,34.18
2025-02-26,2308,34.22
2025-02-27,2308,34.14
2025-03-03,2308,34.34
2025-03-04,2308,34.64
2025-03-05,2308,34.81
2025-03-06,2308,34.86
2025-03-07,2308,35.04
2025-03-10,2308,35.1
2025-03-11,2308,35.16
2025-03-12,2308,35.25
2025-03-13,2308,35.15
2025-03-14,2308,35.27
2025-03-17,2308,35.12
2025-03-18,2308,35.11
2025-03-19,2308,35.15
2025-03-20,2308,35.11
2025-03-21,2308,35.07
2025-03-24,2308,34.96
2025-03-25,2308,34.99
2025-03-26,2308,34.75
2025-03-27,2308,34.82
2025-03-28,2308,34.97
2025-03-31,2308,35.06
2025-04-01,2308,35.1
2025-04-02,2308,35.12
2025-04-07,2308,35.09
2025-04-08,2308,35.1
2025-04-09,2308,35.1
2025-04-10,2308,35.14
2025-04-11,2308,35.09
2025-04-14,2308,35.12
