date,stock_id,buy_Dealer_Hedging,buy_Dealer_self,buy_Foreign_Dealer_Self,buy_Foreign_Investor,buy_Investment_Trust,net_Dealer_Hedging,net_Dealer_self,net_Foreign_Dealer_Self,net_Foreign_Investor,net_Investment_Trust,sell_Dealer_Hedging,sell_Dealer_self,sell_Foreign_Dealer_Self,sell_Foreign_Investor,sell_Investment_Trust,net_Dealer_Hedging_5d,net_Dealer_Hedging_20d,net_Dealer_self_5d,net_Dealer_self_20d,net_Foreign_Dealer_Self_5d,net_Foreign_Dealer_Self_20d,net_Foreign_Investor_5d,net_Foreign_Investor_20d,net_Investment_Trust_5d,net_Investment_Trust_20d
2025-06-25,1313,0,0,0,361000,0,0,-14000,0,71000,0,0,14000,0,290000,0,0.0,0.0,-14000.0,-14000.0,0.0,0.0,71000.0,71000.0,0.0,0.0
2025-06-26,1313,0,36000,0,587021,0,0,19000,0,296021,0,0,17000,0,291000,0,0.0,0.0,5000.0,5000.0,0.0,0.0,367021.0,367021.0,0.0,0.0
2025-06-27,1313,0,15000,0,425000,0,0,-12000,0,129000,0,0,27000,0,296000,0,0.0,0.0,-7000.0,-7000.0,0.0,0.0,496021.0,496021.0,0.0,0.0
2025-06-30,1313,0,37000,0,202000,0,0,13000,0,-110000,0,0,24000,0,312000,0,0.0,0.0,6000.0,6000.0,0.0,0.0,386021.0,386021.0,0.0,0.0
2025-07-01,1313,0,94000,0,581218,0,0,94000,0,336218,0,0,0,0,245000,0,0.0,0.0,100000.0,100000.0,0.0,0.0,722239.0,722239.0,0.0,0.0
2025-07-02,1313,0,1000,0,558818,0,0,-28000,0,306818,0,0,29000,0,252000,0,0.0,0.0,86000.0,72000.0,0.0,0.0,958057.0,1029057.0,0.0,0.0
2025-07-03,1313,0,0,0,879000,0,0,-14000,0,626000,0,0,14000,0,253000,0,0.0,0.0,53000.0,58000.0,0.0,0.0,1288036.0,1655057.0,0.0,0.0
2025-07-04,1313,0,0,0,412000,0,0,0,0,327000,0,0,0,0,85000,0,0.0,0.0,65000.0,58000.0,0.0,0.0,1486036.0,1982057.0,0.0,0.0
2025-07-07,1313,0,2000,0,527000,0,0,2000,0,333000,0,0,0,0,194000,0,0.0,0.0,54000.0,60000.0,0.0,0.0,1929036.0,2315057.0,0.0,0.0
2025-07-08,1313,0,18000,0,682000,0,0,-17000,0,367000,0,0,35000,0,315000,0,0.0,0.0,-57000.0,43000.0,0.0,0.0,1959818.0,2682057.0,0.0,0.0
2025-07-09,1313,0,0,0,313000,0,0,-17000,0,18000,0,0,17000,0,295000,0,0.0,0.0,-46000.0,26000.0,0.0,0.0,1671000.0,2700057.0,0.0,0.0
2025-07-10,1313,0,0,0,265000,0,0,-24000,0,81000,0,0,24000,0,184000,0,0.0,0.0,-56000.0,2000.0,0.0,0.0,1126000.0,2781057.0,0.0,0.0
2025-07-11,1313,0,0,0,577000,0,0,-68000,0,398000,0,0,68000,0,179000,0,0.0,0.0,-124000.0,-66000.0,0.0,0.0,1197000.0,3179057.0,0.0,0.0
2025-07-14,1313,0,10000,0,1794000,0,0,-11000,0,-275000,0,0,21000,0,2069000,0,0.0,0.0,-137000.0,-77000.0,0.0,0.0,589000.0,2904057.0,0.0,0.0
2025-07-15,1313,0,72924,0,5066000,0,0,40924,0,316000,0,0,32000,0,4750000,0,0.0,0.0,-79076.0,-36076.0,0.0,0.0,538000.0,3220057.0,0.0,0.0
2025-07-16,1313,0,32000,0,4482000,0,0,-32924,0,2899000,0,0,64924,0,1583000,0,0.0,0.0,-95000.0,-69000.0,0.0,0.0,3419000.0,6119057.0,0.0,0.0
2025-07-17,1313,0,22000,0,5137949,0,0,-1000,0,2629949,0,0,23000,0,2508000,0,0.0,0.0,-72000.0,-70000.0,0.0,0.0,5967949.0,8749006.0,0.0,0.0
2025-07-18,1313,0,41000,0,1852000,0,0,38000,0,243000,0,0,3000,0,1609000,0,0.0,0.0,34000.0,-32000.0,0.0,0.0,5812949.0,8992006.0,0.0,0.0
2025-07-21,1313,0,0,0,739000,0,0,0,0,-382000,0,0,0,0,1121000,0,0.0,0.0,45000.0,-32000.0,0.0,0.0,5705949.0,8610006.0,0.0,0.0
2025-07-22,1313,0,54000,0,3596000,0,0,44000,0,2630000,0,0,10000,0,966000,0,0.0,0.0,48076.0,12000.0,0.0,0.0,8019949.0,11240006.0,0.0,0.0
2025-07-23,1313,0,111012,0,2484000,0,0,98012,0,255000,0,0,13000,0,2229000,0,0.0,0.0,179012.0,124012.0,0.0,0.0,5375949.0,11424006.0,0.0,0.0
2025-07-24,1313,0,0,0,1096000,0,0,-12,0,-817000,0,0,12,0,1913000,0,0.0,0.0,180000.0,105000.0,0.0,0.0,1929000.0,10310985.0,0.0,0.0
2025-07-25,1313,0,0,0,912000,0,0,-17000,0,-382000,0,0,17000,0,1294000,0,0.0,0.0,125000.0,100000.0,0.0,0.0,1304000.0,9799985.0,0.0,0.0
2025-07-28,1313,0,10228,0,2974000,0,0,9228,0,1532000,0,0,1000,0,1442000,0,0.0,0.0,134228.0,96228.0,0.0,0.0,3218000.0,11441985.0,0.0,0.0
2025-07-29,1313,0,65000,0,1527000,0,0,58000,0,-547000,0,0,7000,0,2074000,0,0.0,0.0,148228.0,60228.0,0.0,0.0,41000.0,10558767.0,0.0,0.0
2025-07-30,1313,0,50000,0,1539000,0,0,22000,0,-1516000,0,0,28000,0,3055000,0,0.0,0.0,72216.0,110228.0,0.0,0.0,-1730000.0,8735949.0,0.0,0.0
2025-07-31,1313,0,57000,0,1247000,0,0,44000,0,-52000,0,0,13000,0,1299000,0,0.0,0.0,116228.0,168228.0,0.0,0.0,-965000.0,8057949.0,0.0,0.0
2025-08-01,1313,0,47000,0,1716000,0,0,47000,0,275000,0,0,0,0,1441000,0,0.0,0.0,180228.0,215228.0,0.0,0.0,-308000.0,8005949.0,0.0,0.0
2025-08-04,1313,0,26000,0,2238000,0,0,-30000,0,38000,0,0,56000,0,2200000,0,0.0,0.0,141000.0,183228.0,0.0,0.0,-1802000.0,7710949.0,0.0,0.0
2025-08-05,1313,0,39000,0,982000,0,0,-7000,0,-303000,0,0,46000,0,1285000,0,0.0,0.0,76000.0,193228.0,0.0,0.0,-1558000.0,7040949.0,0.0,0.0
2025-08-06,1313,0,0,0,1560386,0,0,0,0,905386,0,0,0,0,655000,0,0.0,0.0,54000.0,210228.0,0.0,0.0,863386.0,7928335.0,0.0,0.0
2025-08-07,1313,0,74000,0,822999,0,0,74000,0,118999,0,0,0,0,704000,0,0.0,0.0,84000.0,308228.0,0.0,0.0,1034385.0,7966334.0,0.0,0.0
2025-08-08,1313,0,0,0,650000,0,0,-78000,0,-165000,0,0,78000,0,815000,0,0.0,0.0,-41000.0,298228.0,0.0,0.0,594385.0,7403334.0,0.0,0.0
2025-08-11,1313,0,9000,0,1408000,0,0,9000,0,937000,0,0,0,0,471000,0,0.0,0.0,-2000.0,318228.0,0.0,0.0,1493385.0,8615334.0,0.0,0.0
2025-08-12,1313,0,51000,0,2583875,0,0,51000,0,1516875,0,0,0,0,1067000,0,0.0,0.0,56000.0,328304.0,0.0,0.0,3313260.0,9816209.0,0.0,0.0
2025-08-13,1313,0,13000,0,1932278,0,0,-7000,0,881278,0,0,20000,0,1051000,0,0.0,0.0,49000.0,354228.0,0.0,0.0,3289152.0,7798487.0,0.0,0.0
2025-08-14,1313,0,20000,0,1118996,0,0,20000,0,337996,0,0,0,0,781000,0,0.0,0.0,-5000.0,375228.0,0.0,0.0,3508149.0,5506534.0,0.0,0.0
2025-08-15,1313,0,40000,0,1358000,0,0,23000,0,637000,0,0,17000,0,721000,0,0.0,0.0,96000.0,360228.0,0.0,0.0,4310149.0,5900534.0,0.0,0.0
2025-08-18,1313,0,75282,0,4591640,0,0,65078,0,464640,0,0,10204,0,4127000,0,0.0,0.0,152078.0,425306.0,0.0,0.0,3837789.0,6747174.0,0.0,0.0
2025-08-19,1313,0,88000,0,1074695,0,0,69718,0,-2085305,0,0,18282,0,3160000,0,0.0,0.0,170796.0,451024.0,0.0,0.0,235609.0,2031869.0,0.0,0.0
2025-08-20,1313,0,28000,0,1544999,0,0,4000,0,759499,0,0,24000,0,785500,0,0.0,0.0,181796.0,357012.0,0.0,0.0,113830.0,2536368.0,0.0,0.0
2025-08-21,1313,0,41000,0,1964000,0,0,41000,0,-118000,0,0,0,0,2082000,0,0.0,0.0,202796.0,398024.0,0.0,0.0,-342166.0,3235368.0,0.0,0.0
2025-08-22,1313,0,3000,0,1167000,0,0,-8000,0,165000,0,0,11000,0,1002000,0,0.0,0.0,171796.0,407024.0,0.0,0.0,-814166.0,3782368.0,0.0,0.0
2025-08-25,1313,0,0,0,756000,0,0,-8000,0,-397000,0,0,8000,0,1153000,0,0.0,0.0,98718.0,389796.0,0.0,0.0,-1675806.0,1853368.0,0.0,0.0
