date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,MarginPurchaseTodayBalance_delta,ShortSaleTodayBalance_delta
2024-09-23,2308,81,5,649385,62,3466,3452, ,0,3,0,649385,23,282,262,14,20
2024-09-24,2308,62,1,649385,134,3393,3466, ,0,4,0,649385,20,298,282,-73,16
2024-09-25,2308,186,1,649385,191,3387,3393, ,1,18,0,649385,17,297,298,-6,-1
2024-09-26,2308,282,2,649385,86,3581,3387, ,1,5,0,649385,9,301,297,194,4
2024-09-27,2308,651,23,649385,319,3890,3581, ,1,11,0,649385,27,317,301,309,16
2024-09-30,2308,306,0,649385,328,3868,3890, ,0,78,0,649385,9,248,317,-22,-69
2024-10-01,2308,166,0,649385,208,3826,3868, ,1,32,0,649385,15,231,248,-42,-17
2024-10-04,2308,789,0,649385,283,4332,3826, ,1,87,0,649385,5,149,231,506,-82
2024-10-07,2308,280,5,649385,183,4424,4332, ,11,16,0,649385,13,146,149,92,-3
2024-10-08,2308,82,0,649385,440,4066,4424, ,4,7,0,649385,34,173,146,-358,27
2024-10-09,2308,162,1,649385,147,4080,4066, ,1,8,0,649385,7,172,173,14,-1
2024-10-11,2308,151,0,649385,141,4090,4080, ,0,1,1,649385,2,172,172,10,0
2024-10-14,2308,282,0,649385,281,4091,4090, ,0,1,0,649385,29,200,172,1,28
2024-10-15,2308,814,1,649385,485,4419,4091, ,5,14,0,649385,46,232,200,328,32
2024-10-16,2308,352,0,649385,921,3850,4419, ,0,30,0,649385,8,210,232,-569,-22
2024-10-17,2308,76,0,649385,162,3764,3850, ,0,10,0,649385,5,205,210,-86,-5
2024-10-18,2308,678,0,649385,871,3571,3764, ,0,2,0,649385,56,259,205,-193,54
2024-10-21,2308,170,1,649385,97,3643,3571, ,0,9,0,649385,82,332,259,72,73
2024-10-22,2308,169,0,649385,102,3710,3643, ,0,81,0,649385,20,271,332,67,-61
2024-10-23,2308,147,0,649385,60,3797,3710, ,0,14,0,649385,1,258,271,87,-13
2024-10-24,2308,101,3,649385,101,3794,3797, ,2,18,0,649385,13,253,258,-3,-5
2024-10-25,2308,59,2,649385,137,3714,3794, ,2,1,0,649385,40,292,253,-80,39
2024-10-28,2308,315,0,649385,335,3694,3714, ,1,4,0,649385,15,303,292,-20,11
