date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ret_1d,ret_5d,ret_20d
2024-09-23,2308,5102479,1997787898,392.5,393.5,389.0,390.5,3.5,4436,,,
2024-09-24,2308,3933449,1546680723,390.5,397.0,387.0,397.0,6.5,4926,0.016645326504481472,,
2024-09-25,2308,8739750,3482627343,395.0,401.5,395.0,398.0,1.0,9129,0.0025188916876575096,,
2024-09-26,2308,7688086,3052648330,394.0,399.0,394.0,396.0,-2.0,7114,-0.005025125628140725,,
2024-09-27,2308,10223004,4098055175,398.0,404.0,397.5,400.0,4.0,8959,0.010101010101010166,,
2024-09-30,2308,8858681,3422312606,389.5,395.0,380.5,380.5,-19.5,11650,-0.04874999999999996,-0.025608194622279146,
2024-10-01,2308,5988958,2295918032,379.5,388.0,379.5,384.5,4.0,5757,0.010512483574244502,-0.03148614609571787,
2024-10-04,2308,19998727,7389963712,372.0,376.5,366.0,366.0,-18.5,26214,-0.04811443433029905,-0.08040201005025127,
2024-10-07,2308,16223402,5987231615,371.5,377.5,363.5,372.5,6.5,15544,0.01775956284153013,-0.059343434343434365,
2024-10-08,2308,10805050,4068450479,371.0,382.0,370.0,382.0,9.5,8893,0.025503355704697972,-0.04500000000000004,
2024-10-09,2308,9432998,3610184958,387.0,387.5,379.0,381.5,-0.5,8296,-0.0013089005235602524,0.0026281208935610145,
2024-10-11,2308,5922762,2263075134,381.0,386.5,378.5,380.0,-1.5,6434,-0.003931847968545177,-0.011703511053316018,
2024-10-14,2308,6674065,2570270159,376.5,389.0,376.5,387.5,7.5,6964,0.019736842105263053,0.058743169398907114,
2024-10-15,2308,12290154,4870930660,388.0,400.5,387.5,398.5,11.0,13202,0.028387096774193488,0.06979865771812088,
2024-10-16,2308,9668211,3772628219,393.0,396.0,387.0,389.0,-9.5,11932,-0.023839397741530766,0.018324607329842868,
2024-10-17,2308,7042283,2745195850,394.5,394.5,385.5,392.0,3.0,5626,0.007712082262210762,0.02752293577981657,
2024-10-18,2308,13313219,5337898325,397.0,405.0,395.0,402.0,10.0,13790,0.025510204081632626,0.05789473684210522,
2024-10-21,2308,5461118,2187650911,403.0,404.0,397.5,400.0,-2.0,6040,-0.00497512437810943,0.032258064516129004,
2024-10-22,2308,6391484,2564878639,400.0,404.5,396.0,404.5,4.5,5897,0.011249999999999982,0.015056461731492998,
2024-10-23,2308,3546282,1415767296,400.0,401.5,397.0,398.5,-6.0,4321,-0.014833127317676165,0.024421593830334265,
2024-10-24,2308,5462187,2160291526,395.0,398.5,393.5,393.5,-5.0,5199,-0.012547051442910906,0.003826530612244916,0.007682458386683688
2024-10-25,2308,6743665,2689454608,393.0,402.0,393.0,402.0,8.5,6624,0.021601016518424387,0.0,0.012594458438287104
2024-10-28,2308,8839968,3588029105,404.0,413.0,401.5,405.0,3.0,9567,0.00746268656716409,0.012499999999999956,0.017587939698492372
2024-10-29,2308,8861027,3555610604,401.5,406.0,396.5,406.0,1.0,6962,0.0024691358024691024,0.003708281829418958,0.025252525252525304
2024-10-30,2308,15484584,6245035719,407.0,407.5,399.0,404.0,-2.0,9059,-0.0049261083743842304,0.013801756587201952,0.010000000000000009
2024-11-01,2308,13680516,5332824946,381.0,396.0,381.0,390.5,-13.5,16392,-0.033415841584158446,-0.007623888182973326,0.026281208935611033
2024-11-04,2308,8853431,3464532422,388.0,395.0,388.0,395.0,4.5,7077,0.011523687580025532,-0.01741293532338306,0.027308192457737412
2024-11-05,2308,5889730,2343125507,392.0,403.0,391.0,398.5,3.5,5516,0.008860759493670933,-0.016049382716049387,0.0887978142076502
2024-11-06,2308,7390256,2961383296,396.0,403.0,395.0,403.0,4.5,6973,0.01129234629861986,-0.007389162561576401,0.08187919463087256
2024-11-07,2308,6476590,2591209094,403.0,403.0,397.0,399.0,-4.0,5779,-0.00992555831265507,-0.012376237623762387,0.04450261780104703
2024-11-08,2308,7875153,3151999912,400.0,403.0,398.0,400.0,1.0,4851,0.0025062656641603454,0.02432778489116516,0.04849279161205766
2024-11-11,2308,8120403,3245287791,400.0,402.0,396.5,401.0,1.0,4386,0.0024999999999999467,0.0151898734177216,0.0552631578947369
2024-11-12,2308,12787890,5123408461,400.0,409.0,395.5,397.0,-4.0,12924,-0.009975062344139696,-0.0037641154328732496,0.02451612903225797
2024-11-13,2308,6338390,2494169393,392.0,397.0,391.5,393.5,-3.5,8216,-0.008816120906801062,-0.023573200992555776,-0.012547051442910906
2024-11-14,2308,7491836,2917167487,395.0,395.5,386.0,389.0,-4.5,9970,-0.01143583227445999,-0.02506265664160401,0.0
2024-11-15,2308,5194661,2015305461,392.0,393.5,386.0,386.0,-3.0,6524,-0.007712082262210762,-0.03500000000000003,-0.015306122448979553
2024-11-18,2308,4289267,1654431864,386.5,389.0,383.5,386.5,0.5,5069,0.0012953367875647714,-0.03615960099750626,-0.03855721393034828
2024-11-19,2308,5237868,2019108188,385.0,388.0,382.0,388.0,1.5,5732,0.0038809831824062613,-0.02267002518891692,-0.030000000000000027
2024-11-20,2308,6252197,2421444680,389.0,391.5,384.5,386.5,-1.5,6010,-0.0038659793814432852,-0.017789072426937724,-0.04449938195302838
2024-11-21,2308,10390549,3938760085,380.0,382.5,376.0,381.0,-5.5,14760,-0.014230271668822736,-0.020565552699228773,-0.04391468005018817
2024-11-22,2308,9438777,3684205843,386.0,394.0,386.0,394.0,13.0,7075,0.034120734908136496,0.020725388601036343,0.0012706480304955914
2024-11-25,2308,11345997,4476233938,397.0,400.0,393.5,393.5,-0.5,4760,-0.0012690355329949554,0.018111254851228997,-0.021144278606965217
2024-11-26,2308,3585059,1396279607,391.0,393.0,387.5,387.5,-6.0,3757,-0.015247776365946653,-0.0012886597938144284,-0.043209876543209846
2024-11-27,2308,2766208,1074813405,386.0,393.0,386.0,386.0,-1.5,3850,-0.003870967741935516,-0.001293661060802087,-0.049261083743842415
2024-11-28,2308,5118220,1958405488,386.0,388.0,378.5,384.0,-2.0,6830,-0.005181347150259086,0.007874015748031482,-0.04950495049504955
2024-11-29,2308,6491721,2473781448,376.5,386.0,374.5,381.0,-3.0,5864,-0.0078125,-0.032994923857868064,-0.02432778489116516
2024-12-02,2308,2892538,1124997841,386.0,391.0,386.0,388.5,7.5,3339,0.019685039370078705,-0.01270648030495558,-0.016455696202531622
2024-12-03,2308,4861327,1903704230,391.0,394.0,390.0,391.0,2.5,4449,0.006435006435006496,0.00903225806451613,-0.01882057716436636
2024-12-04,2308,3429329,1347946871,393.0,395.0,390.0,395.0,4.0,3548,0.010230179028132946,0.023316062176165886,-0.01985111662531014
2024-12-05,2308,5217635,2056008740,396.5,398.5,391.5,391.5,-3.5,4905,-0.008860759493670933,0.01953125,-0.018796992481203034
2024-12-06,2308,6599150,2621296975,389.0,399.5,389.0,399.0,7.5,8291,0.019157088122605304,0.04724409448818889,-0.0024999999999999467
2024-12-09,2308,8009179,3232009877,399.0,406.5,398.0,405.0,6.0,10807,0.015037593984962516,0.042471042471042386,0.009975062344139696
2024-12-10,2308,8313893,3340067043,404.5,404.5,398.5,403.0,-2.0,5992,-0.004938271604938316,0.03069053708439906,0.015113350125944613
2024-12-11,2308,13688502,5645019449,403.0,418.0,401.5,414.5,11.5,17864,0.028535980148883366,0.04936708860759498,0.053367217280813284
2024-12-12,2308,9736640,4057730260,412.0,421.0,412.0,417.0,2.5,9857,0.006031363088057962,0.06513409961685834,0.07197943444730082
2024-12-13,2308,15401042,6555694512,421.5,432.5,418.5,423.0,6.0,15309,0.014388489208633004,0.06015037593984962,0.09585492227979264
2024-12-16,2308,9332521,3973127336,426.0,429.5,421.5,426.0,3.0,10234,0.007092198581560183,0.051851851851851816,0.10219922380336355
2024-12-17,2308,8484705,3556600559,418.5,425.0,416.0,419.5,-6.5,9737,-0.015258215962441368,0.04094292803970223,0.08118556701030921
2024-12-18,2308,6394787,2687901067,414.5,425.5,414.5,425.5,6.0,6632,0.014302741358760418,0.026537997587454676,0.10090556274256146
2024-12-19,2308,7102887,2956407237,415.0,419.5,413.0,416.5,-9.0,8202,-0.021151586368977626,-0.0011990407673860837,0.09317585301837261
2024-12-20,2308,9115312,3759068868,408.0,417.5,407.0,412.0,-4.5,11780,-0.010804321728691502,-0.026004728132387744,0.045685279187817285
2024-12-23,2308,5535592,2323019972,420.0,425.0,417.0,420.0,8.0,5648,0.01941747572815533,-0.014084507042253502,0.06734434561626435
2024-12-24,2308,5638467,2394709434,421.0,427.5,420.0,425.5,5.5,6577,0.013095238095238049,0.014302741358760418,0.09806451612903233
2024-12-25,2308,2048258,865339485,425.0,427.0,419.5,422.5,-3.0,3613,-0.007050528789659172,-0.007050528789659172,0.09455958549222787
2024-12-26,2308,2595616,1107099106,423.0,428.0,422.5,428.0,5.5,4470,0.013017751479289963,0.027611044417767072,0.11458333333333326
2024-12-27,2308,3192074,1373729434,426.0,433.0,425.5,431.5,3.5,5143,0.008177570093457875,0.047330097087378675,0.13254593175853024
2024-12-30,2308,5097682,2214365929,431.0,438.0,429.5,434.5,3.0,6751,0.006952491309385911,0.03452380952380962,0.11840411840411846
2024-12-31,2308,3753593,1615014992,430.0,433.5,428.0,430.5,-4.0,4521,-0.009205983889528202,0.011750881316098694,0.10102301790281332
2025-01-02,2308,11380681,4783630401,430.5,436.5,412.5,417.0,-13.5,26479,-0.03135888501742157,-0.013017751479289963,0.055696202531645644
2025-01-03,2308,9851603,4096589825,419.5,422.0,412.5,414.0,-3.0,7975,-0.007194244604316502,-0.032710280373831724,0.05747126436781613
2025-01-06,2308,7109722,2961882393,422.0,422.0,415.0,418.5,4.5,6043,0.010869565217391353,-0.030127462340672095,0.048872180451127845
2025-01-07,2308,7751389,3332968536,425.0,434.0,423.5,432.0,13.5,8716,0.032258064516129004,-0.005753739930955071,0.06666666666666665
2025-01-08,2308,12300630,5330039702,440.5,446.0,425.5,428.0,-4.0,10523,-0.0092592592592593,-0.005807200929152101,0.06203473945409432
2025-01-09,2308,5235447,2201723648,428.0,430.0,417.0,417.5,-10.5,7041,-0.02453271028037385,0.0011990407673860837,0.007237635705669376
2025-01-10,2308,4405382,1843054259,420.0,420.5,416.0,420.0,2.5,3927,0.0059880239520957446,0.01449275362318847,0.007194244604316502
2025-01-13,2308,9734037,3938130763,413.5,415.5,400.0,400.0,-20.0,12148,-0.04761904761904767,-0.044205495818399054,-0.05437352245862881
2025-01-14,2308,10194540,4162323274,410.0,412.5,403.0,410.0,10.0,7554,0.02499999999999991,-0.05092592592592593,-0.03755868544600938
2025-01-15,2308,9458307,3794806928,404.5,406.5,398.5,400.5,-9.5,9176,-0.023170731707317094,-0.06425233644859818,-0.045292014302741324
2025-01-16,2308,9885870,4120907506,408.5,424.5,405.5,418.5,18.0,9049,0.04494382022471921,0.0023952095808383866,-0.016451233842538215
2025-01-17,2308,6581399,2771287018,421.0,426.0,414.5,422.0,3.5,6551,0.008363201911588902,0.004761904761904745,0.013205282112845218
2025-01-20,2308,4795905,2051535027,425.0,431.5,425.0,427.0,5.0,5398,0.011848341232227444,0.0674999999999999,0.03640776699029136
2025-01-21,2308,6714879,2837203178,425.0,428.5,418.5,421.5,-5.5,6717,-0.012880562060889944,0.028048780487804903,0.0035714285714285587
2025-01-22,2308,10034866,4349995402,424.0,438.0,424.0,437.5,16.0,12433,0.03795966785290639,0.09238451935081149,0.02820211515863691
2025-02-03,2308,21442807,8562086482,400.0,407.0,394.5,399.0,-38.5,32993,-0.08799999999999997,-0.04659498207885304,-0.0556213017751479
2025-02-04,2308,9832298,3943454067,401.5,408.0,396.5,397.0,-2.0,12646,-0.005012531328320802,-0.05924170616113744,-0.07242990654205606
2025-02-05,2308,6794679,2761080871,403.0,410.0,403.0,405.5,8.5,6617,0.021410579345088054,-0.050351288056206034,-0.06025492468134419
2025-02-06,2308,8942631,3710017537,413.5,417.5,411.5,417.0,11.5,7907,0.02836004932182501,-0.010676156583629859,-0.04027617951668583
2025-02-07,2308,4903016,2022822124,418.0,418.5,409.0,415.0,-2.0,6878,-0.004796163069544335,-0.05142857142857138,-0.03600464576074336
2025-02-10,2308,5455004,2214491910,405.0,409.5,404.0,404.5,-10.5,8402,-0.025301204819277112,0.013784461152882121,-0.029976019184652314
2025-02-11,2308,6933390,2800840141,405.0,408.0,402.0,402.0,-2.5,6673,-0.006180469715698411,0.012594458438287104,-0.02898550724637683
2025-02-12,2308,3998133,1610368483,403.0,406.5,401.0,401.0,-1.0,5091,-0.0024875621890547706,-0.011097410604192337,-0.041816009557945066
2025-02-13,2308,6701476,2708460961,401.0,406.0,400.5,405.0,4.0,5092,0.009975062344139696,-0.02877697841726623,-0.0625
2025-02-14,2308,5005852,2011567147,402.0,406.0,400.0,401.0,-4.0,7661,-0.00987654320987652,-0.03373493975903619,-0.06308411214953269
2025-02-17,2308,4598247,1866406474,400.0,408.5,400.0,406.0,5.0,5362,0.012468827930174564,0.003708281829418958,-0.02754491017964067
2025-02-18,2308,21321011,8392544011,402.0,403.5,390.5,391.0,-15.0,37838,-0.036945812807881784,-0.027363184079602032,-0.06904761904761902
2025-02-19,2308,8248001,3229349641,386.0,394.0,386.0,392.0,1.0,11227,0.002557544757033181,-0.02244389027431426,-0.020000000000000018
2025-02-20,2308,10129322,3966771228,392.5,394.5,390.0,390.0,-2.0,12173,-0.005102040816326481,-0.03703703703703709,-0.04878048780487809
2025-02-21,2308,9099579,3568880519,386.5,396.0,386.5,396.0,6.0,9707,0.01538461538461533,-0.012468827930174564,-0.011235955056179803
2025-02-24,2308,7070816,2784138643,391.5,396.0,389.5,395.5,-0.5,7260,-0.0012626262626262985,-0.025862068965517238,-0.054958183990442055
2025-02-25,2308,7896486,3110709617,389.5,397.0,389.5,393.0,-2.5,6852,-0.006321112515802807,0.005115089514066584,-0.06872037914691942
2025-02-26,2308,9935842,3935494814,392.0,399.0,391.0,399.0,6.0,7561,0.01526717557251911,0.017857142857142794,-0.06557377049180324
2025-02-27,2308,19818567,7973422244,394.0,407.0,394.0,402.0,3.0,14080,0.007518796992481258,0.03076923076923066,-0.0462633451957295
2025-03-03,2308,12654968,4986004404,397.0,400.0,390.0,390.0,-12.0,15072,-0.02985074626865669,-0.015151515151515138,-0.10857142857142854
2025-03-04,2308,20515117,7760387194,385.0,387.0,373.0,377.5,-12.5,33768,-0.03205128205128205,-0.04551201011378003,-0.053884711779448646
2025-03-05,2308,10339351,3926054590,379.0,383.0,377.5,378.5,1.0,11269,0.0026490066225166586,-0.03689567430025442,-0.046599496221662484
2025-03-06,2308,8387739,3225572577,381.5,387.5,380.5,383.5,5.0,8421,0.013210039630118908,-0.03884711779448624,-0.054254007398273685
2025-03-07,2308,9283003,3503241250,381.5,381.5,375.0,375.0,-8.5,14564,-0.022164276401564487,-0.06716417910447758,-0.1007194244604317
2025-03-10,2308,6133006,2314909172,375.0,381.0,375.0,375.5,0.5,6323,0.0013333333333334085,-0.03717948717948716,-0.09518072289156632
2025-03-11,2308,9688806,3589597429,372.0,373.5,365.5,370.5,-5.0,12665,-0.013315579227696439,-0.018543046357615944,-0.08405438813349819
2025-03-12,2308,13619884,5236394059,371.5,389.5,371.5,387.5,17.0,13878,0.045883940620782715,0.023778071334213946,-0.03606965174129351
2025-03-13,2308,11619792,4564628503,392.5,398.0,388.0,388.5,1.0,11263,0.002580645161290418,0.01303780964797907,-0.03117206982543641
2025-03-14,2308,9504845,3613191597,385.0,386.0,377.0,378.5,-10.0,10634,-0.025740025740025763,0.009333333333333416,-0.0654320987654321
2025-03-17,2308,12188489,4786985999,385.0,396.0,383.0,394.0,15.5,13161,0.04095112285336855,0.04926764314247678,-0.017456359102244412
2025-03-18,2308,8481895,3365038851,393.0,400.0,392.5,400.0,6.0,9484,0.015228426395939021,0.07962213225371118,-0.014778325123152691
2025-03-19,2308,7045784,2770151217,398.0,400.0,390.5,390.5,-9.5,7354,-0.02375000000000005,0.007741935483871032,-0.0012787723785165905
2025-03-20,2308,8096266,3202229245,391.0,401.0,391.0,393.5,3.0,6943,0.007682458386683688,0.01287001287001277,0.003826530612244916
2025-03-21,2308,9864363,3896791782,392.5,398.0,390.0,396.0,2.5,5466,0.006353240152477735,0.04623513870541607,0.01538461538461533
2025-03-24,2308,10204406,4065738772,400.0,406.0,392.0,392.0,-4.0,7844,-0.010101010101010055,-0.005076142131979711,-0.010101010101010055
2025-03-25,2308,4709909,1847717930,392.5,395.5,390.5,392.0,0.0,5016,0.0,-0.020000000000000018,-0.008849557522123908
2025-03-26,2308,9663861,3849588341,396.5,400.5,394.0,399.0,7.0,9557,0.017857142857142794,0.02176696542893719,0.01526717557251911
2025-03-27,2308,5235582,2050281828,395.0,395.0,381.5,392.0,-7.0,5645,-0.01754385964912286,-0.003811944091486663,-0.01754385964912286
2025-03-28,2308,9839778,3731621396,383.0,386.5,375.0,376.5,-15.5,15288,-0.039540816326530615,-0.0492424242424242,-0.06343283582089554
2025-03-31,2308,9089289,3305394560,365.0,369.5,360.0,360.0,-16.5,13834,-0.043824701195219085,-0.08163265306122447,-0.07692307692307687
2025-04-01,2308,6303543,2314093740,365.0,371.5,362.5,371.0,11.0,6162,0.030555555555555447,-0.0535714285714286,-0.017218543046357615
2025-04-02,2308,3560122,1316138816,365.0,373.5,364.0,369.5,-1.5,4007,-0.0040431266846361336,-0.07393483709273185,-0.023778071334214057
