stock_id,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering,date
1313,0,0,0,0,0,342088651,9379000,53000,29000,0,9403000,301255,0,2025-06-25
1313,0,0,0,0,0,342088651,9403000,12000,33000,0,9382000,297187,0,2025-06-26
1313,0,0,0,0,0,342088651,9382000,2000,0,0,9384000,292826,0,2025-06-27
1313,0,0,0,0,0,342088651,9384000,24000,0,0,9408000,289658,0,2025-06-30
1313,0,3000,0,0,3000,342088651,9408000,0,85000,0,9323000,293424,0,2025-07-01
1313,3000,0,0,0,3000,342088651,9323000,16000,27000,0,9312000,299445,0,2025-07-02
1313,3000,1000,0,0,4000,342088651,9312000,12000,0,0,9324000,307017,0,2025-07-03
1313,4000,0,0,0,4000,342088651,9324000,0,0,0,9324000,305369,0,2025-07-04
1313,4000,1000,0,0,5000,342088651,9324000,0,2000,0,9322000,309884,0,2025-07-07
1313,5000,2000,0,0,7000,342088651,9322000,60000,0,0,9382000,312500,0,2025-07-08
1313,7000,0,2000,0,5000,342088651,9382000,26000,0,0,9408000,308660,0,2025-07-09
1313,5000,1000,0,0,6000,342088651,9408000,26000,0,0,9434000,305281,0,2025-07-10
1313,6000,0,0,0,6000,342088651,9434000,6000,747000,0,8693000,305548,0,2025-07-11
1313,6000,0,0,0,6000,342088651,8693000,1000,0,0,8694000,335843,0,2025-07-14
1313,6000,43000,0,0,49000,342088651,8694000,197000,0,0,8891000,502350,0,2025-07-15
1313,49000,59000,1000,0,107000,342088651,8891000,103000,0,0,8994000,580138,0,2025-07-16
1313,107000,105000,0,0,212000,342088651,8994000,265000,0,0,9259000,679128,0,2025-07-17
1313,212000,3000,6000,0,209000,342088651,9259000,58000,5000,0,9312000,729697,0,2025-07-18
1313,209000,14000,47000,2000,174000,342088651,9312000,9000,0,0,9321000,756923,0,2025-07-21
1313,174000,70000,8000,0,236000,342088651,9321000,24000,0,0,9345000,827274,0,2025-07-22
1313,236000,27000,5000,0,258000,342088651,9345000,57000,0,0,9402000,920859,0,2025-07-23
1313,258000,23000,19000,0,262000,342088651,9402000,193000,657000,0,8938000,965735,0,2025-07-24
1313,262000,4000,30000,0,236000,342088651,8938000,316000,142000,0,9112000,998955,0,2025-07-25
1313,236000,33000,0,0,269000,342088651,9112000,28000,0,0,9140000,1064874,0,2025-07-28
1313,269000,37000,18000,1000,287000,342088651,9140000,17000,0,0,9157000,1113515,0,2025-07-29
1313,287000,1000,39000,0,249000,342088651,9157000,87000,156000,0,9088000,1183123,0,2025-07-30
1313,249000,4000,16000,0,237000,342088651,9088000,3000,0,0,9091000,1202396,0,2025-07-31
1313,237000,22000,3000,0,256000,342088651,9091000,0,9000,0,9082000,1233538,0,2025-08-01
1313,256000,23000,76000,0,203000,342088651,9082000,16000,5000,0,9093000,1289759,0,2025-08-04
1313,203000,0,12000,0,191000,342088651,9093000,16000,0,0,9109000,1306094,0,2025-08-05
1313,191000,0,4000,0,187000,342088651,9109000,0,0,0,9109000,1328531,0,2025-08-06
1313,187000,1000,1000,0,187000,342088651,9109000,0,0,0,9109000,1338947,0,2025-08-07
1313,187000,2000,2000,0,187000,342088651,9109000,0,0,0,9109000,1354573,0,2025-08-08
1313,187000,0,1000,0,186000,342088651,9109000,3000,0,0,9112000,1371984,0,2025-08-11
1313,186000,13000,0,0,199000,342088651,9112000,0,48000,0,9064000,1413811,0,2025-08-12
1313,199000,0,1000,0,198000,342088651,9064000,0,0,0,9064000,1442478,0,2025-08-13
1313,198000,0,6000,0,192000,342278526,9064000,0,1454000,0,7610000,1448053,0,2025-08-14
1313,192000,1000,0,0,193000,340112276,7610000,0,2104000,0,5506000,1466349,0,2025-08-15
1313,193000,28000,3000,0,218000,340112276,5506000,9000,144000,0,5371000,1607714,0,2025-08-18
1313,218000,4000,13000,0,209000,340112276,5371000,0,0,0,5371000,1666845,0,2025-08-19
1313,209000,38000,10000,0,237000,340112276,5371000,0,0,0,5371000,1706923,0,2025-08-20
1313,237000,1000,38000,0,200000,340112276,5371000,3000,0,0,5374000,1765851,0,2025-08-21
1313,200000,0,5000,0,195000,340112276,5374000,0,0,0,5374000,1786041,0,2025-08-22
1313,195000,3000,0,0,198000,340112276,5374000,0,0,0,5374000,1768695,0,2025-08-25
1313,198000,0,3000,0,195000,340112276,5374000,35000,3000,0,5406000,1627361,0,2025-08-26
1313,195000,10000,2000,0,203000,340112276,5406000,0,0,0,5406000,1560671,0,2025-08-27
1313,203000,0,28000,0,175000,340112276,5406000,19000,0,0,5425000,1463466,0,2025-08-28
1313,175000,2000,3000,0,174000,340112276,5425000,0,35000,0,5390000,1439871,0,2025-08-29
1313,174000,0,0,0,174000,340112276,5390000,0,0,0,5390000,1421727,0,2025-09-01
1313,174000,43000,2000,0,215000,340112276,5390000,98000,0,0,5488000,1375982,0,2025-09-02
1313,215000,0,17000,0,198000,340112276,5488000,230000,103000,0,5615000,1306989,0,2025-09-03
1313,198000,0,15000,0,183000,340112276,5615000,0,0,0,5615000,1274350,0,2025-09-04
1313,183000,5000,7000,0,181000,340112276,5615000,32000,0,0,5647000,1244545,0,2025-09-05
1313,181000,5000,1000,0,185000,340112276,5647000,0,4000,0,5643000,1191308,0,2025-09-08
1313,185000,0,14000,0,171000,340112276,5643000,55000,0,0,5698000,1140492,0,2025-09-09
1313,171000,2000,0,0,173000,340112276,5698000,2000,102000,0,5598000,1079903,0,2025-09-10
1313,173000,0,8000,0,165000,340112276,5598000,0,0,0,5598000,1056958,0,2025-09-11
1313,165000,1000,2000,0,164000,340211526,5598000,0,4000,0,5594000,1021095,0,2025-09-12
1313,164000,0,0,0,164000,340211526,5594000,4000,0,0,5598000,957651,0,2025-09-15
1313,164000,1000,0,0,165000,340211526,5598000,0,0,0,5598000,936198,0,2025-09-16
1313,165000,0,0,0,165000,340211526,5598000,1000,0,0,5599000,909215,0,2025-09-17
1313,165000,2000,2000,0,165000,340211526,5599000,16000,125000,0,5490000,911545,0,2025-09-18
1313,165000,0,1000,0,164000,340211526,5490000,15000,0,0,5505000,912456,0,2025-09-19
1313,164000,0,1000,0,163000,340211526,5505000,25000,0,0,5530000,910388,0,2025-09-22
1313,163000,4000,1000,0,166000,340211526,5530000,0,54000,0,5476000,930531,0,2025-09-23
1316,89000,0,2000,0,87000,91690754,31832461,124000,161000,0,31795461,1276656,0,2025-06-25
1316,87000,2000,1000,0,88000,91690754,31795461,454000,85000,0,32164461,1191700,0,2025-06-26
1316,88000,11000,1000,0,98000,91690754,32164461,737000,0,0,32901461,1145549,0,2025-06-27
1316,98000,0,5000,0,93000,91690754,32901461,146000,0,0,33047461,1089692,0,2025-06-30
1316,93000,0,0,0,93000,91690754,33047461,35000,19000,0,33063461,1041658,0,2025-07-01
1316,93000,33000,0,0,126000,91690754,33063461,34000,15000,0,33082461,1017574,0,2025-07-02
1316,126000,0,2000,0,124000,91690754,33082461,39000,0,0,33121461,1004100,0,2025-07-03
