date,stock_id,AccountsPayable,AccountsPayableToRelatedParties,AccountsPayableToRelatedParties_per,AccountsPayable_per,AccountsReceivableDuefromRelatedPartiesNet,AccountsReceivableDuefromRelatedPartiesNet_per,AccountsReceivableNet,AccountsReceivableNet_per,BillsReceivableNet,BillsReceivableNet_per,BondsPayable,BondsPayable_per,CapitalStock,CapitalStock_per,CapitalSurplus,CapitalSurplusAdditionalPaidInCapital,CapitalSurplusAdditionalPaidInCapital_per,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,CapitalSurplusChangesInEquityOfAssociatesAndJointVenturesAccountedForUsingEquityMethod_per,CapitalSurplusDonatedAssetsReceived,CapitalSurplusDonatedAssetsReceived_per,CapitalSurplusNetAssetsFromMerger,CapitalSurplusNetAssetsFromMerger_per,CapitalSurplus_per,CashAndCashEquivalents,CashAndCashEquivalents_per,ConstructionContractReceivable,ConstructionContractReceivable_per,CurrentAssets,CurrentAssets_per,CurrentContractLiabilities,CurrentContractLiabilities_per,CurrentDerivativeFinancialLiabilitiesForHedging,CurrentDerivativeFinancialLiabilitiesForHedging_per,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,CurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss_per,CurrentIncomeTaxAssets,CurrentIncomeTaxAssets_per,CurrentLiabilities,CurrentLiabilities_per,CurrentProvisions,CurrentProvisions_per,CurrentTaxLiabilities,CurrentTaxLiabilities_per,DeferredTaxAssets,DeferredTaxAssets_per,Equity,EquityAttributableToOwnersOfParent,EquityAttributableToOwnersOfParent_per,Equity_per,FinancialAssetsAtAmortizedCost,FinancialAssetsAtAmortizedCostNonCurrent,FinancialAssetsAtAmortizedCostNonCurrent_per,FinancialAssetsAtAmortizedCost_per,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncome,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent_per,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncome_per,HedgingAinancialAssets,HedgingAinancialAssetsNonCurrent,HedgingAinancialAssetsNonCurrent_per,HedgingAinancialAssets_per,IntangibleAssets,IntangibleAssets_per,Inventories,Inventories_per,InvestmentAccountedForUsingEquityMethod,InvestmentAccountedForUsingEquityMethod_per,LegalReserve,LegalReserve_per,Liabilities,Liabilities_per,LongtermBorrowings,LongtermBorrowings_per,NonCurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,NonCurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,NoncontrollingInterests,NoncontrollingInterests_per,NoncurrentAssets,NoncurrentAssets_per,NoncurrentLiabilities,NoncurrentLiabilities_per,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,OrdinaryShare,OrdinaryShare_per,OtherCurrentAssets,OtherCurrentAssets_per,OtherCurrentLiabilities,OtherCurrentLiabilities_per,OtherEquityInterest,OtherEquityInterest_per,OtherNoncurrentAssets,OtherNoncurrentAssets_per,OtherNoncurrentLiabilities,OtherNoncurrentLiabilities_per,OtherPayables,OtherPayables_per,OtherReceivable,OtherReceivable_per,OtherReceivablesDueFromRelatedParties,OtherReceivablesDueFromRelatedParties_per,Prepayments,Prepayments_per,PropertyPlantAndEquipment,PropertyPlantAndEquipment_per,RetainedEarnings,RetainedEarnings_per,RightOfUseAsset,RightOfUseAsset_per,ShorttermBorrowings,ShorttermBorrowings_per,TotalAssets,TotalAssets_per,TotalLiabilitiesEquity,TotalLiabilitiesEquity_per,UnappropriatedRetainedEarningsAaccumulatedDeficit,UnappropriatedRetainedEarningsAaccumulatedDeficit_per
2023-09-30,1313,2421084000.0,,,4.26,,,3961684000.0,6.97,682335000.0,1.2,2996109000.0,5.27,13625756000.0,23.97,1388852000.0,,,,,,,,,2.44,3928880000.0,6.91,,,22472019000.0,39.54,,,,,30262000.0,0.05,,,60403000.0,0.11,16211304000.0,28.52,125900000.0,0.22,20507000.0,0.04,1380552000.0,2.43,30047664000.0,30047664000.0,52.87,52.87,403257000.0,,,0.71,919359000.0,14364218000.0,25.27,1.62,,,,,7130000.0,0.01,9846838000.0,17.32,24251000.0,0.04,2838651000.0,4.99,26788854000.0,47.13,6868203000.0,12.08,,,,,34364499000.0,60.46,10577550000.0,18.61,38665000.0,13569006000.0,23.87,2327579000.0,4.1,7946214000.0,13.98,10441799000.0,18.37,445080000.0,0.78,406153000.0,0.71,1160318000.0,2.04,309175000.0,0.54,2247000.0,0.0,,,16624130000.0,29.25,5030198000.0,8.85,1519138000.0,2.67,4530201000.0,7.97,56836518000.0,100.0,56836518000.0,100.0,1849774000.0,3.25
2023-12-31,1313,1660151000.0,,,2.98,,,3958242000.0,7.11,758152000.0,1.36,2996364000.0,5.38,13647497000.0,24.52,1378837000.0,,,,,,,,,2.48,3209524000.0,5.77,,,20812329000.0,37.39,,,,,6852000.0,0.01,,,34991000.0,0.06,8263676000.0,14.85,154023000.0,0.28,49908000.0,0.09,1403436000.0,2.52,30049531000.0,30049531000.0,53.99,53.99,332822000.0,,,0.6,1050698000.0,15467637000.0,27.79,1.89,,,,,6319000.0,0.01,9015958000.0,16.2,23498000.0,0.04,2838651000.0,5.1,25607138000.0,46.01,13652805000.0,24.53,,,,,34844340000.0,62.61,17343462000.0,31.16,38665000.0,13635771000.0,24.5,2185722000.0,3.93,910138000.0,1.64,10621009000.0,19.08,367891000.0,0.66,395280000.0,0.71,1153446000.0,2.07,256735000.0,0.46,2633000.0,0.0,,,16123291000.0,28.97,4841129000.0,8.7,1452268000.0,2.61,4201060000.0,7.55,55656669000.0,100.0,55656669000.0,100.0,1660705000.0,2.98
2024-03-31,1313,2850344000.0,,,4.64,,,4059150000.0,6.61,947798000.0,1.54,2996618000.0,4.88,13660310000.0,22.25,1377608000.0,,,,,,,,,2.24,3426209000.0,5.58,,,24770478000.0,40.34,,,,,6874000.0,0.01,,,39476000.0,0.06,12529534000.0,20.4,160840000.0,0.26,78831000.0,0.13,1773313000.0,2.89,30951744000.0,30951744000.0,50.4,50.4,147945000.0,,,0.24,1036031000.0,16418487000.0,26.74,1.69,,,,,7705000.0,0.01,12571465000.0,20.47,24309000.0,0.04,2838651000.0,4.62,30454986000.0,49.6,14220712000.0,23.16,,,,,36636252000.0,59.66,17925452000.0,29.19,38665000.0,13649566000.0,22.23,2108601000.0,3.43,1316015000.0,2.14,12537629000.0,20.42,329807000.0,0.54,387822000.0,0.63,1265279000.0,2.06,294530000.0,0.48,132399000.0,0.22,,,16555115000.0,26.96,3815138000.0,6.21,1527516000.0,2.49,6714797000.0,10.93,61406730000.0,100.0,61406730000.0,100.0,634714000.0,1.03
2024-06-30,1313,2130234000.0,,,3.61,,,3791969000.0,6.42,1154549000.0,1.96,2996873000.0,5.08,13672334000.0,23.15,1375712000.0,,,,,,,,,2.33,4990106000.0,8.45,,,23034099000.0,39.01,,,,,6897000.0,0.01,,,42047000.0,0.07,11316201000.0,19.16,174156000.0,0.29,93659000.0,0.16,1924229000.0,3.26,29967112000.0,29967112000.0,50.75,50.75,149947000.0,,,0.25,1211585000.0,15731395000.0,26.64,2.05,,,,,6953000.0,0.01,10120863000.0,17.14,24846000.0,0.04,2838651000.0,4.81,29082544000.0,49.25,14082110000.0,23.85,,,,,36015557000.0,60.99,17766343000.0,30.09,38665000.0,13662206000.0,23.14,1239026000.0,2.1,960049000.0,1.63,12114529000.0,20.52,330441000.0,0.56,375766000.0,0.64,1014322000.0,1.72,309958000.0,0.52,17152000.0,0.03,,,16469772000.0,27.89,3243478000.0,5.49,1527921000.0,2.59,6707740000.0,11.36,59049656000.0,100.0,59049656000.0,100.0,63054000.0,0.11
2024-09-30,1313,1985143000.0,,,3.51,,,3274381000.0,5.79,1127745000.0,1.99,2997127000.0,5.3,13676726000.0,24.19,1373925000.0,,,,,,,,,2.43,5061423000.0,8.95,,,20924049000.0,37.01,,,,,40328000.0,0.07,,,37928000.0,0.07,10008449000.0,17.7,181827000.0,0.32,61564000.0,0.11,2013335000.0,3.56,28749841000.0,28749841000.0,50.85,50.85,249149000.0,,,0.44,1239394000.0,15518979000.0,27.45,2.19,,,,,18445000.0,0.03,7527108000.0,13.31,24391000.0,0.04,2838651000.0,5.02,27793592000.0,49.15,14108488000.0,24.95,,,,,35619384000.0,62.99,17785143000.0,31.45,38665000.0,13674121000.0,24.18,2062868000.0,3.65,734314000.0,1.3,11621003000.0,20.55,315480000.0,0.56,372070000.0,0.66,940809000.0,1.66,299767000.0,0.53,3958000.0,0.01,,,16209871000.0,28.67,2517128000.0,4.45,1518883000.0,2.69,6091318000.0,10.77,56543433000.0,100.0,56543433000.0,100.0,-663296000.0,-1.17
2024-12-31,1313,2092005000.0,,,3.67,,,3863333000.0,6.77,1082739000.0,1.9,2997382000.0,5.25,13678937000.0,23.97,1373465000.0,,,,,,,,,2.41,4862588000.0,8.52,,,20835789000.0,36.51,,,,,0.0,0.0,,,33699000.0,0.06,9918108000.0,17.38,188774000.0,0.33,80186000.0,0.14,2099206000.0,3.68,29465689000.0,29465689000.0,51.63,51.63,138475000.0,,,0.24,1080489000.0,16274404000.0,28.52,1.89,,,,,17889000.0,0.03,7933041000.0,13.9,23564000.0,0.04,2838651000.0,4.97,27605216000.0,48.37,14038572000.0,24.6,,,,,36235116000.0,63.49,17687108000.0,30.99,38665000.0,13677186000.0,23.97,1552516000.0,2.72,635827000.0,1.11,12620337000.0,22.11,345724000.0,0.61,345960000.0,0.61,987109000.0,1.73,286606000.0,0.5,2303000.0,0.0,,,15953808000.0,27.95,2231891000.0,3.91,1520521000.0,2.66,5517537000.0,9.67,57070905000.0,100.0,57070905000.0,100.0,-948533000.0,-1.66
2025-03-31,1313,1416774000.0,,,2.6,,,3543099000.0,6.5,1037892000.0,1.9,2997636000.0,5.5,13682901000.0,25.09,1375739000.0,,,,,,,,,2.52,3498965000.0,6.42,,,19914138000.0,36.51,,,,,15859000.0,0.03,,,36595000.0,0.07,8827284000.0,16.19,202572000.0,0.37,48500000.0,0.09,2155030000.0,3.95,27672371000.0,27672371000.0,50.74,50.74,39105000.0,,,0.07,1072450000.0,14482560000.0,26.56,1.97,,,,,16995000.0,0.03,8816489000.0,16.17,23417000.0,0.04,2838651000.0,5.2,26865211000.0,49.26,14392932000.0,26.39,,,,,34623444000.0,63.49,18037927000.0,33.07,38665000.0,13679246000.0,25.08,1547725000.0,2.84,433158000.0,0.79,11086834000.0,20.33,324125000.0,0.59,343836000.0,0.63,951293000.0,1.74,303821000.0,0.56,2138000.0,0.0,,,16092827000.0,29.51,1965838000.0,3.6,1528490000.0,2.8,5438260000.0,9.97,54537582000.0,100.0,54537582000.0,100.0,-1214586000.0,-2.23
2025-06-30,1313,1172889000.0,,,2.38,,,2852589000.0,5.79,709816000.0,1.44,2997891000.0,6.09,13596896000.0,27.6,1170308000.0,,,,,,,,,2.38,3209450000.0,6.52,,,16800853000.0,34.11,,,,,4087000.0,0.01,,,36466000.0,0.07,7455134000.0,15.13,186171000.0,0.38,34365000.0,0.07,1952976000.0,3.96,24523113000.0,24523113000.0,49.79,49.79,44574000.0,,,0.09,965233000.0,14652792000.0,29.75,1.96,,,,,16635000.0,0.03,7423798000.0,15.07,20840000.0,0.04,1890118000.0,3.84,24734753000.0,50.21,13699523000.0,27.81,,,,,32457013000.0,65.89,17279619000.0,35.08,30000000.0,13596896000.0,27.6,1239194000.0,2.52,395645000.0,0.8,8276570000.0,16.8,324342000.0,0.66,328328000.0,0.67,1082431000.0,2.2,251915000.0,0.51,21989000.0,0.04,,,14180884000.0,28.79,1819932000.0,3.69,1308544000.0,2.66,4525774000.0,9.19,49257866000.0,100.0,49257866000.0,100.0,-411959000.0,-0.84
2023-09-30,1316,420167000.0,,,3.39,,,115711000.0,0.93,31594000.0,0.25,292785000.0,2.36,2790580000.0,22.5,280797000.0,,,,,,,,,2.26,1010606000.0,8.15,,,9916243000.0,79.97,812517000.0,6.55,,,218981000.0,1.77,4602000.0,0.04,1006000.0,0.01,6186273000.0,49.89,0.0,0.0,0.0,0.0,14685000.0,0.12,5738799000.0,2919219000.0,23.54,46.28,439045000.0,1760000.0,0.01,3.54,,15715000.0,0.13,,,,,,78765000.0,0.64,7362544000.0,59.37,,,,,6661397000.0,53.72,105413000.0,0.85,353224000.0,2.85,2819580000.0,22.74,2483953000.0,20.03,475124000.0,3.83,31004800.0,2790580000.0,22.5,418342000.0,3.37,835330000.0,6.74,-162000.0,0.0,15912000.0,0.13,4094000.0,0.03,249657000.0,2.01,13930000.0,0.11,,,304484000.0,2.46,1563993000.0,12.61,-66012000.0,-0.53,8812000.0,0.07,3710848000.0,29.93,12400196000.0,100.0,12400196000.0,100.0,-66012000.0,-0.53
2023-12-31,1316,683513000.0,,,5.43,,,100227000.0,0.8,38513000.0,0.31,0.0,0.0,2804169000.0,22.3,288659000.0,,,,,,,,,2.3,689023000.0,5.48,,,10104293000.0,80.34,860597000.0,6.84,,,206282000.0,1.64,2400000.0,0.02,2415000.0,0.02,6592597000.0,52.42,0.0,0.0,4109000.0,0.03,12024000.0,0.1,5793259000.0,2902781000.0,23.08,46.06,514913000.0,0.0,0.0,4.09,,6926000.0,0.06,,,,,,75175000.0,0.6,7671487000.0,60.99,,,,,6784106000.0,53.94,112524000.0,0.89,363325000.0,2.89,2890478000.0,22.98,2473072000.0,19.66,191509000.0,1.52,31004800.0,2804169000.0,22.3,428679000.0,3.41,1099406000.0,8.74,15000.0,0.0,15158000.0,0.12,4314000.0,0.03,97535000.0,0.78,27008000.0,0.21,,,425746000.0,3.39,1555527000.0,12.37,-107759000.0,-0.86,12632000.0,0.1,3684276000.0,29.29,12577365000.0,100.0,12577365000.0,100.0,-107759000.0,-0.86
