date,stock_id,CashBalancesBeginningOfPeriod,CashBalancesEndOfPeriod,CashBalancesIncrease,CashFlowsProvidedFromFinancingActivities,CashProvidedByInvestingActivities,CashReceivedThroughOperations,DecreaseInDepositDeposit,DecreaseInShortTermLoans,Depreciation,InterestExpense,InterestIncome,InventoryIncrease,OtherInvestingActivities,OtherNonCurrentLiabilitiesIncrease,PayTheInterest,ProceedsFromLongTermDebt,PropertyAndPlantAndEquipment,ReceivableIncrease,RedemptionOfBonds,RentalPrincipalRepayments,RepaymentOfLongTermDebt,TotalIncomeLossItems
2023-09-30,1313,,,,,,,,,,,,,,-535962000.0,,,,,,,,
2023-12-31,1313,,,,,,,,,,,,,,,,,,,,-13678000.0,,
2024-03-31,1313,,,,,-171120000.0,,,,,,,,,,,,,,,,,
2024-06-30,1313,,,,,-492030000.0,,,,,,,,,,,,,,,,,
2024-09-30,1313,,,,,-693742000.0,,,,,,,,,,,,,,,,,
2024-12-31,1313,,,,,,,,,1795529000.0,,,,,,,,,,,,,
2025-03-31,1313,,,,,-243874000.0,,,,,,,,,,,,,,,,,
2025-06-30,1313,,,,,,,,,881602000.0,,,,,,,,,,,,,
2023-09-30,1316,,,,,,,,,,,,,,-26304000.0,,,,,,,,
2023-12-31,1316,,,,,,,,,,,,,,,,,,,,-4371000.0,,
2024-03-31,1316,,,,,,,,,14111000.0,,,,,,,,,,,,,
2024-06-30,1316,,,,,,,,,,,,,,,,,-22724000.0,,,,,
2024-09-30,1316,,,,,,,,,44590000.0,,,,,,,,,,,,,
2024-12-31,1316,,,,,,,,,68203000.0,,,,,,,,,,,,,
2025-03-31,1316,,,,,,,,,25071000.0,,,,,,,,,,,,,
2025-06-30,1316,,,,,,,,,,,,,,,,,-46335000.0,,,,,
2023-09-30,1414,202677000.0,,,,,,,,,,,,,,,,,,,,,
2023-12-31,1414,,163125000.0,,,,,,,,,,,,,,,,,,,,
2024-03-31,1414,,165985000.0,,,,,,,,,,,,,,,,,,,,
2024-06-30,1414,,131534000.0,,,,,,,,,,,,,,,,,,,,
2024-09-30,1414,,,,-170362000.0,,,,,,,,,,,,,,,,,,
2024-12-31,1414,,,,-200387000.0,,,,,,,,,,,,,,,,,,
2025-03-31,1414,,200752000.0,,,,,,,,,,,,,,,,,,,,
2025-06-30,1414,,184160000.0,,,,,,,,,,,,,,,,,,,,
2023-09-30,1419,,,,,,,,,,,,,,,-39969000.0,,,,,,,
2023-12-31,1419,,1610707000.0,,,,,,,,,,,,,,,,,,,,
2024-03-31,1419,,,,,,,,,,,,,,,,,-5933000.0,,,,,
2024-06-30,1419,,,,,,,,,,,,,,,,,-18867000.0,,,,,
