date,stock_id,-,BadDebts,ComprehensiveIncomeConsolidatedNetIncomeAttributedNonControllingInterest,CostOfGoodsSold,EPS,EquityAttributableToOwnersOfParent,Expense,GrossProfit,Income,IncomeAfterTax,IncomeAfterTaxes,IncomeBeforeTaxFromContinuingOperations,IncomeFromContinuingOperations,IncomeLossFromDiscontinuedOperation,NetChangeInProvisionsForInsuranceLiabilities,NetInterestIncome,NetNonInterestIncome,NoncontrollingInterests,OTHNOE,OperatingExpenses,OperatingIncome,OtherComprehensiveIncome,OtherComprehensiveIncomeAfterTax,OtherComprehensiveIncomeAfterTaxThePeriod,PreTaxIncome,RealizedGain,Revenue,TAX,TotalConsolidatedProfitForThePeriod,TotalNonbusinessIncome,TotalNonoperatingIncomeAndExpense,UnrealizedGain
2023-09-30,1313,,,,18768230000.0,0.39,519665000.0,,1088210000.0,,,519665000.0,,519665000.0,,,,,,,613261000.0,474949000.0,1510732000.0,,,647771000.0,,19856440000.0,128106000.0,2030397000.0,,172822000.0,
2023-12-31,1313,,,,19390908000.0,-0.14,-191431000.0,,461863000.0,,,-191431000.0,,-191431000.0,,,,,,,603858000.0,-141995000.0,181572000.0,,,-209561000.0,,19852771000.0,-18130000.0,-9859000.0,,-67566000.0,
2024-03-31,1313,,,,18356825000.0,-0.59,-780660000.0,,-531335000.0,,,-780660000.0,,-780660000.0,,,,,,,595938000.0,-1127273000.0,1938024000.0,,,-1063157000.0,,17825490000.0,-282497000.0,1157364000.0,,64116000.0,
2024-06-30,1313,,,,20235664000.0,-0.43,-571660000.0,,145846000.0,,,-571660000.0,,-571660000.0,,,,,,,647433000.0,-501587000.0,-423100000.0,,,-647789000.0,,20381510000.0,-76129000.0,-994760000.0,,-146202000.0,
2024-09-30,1313,,,,17268129000.0,-0.55,-726350000.0,,-263716000.0,,,-726350000.0,,-726350000.0,,,,,,,622521000.0,-886237000.0,-493526000.0,,,-664909000.0,,17004413000.0,61441000.0,-1219876000.0,,221328000.0,
2024-12-31,1313,,,,17635985000.0,-0.22,-305185000.0,,472882000.0,,,-305185000.0,,-305185000.0,,,,,,,633642000.0,-160760000.0,1019282000.0,,,-337722000.0,,18108867000.0,-32537000.0,714097000.0,,-176962000.0,
2025-03-31,1313,,,,14119079000.0,-0.2,-266053000.0,,433523000.0,,,-266053000.0,,-266053000.0,,,,,,,625839000.0,-192316000.0,-1533503000.0,,,-278949000.0,,14552602000.0,-12896000.0,-1799556000.0,,-86633000.0,
2025-06-30,1313,,,,14601061000.0,-0.11,-145906000.0,,378974000.0,,,-145906000.0,,-145906000.0,,,,,,,627882000.0,-248908000.0,-2810264000.0,,,-207039000.0,,14980035000.0,-61133000.0,-2956170000.0,,41869000.0,
2023-09-30,1316,,,-17532000.0,138988000.0,-0.16,-31193000.0,,41356000.0,,,-48787000.0,,-48787000.0,,,,,-17594000.0,,83579000.0,-42223000.0,-2826000.0,,,-53493000.0,,180344000.0,-4706000.0,-51613000.0,,-11270000.0,
2023-12-31,1316,,,-7873000.0,155332000.0,-0.18,-45298000.0,,35907000.0,,,-53751000.0,,-53751000.0,,,,,-8453000.0,,91833000.0,-55926000.0,3973000.0,,,-45935000.0,,191239000.0,7816000.0,-49778000.0,,9991000.0,
