date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,MarginPurchaseTodayBalance_delta,ShortSaleTodayBalance_delta
2023-07-17,1313,1355,60,339225,403,6460,5568, ,60,0,0,339225,9,110,101,892,9
2023-07-18,1313,3258,10,339225,1800,7908,6460, ,163,1,0,339225,95,204,110,1448,94
2023-07-19,1313,1083,0,339225,1508,7483,7908, ,0,64,0,339225,5,145,204,-425,-59
2023-07-20,1313,514,0,339225,770,7227,7483, ,0,4,0,339225,32,173,145,-256,28
2023-07-21,1313,239,0,339225,443,7023,7227, ,0,18,0,339225,29,184,173,-204,11
2023-07-24,1313,377,0,339225,533,6867,7023, ,0,19,0,339225,12,177,184,-156,-7
2023-07-25,1313,68,1,339225,366,6568,6867, ,5,6,0,339225,3,174,177,-299,-3
2023-07-26,1313,1114,1,339225,445,7236,6568, ,13,28,0,339225,114,260,174,668,86
2023-07-27,1313,1297,0,339225,1065,7468,7236, ,5,17,0,339225,50,293,260,232,33
2023-07-28,1313,485,0,339225,780,7173,7468, ,1,106,0,339225,2,189,293,-295,-104
2023-07-31,1313,313,0,339225,516,6970,7173, ,0,0,0,339225,25,214,189,-203,25
2023-08-01,1313,913,0,339225,817,7066,6970, ,52,0,0,339225,34,248,214,96,34
2023-08-02,1313,868,0,339225,555,7379,7066, ,1,15,0,339225,43,276,248,313,28
2023-08-04,1313,142,0,339225,258,7263,7379, ,5,46,0,339225,10,240,276,-116,-36
2023-08-07,1313,247,12,339225,447,7051,7263, ,0,62,0,339225,0,178,240,-212,-62
2023-08-08,1313,81,0,339225,194,6938,7051, ,33,13,0,339225,5,170,178,-113,-8
2023-08-09,1313,82,35,339225,137,6848,6938, ,0,30,0,339225,0,140,170,-90,-30
2023-08-10,1313,276,15,339225,460,6649,6848, ,0,0,0,339225,3,143,140,-199,3
2023-08-11,1313,102,2,339225,111,6638,6649, ,0,0,0,339225,1,144,143,-11,1
2023-08-14,1313,347,1,339270,580,6404,6638, ,0,6,0,339270,5,143,144,-234,-1
2023-08-15,1313,50,0,339270,59,6395,6404, ,0,21,0,339270,0,122,143,-9,-21
2023-08-16,1313,140,0,339270,165,6370,6395, ,0,4,0,339270,2,120,122,-25,-2
2023-08-17,1313,17,5,339270,99,6283,6370, ,9,4,0,339270,0,116,120,-87,-4
2023-08-18,1313,133,2,339270,82,6332,6283, ,9,0,0,339270,1,117,116,49,1
2023-08-21,1313,120,0,339270,370,6082,6332, ,0,0,0,339270,10,127,117,-250,10
2023-08-22,1313,16,1,339270,104,5993,6082, ,0,0,0,339270,3,130,127,-89,3
2023-08-23,1313,55,0,339270,115,5933,5993, ,0,1,0,339270,0,129,130,-60,-1
2023-08-24,1313,16,0,339270,72,5877,5933, ,0,1,0,339270,1,129,129,-56,0
2023-08-25,1313,122,0,339270,121,5878,5877, ,1,0,0,339270,2,131,129,1,2
2023-08-28,1313,93,8,339270,322,5641,5878, ,1,2,0,339270,10,139,131,-237,8
2023-08-29,1313,66,0,339270,32,5675,5641, ,0,1,0,339270,0,138,139,34,-1
2023-08-30,1313,8,0,339270,5,5678,5675, ,0,0,0,339270,0,138,138,3,0
2023-08-31,1313,72,0,339270,101,5649,5678, ,0,2,0,339270,0,136,138,-29,-2
2023-09-01,1313,44,0,339270,88,5605,5649, ,1,0,0,339270,0,136,136,-44,0
2023-09-04,1313,294,0,339270,280,5619,5605, ,1,0,0,339270,2,138,136,14,2
2023-09-05,1313,271,3,339270,263,5624,5619, ,6,0,0,339270,0,138,138,5,0
2023-09-06,1313,80,0,339270,145,5559,5624, ,2,2,0,339270,0,136,138,-65,-2
2023-09-07,1313,61,4,339270,39,5577,5559, ,1,0,0,339270,0,136,136,18,0
2023-09-08,1313,226,9,339270,93,5701,5577, ,12,0,0,339270,0,136,136,124,0
2023-09-11,1313,131,11,339270,67,5754,5701, ,0,0,0,339270,0,136,136,53,0
2023-09-12,1313,27,0,339270,67,5714,5754, ,1,0,0,339270,0,136,136,-40,0
2023-09-13,1313,270,0,339270,114,5870,5714, ,1,0,0,339270,0,136,136,156,0
2023-09-14,1313,191,0,340590,18,6043,5870, ,0,0,0,340590,0,136,136,173,0
2023-09-15,1313,155,0,340590,96,6102,6043, ,1,1,0,340590,0,135,136,59,-1
2023-09-18,1313,28,0,340590,62,6068,6102, ,0,0,0,340590,1,136,135,-34,1
2023-09-19,1313,121,0,340590,156,6033,6068, ,0,0,0,340590,0,136,136,-35,0
2023-09-20,1313,59,0,340590,55,6037,6033, ,0,0,0,340590,0,136,136,4,0
2023-09-21,1313,60,0,340590,120,5977,6037, ,0,1,0,340590,3,138,136,-60,2
2023-09-22,1313,17,1,340590,76,5917,5977, ,0,1,0,340590,0,137,138,-60,-1
2023-09-25,1313,14,10,340590,67,5854,5917, ,1,0,0,340590,0,137,137,-63,0
2023-09-26,1313,71,1,340590,35,5889,5854, ,0,0,0,340590,0,137,137,35,0
2023-09-27,1313,36,1,340590,180,5744,5889, ,0,0,0,340590,0,137,137,-145,0
2023-09-28,1313,14,0,340590,74,5684,5744, ,0,0,0,340590,0,137,137,-60,0
2023-10-02,1313,12,5,340590,9,5682,5684, ,0,0,0,340590,0,137,137,-2,0
2023-10-03,1313,37,0,340590,57,5662,5682, ,0,0,0,340590,0,137,137,-20,0
2023-10-04,1313,133,0,340590,41,5754,5662, ,0,1,0,340590,1,137,137,92,0
2023-10-05,1313,22,0,340590,21,5755,5754, ,0,0,0,340590,0,137,137,1,0
2023-10-06,1313,15,1,340590,12,5757,5755, ,0,1,0,340590,0,136,137,2,-1
2023-10-11,1313,77,0,340590,124,5710,5757, ,0,0,0,340590,0,136,136,-47,0
2023-10-12,1313,28,5,340590,84,5649,5710, ,0,0,0,340590,0,136,136,-61,0
2023-10-13,1313,28,0,340894,3,5674,5649, ,0,0,0,340894,0,136,136,25,0
2023-10-16,1313,126,5,340894,19,5776,5674, ,0,0,0,340894,1,137,136,102,1
2023-10-17,1313,72,0,340894,7,5841,5776, ,0,1,0,340894,0,136,137,65,-1
2023-10-18,1313,102,0,340894,23,5920,5841, ,0,0,0,340894,0,136,136,79,0
2023-10-19,1313,30,0,340894,23,5927,5920, ,0,0,0,340894,1,137,136,7,1
2023-10-20,1313,38,0,340894,115,5850,5927, ,1,11,0,340894,1,127,137,-77,-10
2023-10-23,1313,32,2,340894,35,5845,5850, ,0,0,0,340894,3,130,127,-5,3
2023-10-24,1313,16,0,340894,23,5838,5845, ,0,0,0,340894,0,130,130,-7,0
2023-10-25,1313,22,0,340894,19,5841,5838, ,0,1,0,340894,0,129,130,3,-1
2023-10-26,1313,34,0,340894,144,5731,5841, ,0,0,0,340894,0,129,129,-110,0
