date,stock_id,country,revenue,revenue_month,revenue_year,ym,revenue_mom,revenue_yoy
2023-08-01,1313,Taiwan,6142965000,7,2023,2023-07,,
2023-09-01,1313,Taiwan,6494950000,8,2023,2023-08,0.05729887765924113,
2023-10-01,1313,Taiwan,7063372000,9,2023,2023-09,0.0875175328524469,
2023-11-01,1313,Taiwan,6323633000,10,2023,2023-10,-0.10472887453754387,
2023-12-01,1313,Taiwan,6642500000,11,2023,2023-11,0.05042465304359056,
2024-01-01,1313,Taiwan,6670416000,12,2023,2023-12,0.0042026345502446105,
2024-02-01,1313,Taiwan,7030314000,1,2024,2024-01,0.05395435607014609,
2024-03-01,1313,Taiwan,3405651000,2,2024,2024-02,-0.5155762601784216,
2024-04-01,1313,Taiwan,7295577000,3,2024,2024-03,1.1421974829481942,
2024-05-01,1313,Taiwan,6988675000,4,2024,2024-04,-0.04206685776875496,
2024-06-01,1313,Taiwan,6951456000,5,2024,2024-05,-0.005325616086024887,
2024-07-01,1313,Taiwan,6019167000,6,2024,2024-06,-0.13411420571460142,
2024-08-01,1313,Taiwan,6062896000,7,2024,2024-07,0.007264958755920814,-0.013034259514745683
2024-09-01,1313,Taiwan,5639666000,8,2024,2024-08,-0.06980657428397252,-0.13168446254397648
2024-10-01,1313,Taiwan,5094421000,9,2024,2024-09,-0.09668037078791547,-0.2787551045024954
2024-11-01,1313,Taiwan,5332007000,10,2024,2024-10,0.0466365068768364,-0.15681270560767835
2024-12-01,1313,Taiwan,6239419000,11,2024,2024-11,0.17018207215406878,-0.06068212269476858
2025-01-01,1313,Taiwan,6438589000,12,2024,2024-12,0.03192124138481489,-0.03475450406691272
2025-02-01,1313,Taiwan,4384870000,1,2025,2025-01,-0.31897035204452406,-0.3762910163045349
2025-03-01,1313,Taiwan,4286677000,2,2025,2025-02,-0.022393594336890255,0.25869532726635813
2025-04-01,1313,Taiwan,5864531000,3,2025,2025-03,0.3680832495660391,-0.196152545576587
2025-05-01,1313,Taiwan,5570919000,4,2025,2025-04,-0.050065725630915714,-0.20286477765813982
2025-06-01,1313,Taiwan,5129412000,5,2025,2025-05,-0.07925209467235117,-0.26210969327864553
2025-07-01,1313,Taiwan,5143161000,6,2025,2025-06,0.0026804241889712976,-0.14553608497654247
2025-08-01,1313,Taiwan,5132015000,7,2025,2025-07,-0.0021671497353475955,-0.15353735244675148
2025-09-01,1313,Taiwan,4946044000,8,2025,2025-08,-0.036237423312285744,-0.12298990755835537
2023-08-01,1316,Taiwan,53619000,7,2023,2023-07,,
2023-09-01,1316,Taiwan,49555000,8,2023,2023-08,-0.07579402823625958,
2023-10-01,1316,Taiwan,77620000,9,2023,2023-09,0.5663404298254464,
2023-11-01,1316,Taiwan,37856000,10,2023,2023-10,-0.5122906467405308,
2023-12-01,1316,Taiwan,97947000,11,2023,2023-11,1.5873573541842774,
