date,stock_id,type,value,origin_name
2025-06-30,3450,CashAndCashEquivalents,3253380000.0,現金及約當現金
2025-06-30,3450,CashAndCashEquivalents_per,27.43,現金及約當現金
2025-06-30,3450,FinancialAssetsAtAmortizedCost,193300000.0,按攤銷後成本衡量之金融資產－流動
2025-06-30,3450,FinancialAssetsAtAmortizedCost_per,1.63,按攤銷後成本衡量之金融資產－流動
2025-06-30,3450,FinancialAssetsAtAmortizedCostNonCurrent,774000.0,按攤銷後成本衡量之金融資產－非流動
2025-06-30,3450,FinancialAssetsAtAmortizedCostNonCurrent_per,0.01,按攤銷後成本衡量之金融資產－非流動
2025-06-30,3450,OtherReceivable,691534000.0,其他應收款淨額
2025-06-30,3450,OtherReceivable_per,5.83,其他應收款淨額
2025-06-30,3450,Prepayments,296224000.0,預付款項
2025-06-30,3450,Prepayments_per,2.5,預付款項
2025-06-30,3450,AccountsReceivableNet,1102537000.0,應收帳款淨額
2025-06-30,3450,AccountsReceivableNet_per,9.3,應收帳款淨額
2025-06-30,3450,AccountsReceivableDuefromRelatedPartiesNet,9394000.0,應收帳款－關係人淨額
2025-06-30,3450,AccountsReceivableDuefromRelatedPartiesNet_per,0.08,應收帳款－關係人淨額
2025-06-30,3450,OtherReceivablesDueFromRelatedParties,276000.0,其他應收款－關係人淨額
2025-06-30,3450,OtherReceivablesDueFromRelatedParties_per,0.0,其他應收款－關係人淨額
2025-06-30,3450,Inventories,956106000.0,存貨
2025-06-30,3450,Inventories_per,8.06,存貨
2025-06-30,3450,CurrentAssets,6772370000.0,流動資產合計
2025-06-30,3450,CurrentAssets_per,57.11,流動資產合計
2025-06-30,3450,InvestmentAccountedForUsingEquityMethod,118584000.0,採用權益法之投資
2025-06-30,3450,InvestmentAccountedForUsingEquityMethod_per,1.0,採用權益法之投資
2025-06-30,3450,PropertyPlantAndEquipment,4394674000.0,不動產、廠房及設備
2025-06-30,3450,PropertyPlantAndEquipment_per,37.06,不動產、廠房及設備
2025-06-30,3450,RightOfUseAsset,140391000.0,使用權資產
2025-06-30,3450,RightOfUseAsset_per,1.18,使用權資產
2025-06-30,3450,IntangibleAssets,2319000.0,無形資產
2025-06-30,3450,IntangibleAssets_per,0.02,無形資產
2025-06-30,3450,DeferredTaxAssets,155688000.0,遞延所得稅資產
2025-06-30,3450,DeferredTaxAssets_per,1.31,遞延所得稅資產
2025-06-30,3450,OtherNoncurrentAssets,238338000.0,其他非流動資產
2025-06-30,3450,OtherNoncurrentAssets_per,2.01,其他非流動資產
2025-06-30,3450,NoncurrentAssets,5086313000.0,非流動資產合計
2025-06-30,3450,NoncurrentAssets_per,42.89,非流動資產合計
2025-06-30,3450,TotalAssets,11858683000.0,資產總額
2025-06-30,3450,TotalAssets_per,100.0,資產總額
2025-06-30,3450,ShorttermBorrowings,390000000.0,短期借款
2025-06-30,3450,ShorttermBorrowings_per,3.29,短期借款
2025-06-30,3450,AccountsPayable,1013594000.0,應付帳款
2025-06-30,3450,AccountsPayable_per,8.55,應付帳款
2025-06-30,3450,OtherPayables,1574742000.0,其他應付款
2025-06-30,3450,OtherPayables_per,13.28,其他應付款
2025-06-30,3450,CurrentTaxLiabilities,181949000.0,本期所得稅負債
2025-06-30,3450,CurrentTaxLiabilities_per,1.53,本期所得稅負債
2025-06-30,3450,CurrentProvisions,66986000.0,負債準備－流動
2025-06-30,3450,CurrentProvisions_per,0.56,負債準備－流動
2025-06-30,3450,OtherCurrentLiabilities,238361000.0,其他流動負債
2025-06-30,3450,OtherCurrentLiabilities_per,2.01,其他流動負債
2025-06-30,3450,CurrentLiabilities,3553746000.0,流動負債合計
2025-06-30,3450,CurrentLiabilities_per,29.97,流動負債合計
2025-06-30,3450,LongtermBorrowings,414825000.0,長期借款
2025-06-30,3450,LongtermBorrowings_per,3.5,長期借款
2025-06-30,3450,OtherNoncurrentLiabilities,416842000.0,其他非流動負債
2025-06-30,3450,OtherNoncurrentLiabilities_per,3.52,其他非流動負債
2025-06-30,3450,NoncurrentLiabilities,1254510000.0,非流動負債合計
2025-06-30,3450,NoncurrentLiabilities_per,10.58,非流動負債合計
2025-06-30,3450,Liabilities,4808256000.0,負債總額
2025-06-30,3450,Liabilities_per,40.55,負債總額
2025-06-30,3450,OrdinaryShare,1456814000.0,普通股股本
2025-06-30,3450,OrdinaryShare_per,12.28,普通股股本
2025-06-30,3450,CapitalStock,1456814000.0,股本合計
2025-06-30,3450,CapitalStock_per,12.28,股本合計
2025-06-30,3450,CapitalSurplusAdditionalPaidInCapital,322130000.0,資本公積－發行溢價
2025-06-30,3450,CapitalSurplusAdditionalPaidInCapital_per,2.72,資本公積－發行溢價
2025-06-30,3450,CapitalSurplus,456222000.0,資本公積合計
2025-06-30,3450,CapitalSurplus_per,3.85,資本公積合計
2025-06-30,3450,LegalReserve,849127000.0,法定盈餘公積
2025-06-30,3450,LegalReserve_per,7.16,法定盈餘公積
2025-06-30,3450,UnappropriatedRetainedEarningsAaccumulatedDeficit,2011298000.0,未分配盈餘
2025-06-30,3450,UnappropriatedRetainedEarningsAaccumulatedDeficit_per,16.96,未分配盈餘
2025-06-30,3450,RetainedEarnings,2883503000.0,保留盈餘合計
2025-06-30,3450,RetainedEarnings_per,24.32,保留盈餘合計
2025-06-30,3450,OtherEquityInterest,-155228000.0,其他權益合計
2025-06-30,3450,OtherEquityInterest_per,-1.31,其他權益合計
2025-06-30,3450,EquityAttributableToOwnersOfParent,4641311000.0,歸屬於母公司業主之權益合計
2025-06-30,3450,EquityAttributableToOwnersOfParent_per,39.14,歸屬於母公司業主之權益合計
2025-06-30,3450,NoncontrollingInterests,2409116000.0,非控制權益
2025-06-30,3450,NoncontrollingInterests_per,20.32,非控制權益
2025-06-30,3450,Equity,7050427000.0,權益總額
2025-06-30,3450,Equity_per,59.45,權益總額
2025-06-30,3450,TotalLiabilitiesEquity,11858683000.0,負債及權益總計
2025-06-30,3450,TotalLiabilitiesEquity_per,100.0,負債及權益總計
2025-06-30,3450,NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,0.0,母公司暨子公司所持有之母公司庫藏股股數
2025-06-30,3450,CurrentIncomeTaxAssets,353000.0,本期所得稅資產
2025-06-30,3450,CurrentIncomeTaxAssets_per,0.0,本期所得稅資產
2025-06-30,3450,CurrentContractLiabilities,47059000.0,合約負債
2025-06-30,3450,CurrentContractLiabilities_per,0.4,合約負債
2025-06-30,6770,CashAndCashEquivalents,24038214000.0,現金及約當現金
2025-06-30,6770,CashAndCashEquivalents_per,13.12,現金及約當現金
2025-06-30,6770,FinancialAssetsAtAmortizedCost,5604718000.0,按攤銷後成本衡量之金融資產－流動
2025-06-30,6770,FinancialAssetsAtAmortizedCost_per,3.06,按攤銷後成本衡量之金融資產－流動
2025-06-30,6770,FinancialAssetsAtAmortizedCostNonCurrent,0.0,按攤銷後成本衡量之金融資產－非流動
2025-06-30,6770,FinancialAssetsAtAmortizedCostNonCurrent_per,0.0,按攤銷後成本衡量之金融資產－非流動
2025-06-30,6770,OtherReceivable,391160000.0,其他應收款淨額
