date,stock_id,type,value,origin_name
2024-03-31,2239,CashAndCashEquivalents,6083512000.0,現金及約當現金
2024-03-31,2239,CashAndCashEquivalents_per,15.77,現金及約當現金
2024-03-31,2239,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss,0.0,透過損益按公允價值衡量之金融資產－流動
2024-03-31,2239,CurrentFinancialAssetsAtFairvalueThroughProfitOrLoss_per,0.0,透過損益按公允價值衡量之金融資產－流動
2024-03-31,2239,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent,77794000.0,透過其他綜合損益按公允價值衡量之金融資產－非流動
2024-03-31,2239,FinancialAssetsAtFairvalueThroughOtherComprehensiveIncomeNonCurrent_per,0.2,透過其他綜合損益按公允價值衡量之金融資產－非流動
2024-03-31,2239,FinancialAssetsAtAmortizedCost,276042000.0,按攤銷後成本衡量之金融資產－流動
2024-03-31,2239,FinancialAssetsAtAmortizedCost_per,0.72,按攤銷後成本衡量之金融資產－流動
2024-03-31,2239,BillsReceivableNet,2623489000.0,應收票據淨額
2024-03-31,2239,BillsReceivableNet_per,6.8,應收票據淨額
2024-03-31,2239,OtherReceivable,183557000.0,其他應收款淨額
2024-03-31,2239,OtherReceivable_per,0.48,其他應收款淨額
2024-03-31,2239,Prepayments,1304792000.0,預付款項
2024-03-31,2239,Prepayments_per,3.38,預付款項
2024-03-31,2239,AccountsReceivableNet,3946311000.0,應收帳款淨額
2024-03-31,2239,AccountsReceivableNet_per,10.23,應收帳款淨額
2024-03-31,2239,Inventories,4860646000.0,存貨
2024-03-31,2239,Inventories_per,12.6,存貨
2024-03-31,2239,OtherCurrentAssets,1420073000.0,其他流動資產
2024-03-31,2239,OtherCurrentAssets_per,3.68,其他流動資產
2024-03-31,2239,CurrentAssets,20739836000.0,流動資產合計
2024-03-31,2239,CurrentAssets_per,53.76,流動資產合計
2024-03-31,2239,InvestmentAccountedForUsingEquityMethod,794589000.0,採用權益法之投資
2024-03-31,2239,InvestmentAccountedForUsingEquityMethod_per,2.06,採用權益法之投資
2024-03-31,2239,PropertyPlantAndEquipment,12536731000.0,不動產、廠房及設備
2024-03-31,2239,PropertyPlantAndEquipment_per,32.5,不動產、廠房及設備
2024-03-31,2239,RightOfUseAsset,1504162000.0,使用權資產
2024-03-31,2239,RightOfUseAsset_per,3.9,使用權資產
2024-03-31,2239,IntangibleAssets,1154123000.0,無形資產
2024-03-31,2239,IntangibleAssets_per,2.99,無形資產
2024-03-31,2239,DeferredTaxAssets,520827000.0,遞延所得稅資產
2024-03-31,2239,DeferredTaxAssets_per,1.35,遞延所得稅資產
2024-03-31,2239,OtherNoncurrentAssets,1247506000.0,其他非流動資產
2024-03-31,2239,OtherNoncurrentAssets_per,3.23,其他非流動資產
2024-03-31,2239,NoncurrentAssets,17835732000.0,非流動資產合計
2024-03-31,2239,NoncurrentAssets_per,46.24,非流動資產合計
2024-03-31,2239,TotalAssets,38575568000.0,資產總額
2024-03-31,2239,TotalAssets_per,100.0,資產總額
2024-03-31,2239,ShorttermBorrowings,3972379000.0,短期借款
2024-03-31,2239,ShorttermBorrowings_per,10.3,短期借款
2024-03-31,2239,AccountsPayable,4324746000.0,應付帳款
2024-03-31,2239,AccountsPayable_per,11.21,應付帳款
2024-03-31,2239,AccountsPayableToRelatedParties,162024000.0,應付帳款－關係人
2024-03-31,2239,AccountsPayableToRelatedParties_per,0.42,應付帳款－關係人
2024-03-31,2239,CurrentTaxLiabilities,28904000.0,本期所得稅負債
2024-03-31,2239,CurrentTaxLiabilities_per,0.07,本期所得稅負債
2024-03-31,2239,OtherCurrentLiabilities,2438714000.0,其他流動負債
2024-03-31,2239,OtherCurrentLiabilities_per,6.32,其他流動負債
2024-03-31,2239,CurrentLiabilities,16012991000.0,流動負債合計
2024-03-31,2239,CurrentLiabilities_per,41.51,流動負債合計
2024-03-31,2239,BondsPayable,0.0,應付公司債
2024-03-31,2239,BondsPayable_per,0.0,應付公司債
2024-03-31,2239,LongtermBorrowings,3783868000.0,長期借款
2024-03-31,2239,LongtermBorrowings_per,9.81,長期借款
2024-03-31,2239,OtherNoncurrentLiabilities,193912000.0,其他非流動負債
2024-03-31,2239,OtherNoncurrentLiabilities_per,0.5,其他非流動負債
2024-03-31,2239,NoncurrentLiabilities,4804631000.0,非流動負債合計
2024-03-31,2239,NoncurrentLiabilities_per,12.46,非流動負債合計
2024-03-31,2239,OrdinaryShare,1203466000.0,普通股股本
2024-03-31,2239,OrdinaryShare_per,3.12,普通股股本
2024-03-31,2239,CapitalStock,1203466000.0,股本合計
2024-03-31,2239,CapitalStock_per,3.12,股本合計
2024-03-31,2239,CapitalSurplusAdditionalPaidInCapital,8286859000.0,資本公積－發行溢價
2024-03-31,2239,CapitalSurplusAdditionalPaidInCapital_per,21.48,資本公積－發行溢價
