date,stock_id,type,value,origin_name
2025-06-30,3450,CashProvidedByInvestingActivities,-763422000.0,投資活動之淨現金流入（流出）
2025-06-30,3450,PayTheInterest,-6843000.0,支付之利息
2025-06-30,3450,PropertyAndPlantAndEquipment,-617673000.0,取得不動產、廠房及設備
2025-06-30,3450,CashBalancesBeginningOfPeriod,3138394000.0,期初現金及約當現金餘額
2025-06-30,3450,RentalPrincipalRepayments,-22185000.0,租賃本金償還
2025-06-30,3450,CashBalancesIncrease,114986000.0,本期現金及約當現金增加（減少）數
2025-06-30,3450,CashBalancesEndOfPeriod,3253380000.0,期末現金及約當現金餘額
2025-06-30,3450,IncomeBeforeIncomeTaxFromContinuingOperations,908844000.0,繼續營業單位稅前淨利（淨損）
2025-06-30,3450,ProceedsFromLongTermDebt,405000000.0,舉借長期借款
2025-06-30,3450,NetIncomeBeforeTax,908844000.0,本期稅前淨利（淨損）
2025-06-30,3450,CashFlowsFromOperatingActivities,1019765000.0,營業活動之淨現金流入（流出）
2025-06-30,3450,Depreciation,389377000.0,折舊費用
2025-06-30,3450,AmortizationExpense,1358000.0,攤銷費用
2025-06-30,3450,AccountsPayable,-191602000.0,應付帳款
2025-06-30,3450,NetCashInflowFromOperatingActivities,1019765000.0,營業活動之淨現金流入
2025-06-30,3450,RepaymentOfLongTermDebt,-219728000.0,償還長期借款
2025-06-30,3450,DecreaseInDepositDeposit,0.0,存出保證金減少
2025-06-30,3450,TotalIncomeLossItems,592953000.0,收益費損項目合計
2025-06-30,3450,ReceivableIncrease,297155000.0,應收帳款（增加）減少
2025-06-30,3450,InventoryIncrease,-346087000.0,存貨（增加）減少
2025-06-30,3450,CashFlowsProvidedFromFinancingActivities,239810000.0,籌資活動之淨現金流入（流出）
2025-06-30,3450,InterestIncome,-34958000.0,利息收入
2025-06-30,3450,DecreaseInShortTermLoans,-250000000.0,短期借款減少
2025-06-30,3450,InterestExpense,7479000.0,利息費用
2025-06-30,3450,CashReceivedThroughOperations,1132455000.0,營運產生之現金流入（流出）
2025-06-30,6770,Depreciation,5554278000.0,折舊費用
2025-06-30,6770,CashBalancesIncrease,5683214000.0,本期現金及約當現金增加（減少）數
2025-06-30,6770,InterestExpense,880129000.0,利息費用
2025-06-30,6770,PayTheInterest,-843649000.0,支付之利息
2025-06-30,6770,CashBalancesEndOfPeriod,24038214000.0,期末現金及約當現金餘額
2025-06-30,6770,CashProvidedByInvestingActivities,3338497000.0,投資活動之淨現金流入（流出）
2025-06-30,6770,NetIncomeBeforeTax,-4157945000.0,本期稅前淨利（淨損）
2025-06-30,6770,PropertyAndPlantAndEquipment,-5735399000.0,取得不動產、廠房及設備
2025-06-30,6770,CashBalancesBeginningOfPeriod,18355000000.0,期初現金及約當現金餘額
2025-06-30,6770,CashFlowsFromOperatingActivities,3445800000.0,營業活動之淨現金流入（流出）
2025-06-30,6770,AmortizationExpense,53616000.0,攤銷費用
2025-06-30,6770,RepaymentOfLongTermDebt,-952449000.0,償還長期借款
2025-06-30,6770,ProceedsFromLongTermDebt,3047200000.0,舉借長期借款
2025-06-30,6770,AccountsPayable,301989000.0,應付帳款
2025-06-30,6770,InterestIncome,-447425000.0,利息收入
2025-06-30,6770,CashReceivedThroughOperations,2935034000.0,營運產生之現金流入（流出）
2025-06-30,6770,CashFlowsProvidedFromFinancingActivities,-1100973000.0,籌資活動之淨現金流入（流出）
2025-06-30,6770,InventoryIncrease,-4353000.0,存貨（增加）減少
2025-06-30,6770,NetCashInflowFromOperatingActivities,3445800000.0,營業活動之淨現金流入
2025-06-30,6770,ReceivableIncrease,225784000.0,應收帳款（增加）減少
2025-06-30,6770,TotalIncomeLossItems,6245763000.0,收益費損項目合計
2025-06-30,6770,DecreaseInDepositDeposit,998000.0,存出保證金減少
2025-06-30,6770,RentalPrincipalRepayments,-886860000.0,租賃本金償還
2025-06-30,6770,IncomeBeforeIncomeTaxFromContinuingOperations,-4157945000.0,繼續營業單位稅前淨利（淨損）
2025-06-30,2344,PropertyAndPlantAndEquipment,-2993636000.0,取得不動產、廠房及設備
2025-06-30,2344,CashBalancesIncrease,6216801000.0,本期現金及約當現金增加（減少）數
