stock_id,date,BuyAfterSale,Volume,BuyAmount,SellAmount
3450,2025-06-25,,10964000,2342211500,2344005500
3450,2025-06-26,,13003000,2835881000,2837545500
3450,2025-06-27,,7104000,1525758500,1526175500
3450,2025-06-30,,4763000,1005140000,1004728000
3450,2025-07-01,,10708000,2284777500,2284563500
3450,2025-07-02,,5280000,1094573000,1095439500
3450,2025-07-03,,3804000,792524000,792965000
3450,2025-07-04,,13972000,2921553500,2921902000
3450,2025-07-07,,8382000,1640519500,1643121500
3450,2025-07-08,,9409000,1812033500,1814537000
3450,2025-07-09,,10171000,2024281500,2025705000
3450,2025-07-10,,6227000,1267896000,1268241500
3450,2025-07-11,,5992000,1225945500,1227078500
3450,2025-07-14,,3022000,604170500,604727000
3450,2025-07-15,,4397000,888537500,890116500
3450,2025-07-16,,9440000,1979952500,1980529000
3450,2025-07-17,,4204000,871990500,871509500
3450,2025-07-18,,4400000,913137500,913961500
3450,2025-07-21,,4312000,893381500,894136500
3450,2025-07-22,,3570000,722015000,719754000
3450,2025-07-23,,2925000,581368500,581347500
3450,2025-07-24,,5628000,1138128000,1139644000
3450,2025-07-25,,3889000,794919500,795771500
3450,2025-07-28,,4201000,856665500,855998000
3450,2025-07-29,,2341000,465334000,465115500
3450,2025-07-30,,2535000,491375000,491169000
3450,2025-07-31,,6158000,1211039000,1211633000
3450,2025-08-01,,3439000,669067500,671220000
3450,2025-08-04,,1974000,382241500,382419500
3450,2025-08-05,,1723000,333981500,333100500
3450,2025-08-06,,2082000,392182000,392132500
3450,2025-08-07,,2837000,540688000,541408500
3450,2025-08-08,,3492000,658522500,659457500
3450,2025-08-11,,1381000,257569000,257973500
3450,2025-08-12,,4377000,833621000,834111000
3450,2025-08-13,,8054000,1582719000,1579844000
3450,2025-08-14,,16104000,3248599000,3265142000
3450,2025-08-15,,10436000,2151487000,2151827000
3450,2025-08-18,,7850000,1634365000,1636279500
3450,2025-08-19,,3880000,800860000,800867000
3450,2025-08-20,,3278000,642992500,640830500
3450,2025-08-21,,4177000,811091000,811643000
3450,2025-08-22,,3082000,589361500,589314000
3450,2025-08-25,,2991000,596038500,606290000
3450,2025-08-26,,9095000,1892366000,1892546000
3450,2025-08-27,,5811000,1219940500,1221270500
3450,2025-08-28,,4109000,840912500,841260500
3450,2025-08-29,,5830000,1198549000,1199618500
3450,2025-09-01,,3740000,749387000,751901000
3450,2025-09-02,,2655000,522912500,523549500
3450,2025-09-03,,2663000,530315000,531142000
3450,2025-09-04,,2672000,535526000,535279000
3450,2025-09-05,,4038000,815048500,815524000
3450,2025-09-08,,3517000,716192500,716809500
3450,2025-09-09,,2468000,491761000,491405500
3450,2025-09-10,,5111000,1036909500,1036897500
3450,2025-09-11,,5379000,1089273000,1089802000
3450,2025-09-12,,33907000,7359457000,7324073500
3450,2025-09-15,,5280000,1069961500,1071440500
3450,2025-09-16,,3362000,695520500,696630000
3450,2025-09-17,,15741000,3435305500,3452761500
3450,2025-09-18,,9151000,2030993000,2035186500
3450,2025-09-19,,8220000,2008263500,2021886500
3450,2025-09-22,,46177000,11780383000,11820548000
3450,2025-09-23,,34919000,9497170000,9534078000
6770,2025-06-25,,3584000,55347400,55309000
6770,2025-06-26,,6079000,94911750,94904100
6770,2025-06-27,,3283000,50955500,50884500
6770,2025-06-30,,2321000,35783350,35761100
6770,2025-07-01,,2408000,37285750,37273800
6770,2025-07-02,,7688000,121068450,120871350
6770,2025-07-03,,44409000,754784600,760943600
6770,2025-07-04,,125099000,2249219100,2251175950
6770,2025-07-07,,26967000,462586650,464771300
6770,2025-07-08,,21467000,355099000,354552850
6770,2025-07-09,,12880000,206904100,207132200
6770,2025-07-10,,6318000,100034650,99684100
6770,2025-07-11,,8422000,134211200,134662050
6770,2025-07-14,,4645000,74942650,75156500
6770,2025-07-15,,2752000,44739550,44752400
6770,2025-07-16,,3383000,55118100,55121150
6770,2025-07-17,,6327000,104254150,104452050
6770,2025-07-18,,5327000,89135600,89139650
6770,2025-07-21,,8259000,137815850,138661750
6770,2025-07-22,,24311000,407612000,407291100
6770,2025-07-23,,14397000,224648050,225056000
6770,2025-07-24,,8429000,129464100,129546400
6770,2025-07-25,,5556000,85150150,85317150
6770,2025-07-28,,3880000,58824250,58930350
6770,2025-07-29,,5533000,83470450,83467000
6770,2025-07-30,,6741000,101694250,102169650
6770,2025-07-31,,4622000,69956450,69923000
6770,2025-08-01,,4255000,63716000,63924100
6770,2025-08-04,,6409000,95234500,95344550
6770,2025-08-05,,5764000,87812450,88044500
6770,2025-08-06,,3881000,58595250,58609700
6770,2025-08-07,,2284000,34302750,34204000
6770,2025-08-08,,4893000,73357100,73566950
6770,2025-08-11,,3511000,52347700,52412250
6770,2025-08-12,,3210000,48865100,49017050
6770,2025-08-13,,5534000,85629450,85609650
6770,2025-08-14,,2692000,41744500,41881200
6770,2025-08-15,,4017000,62318150,62432350
6770,2025-08-18,,3423000,53838300,54004800
6770,2025-08-19,,5500000,87673100,87712050
6770,2025-08-20,,3752000,58580050,58602550
6770,2025-08-21,,2076000,32765900,32883800
6770,2025-08-22,,2667000,41862100,41925400
6770,2025-08-25,,4186000,66847000,66780900
6770,2025-08-26,,2085000,32909000,32988500
6770,2025-08-27,,3739000,59683850,59730150
6770,2025-08-28,,2436000,38927500,38957900
6770,2025-08-29,,7288000,117922350,117515650
6770,2025-09-01,,2350000,37111350,37147900
6770,2025-09-02,,3834000,60086950,60067650
6770,2025-09-03,,3476000,53934750,53986650
6770,2025-09-04,,3385000,53057450,53207600
6770,2025-09-05,,5183000,82826650,83088200
6770,2025-09-08,,26422000,438036700,438183900
6770,2025-09-09,,5403000,88829350,88978900
6770,2025-09-10,,7677000,127164850,127777850
6770,2025-09-11,,18683000,317242700,318812100
6770,2025-09-12,,120565000,2230887550,2219767400
6770,2025-09-15,,21157000,379339100,379778950
6770,2025-09-16,,29578000,541921900,544874550
6770,2025-09-17,,58118000,1144052350,1154504350
6770,2025-09-18,,201762000,4408175450,4399656350
6770,2025-09-19,,156249000,3540869100,3546587400
6770,2025-09-22,,66075000,1433112500,1439791300
6770,2025-09-23,,118778000,2729327500,2748370000
2344,2025-06-25,,99529000,2036826600,2038331800
2344,2025-06-26,,127404000,2666988800,2670163100
2344,2025-06-27,,109418000,2317004450,2317734850
2344,2025-06-30,,53587000,1094902700,1094891650
2344,2025-07-01,,40440000,810308000,810789500
2344,2025-07-02,,39778000,784061200,784408850
2344,2025-07-03,,16184000,318290650,318632000
2344,2025-07-04,,26591000,511668600,513124750
2344,2025-07-07,,11250000,213874400,214162600
2344,2025-07-08,,18685000,355101450,355597950
2344,2025-07-09,,8168000,154764750,154889200
2344,2025-07-10,,10453000,194587950,194665950
2344,2025-07-11,,24577000,449889950,450930650
2344,2025-07-14,,9978000,183033700,183150700
2344,2025-07-15,,15211000,273781250,274856150
2344,2025-07-16,,14112000,250880500,251194250
2344,2025-07-17,,15665000,279091200,279835700
2344,2025-07-18,,5276000,93969850,93944950
2344,2025-07-21,,6039000,105711600,105727300
2344,2025-07-22,,8279000,144044100,144499400
2344,2025-07-23,,11312000,198015750,198646250
2344,2025-07-24,,12777000,221964100,222655850
2344,2025-07-25,,3907000,68128900,68232700
