date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2025-07-07,5469,442,0,121541,201,9429,9188,X ,0,0,0,121541,0,0,0
2025-07-08,5469,150,0,121541,222,9357,9429, ,0,0,0,121541,0,0,0
2025-07-09,5469,171,0,121541,527,9001,9357, ,38,0,0,121541,21,21,0
2025-07-10,5469,149,0,121541,114,9036,9001, ,6,6,0,121541,8,23,21
2025-07-11,5469,580,0,121541,516,9100,9036, ,2,1,0,121541,20,42,23
2025-07-14,5469,341,0,121541,220,9220,9099, ,0,7,0,121541,2,37,42
2025-07-15,5469,652,0,121541,433,9439,9220, ,1,11,0,121541,25,51,37
2025-07-16,5469,760,0,121541,855,9344,9439, ,19,1,0,121541,12,62,51
2025-07-17,5469,541,0,121541,506,9379,9344, ,3,2,0,121541,90,150,62
2025-07-18,5469,392,0,121541,505,9266,9379, ,5,48,0,121541,7,109,150
2025-07-21,5469,683,0,121541,717,9232,9266, ,2,0,0,121541,34,143,109
2025-07-22,5469,1760,0,121541,870,10123,9233, ,23,34,0,121541,26,135,143
2025-07-23,5469,1171,1,121541,1207,10086,10123, ,6,8,0,121541,115,242,135
2025-07-24,5469,1149,2,121541,819,10412,10084, ,24,27,0,121541,21,236,242
2025-07-25,5469,404,102,121541,576,10138,10412, ,6,6,0,121541,29,259,236
2025-07-28,5469,1290,1,121541,1070,10356,10137, ,58,6,0,121541,68,321,259
2025-07-29,5469,567,0,121541,1397,9525,10355, ,3,19,0,121541,13,315,321
2025-07-30,5469,540,1,121541,553,9510,9524, ,8,31,0,121541,47,331,315
2025-07-31,5469,646,1,121541,541,9614,9510, ,10,7,0,121541,58,382,331
2025-08-01,5469,369,1,121541,877,9102,9611, ,2,5,0,121541,12,389,382
2025-08-04,5469,373,0,121541,305,9169,9101, ,0,68,0,121541,17,338,389
2025-08-05,5469,288,0,121541,317,9140,9169, ,4,2,0,121541,18,354,338
2025-08-06,5469,360,1,121541,208,9291,9140, ,10,33,0,121541,32,353,354
2025-08-07,5469,980,0,121541,1033,9238,9291, ,30,194,0,121541,34,193,353
2025-08-08,5469,397,0,121541,218,9417,9238, ,3,35,1,121541,43,200,193
2025-08-11,5469,160,0,121541,428,9149,9417, ,1,37,0,121541,31,194,200
2025-08-12,5469,282,0,121541,414,9017,9149, ,1,21,0,121541,10,183,194
2025-08-13,5469,302,0,121541,548,8771,9017, ,3,2,0,121541,24,205,183
2025-08-14,5469,775,0,121541,655,8890,8770, ,14,7,0,121541,33,231,205
2025-08-15,5469,556,17,121541,243,9186,8890, ,1,10,0,121541,1,222,231
2025-08-18,5469,874,0,121541,999,9061,9186, ,4,3,0,121541,31,250,222
2025-08-19,5469,1587,0,121541,670,9977,9060, ,6,6,0,121541,10,254,250
2025-08-20,5469,485,0,121541,728,9734,9977, ,0,24,0,121541,21,251,254
2025-08-21,5469,775,0,121541,269,10239,9733, ,1,5,10,121541,30,266,251
2025-08-22,5469,218,0,121541,297,10160,10239, ,0,15,0,121541,4,255,266
2025-08-25,5469,1949,0,121541,812,11297,10160, ,9,8,0,121541,67,314,255
2025-08-26,5469,1098,0,121541,537,11855,11294, ,7,34,0,121541,2,282,314
2025-08-27,5469,975,0,121541,1469,11361,11855, ,5,12,0,121541,125,395,282
2025-08-28,5469,3152,0,121541,974,13538,11360, ,184,75,0,121541,12,332,395
2025-08-29,5469,2310,1,121541,1704,14141,13536, ,28,32,0,121541,350,650,332
2025-09-01,5469,5427,0,121541,1578,17990,14141, ,140,322,0,121541,80,408,650
2025-09-02,5469,1386,0,121541,753,18623,17990, ,33,114,0,121541,17,311,408
2025-09-03,5469,2084,0,121541,878,19829,18623, ,26,3,0,121541,90,398,311
2025-09-04,5469,1351,1,121541,1115,20064,19829, ,23,71,0,121541,492,819,398
2025-09-05,5469,596,3,121541,349,20308,20064, ,4,67,0,121541,204,956,819
2025-09-08,5469,473,51,121541,431,20298,20307, ,2,40,0,121541,137,1053,956
2025-09-09,5469,515,0,121541,279,20534,20298, ,0,11,0,121541,234,1276,1053
2025-09-10,5469,979,0,121541,496,21017,20534, ,6,9,0,121541,114,1381,1276
2025-09-11,5469,634,1,121541,840,20810,21017, ,6,21,0,121541,27,1387,1381
2025-09-12,5469,207,5,121541,253,20759,20810, ,13,255,1,121541,23,1154,1387
2025-09-15,5469,357,26,121541,802,20288,20759, ,16,328,0,121541,32,858,1154
2025-09-16,5469,634,2,121541,205,20714,20287, ,2,268,10,121541,72,652,858
2025-09-17,5469,2181,0,121541,1139,21756,20714, ,138,5,0,121541,684,1331,652
2025-09-18,5469,4037,1,121541,2044,23748,21756, ,18,17,0,121541,249,1563,1331
2025-09-19,5469,4138,25,121541,3960,23900,23747, ,16,16,0,121541,929,2476,1563
2025-09-22,5469,3359,0,121541,3242,24015,23898, ,49,48,11,121541,698,3115,2476
2025-09-23,5469,2531,0,121541,4752,21794,24015, ,51,382,0,121541,66,2799,3115
