stock_id,date,end_date,reason
3006,2025-07-03,2025-07-08,除息
3711,2025-06-26,2025-07-01,除息
3037,2025-07-04,2025-07-09,除息
2033,2025-08-01,2025-08-06,除息
2331,2025-07-30,2025-08-04,除息
6719,2025-07-11,2025-07-16,除息
2301,2025-08-13,2025-08-18,除息
2317,2025-06-26,2025-07-01,除息
2492,2025-07-03,2025-07-08,除息
2855,2025-07-02,2025-07-07,除權息
5469,2025-07-03,2025-07-08,除息
2812,2025-08-07,2025-08-12,除權息
1419,2025-07-18,2025-07-23,除息
4536,2025-07-10,2025-07-15,除息
8046,2025-06-27,2025-07-02,除息
3380,2025-07-11,2025-07-16,除息
2356,2025-07-04,2025-07-09,除息
1603,2025-08-22,2025-08-27,除息
6515,2025-07-01,2025-07-04,除息
2885,2025-06-25,2025-06-30,除息
2885,2025-08-06,2025-08-11,除權
2375,2025-07-31,2025-08-05,除息
1560,2025-07-15,2025-07-18,除息
