date,stock_id,country,revenue,revenue_month,revenue_year
2024-09-01,3231,Taiwan,89820629000,8,2024
2024-10-01,3231,Taiwan,96903570000,9,2024
2024-11-01,3231,Taiwan,96284824000,10,2024
2024-12-01,3231,Taiwan,95242553000,11,2024
2025-01-01,3231,Taiwan,105654212000,12,2024
2025-02-01,3231,Taiwan,90786162000,1,2025
2025-03-01,3231,Taiwan,102714136000,2,2025
2025-04-01,3231,Taiwan,152984771000,3,2025
2025-05-01,3231,Taiwan,133703546000,4,2025
2025-06-01,3231,Taiwan,208405603000,5,2025
2025-07-01,3231,Taiwan,209182302000,6,2025
2025-08-01,3231,Taiwan,191725748000,7,2025
2025-09-01,3231,Taiwan,172642595000,8,2025
