date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-06-25,3450,15672894,3348794373,215.0,218.5,209.0,213.0,2.0,11941
2025-06-26,3450,18854784,4114548936,214.0,222.5,214.0,216.0,3.0,14909
2025-06-27,3450,11013643,2364756545,219.0,220.5,212.0,214.5,-1.5,8651
2025-06-30,3450,8483896,1788626084,216.0,216.5,208.5,209.0,-5.5,6882
2025-07-01,3450,15071738,3213569303,210.0,218.0,209.0,209.0,0.0,11478
2025-07-02,3450,8280259,1716458932,208.5,209.5,205.0,208.5,-0.5,7129
2025-07-03,3450,6758039,1407387410,210.5,212.0,206.0,207.0,-1.5,5951
2025-07-04,3450,21742381,4542839769,211.0,213.5,205.0,205.5,-1.5,17524
2025-07-07,3450,15081595,2952754329,205.0,206.0,190.5,192.5,-13.0,14420
2025-07-08,3450,14157797,2728363369,190.0,197.0,189.0,197.0,4.5,11249
2025-07-09,3450,14689421,2928496973,196.0,202.5,193.0,202.0,5.0,11475
2025-07-10,3450,9213156,1876565891,203.0,206.0,201.0,203.5,1.5,7603
2025-07-11,3450,8673925,1775935846,203.5,209.5,202.5,203.5,0.0,6980
2025-07-14,3450,4998122,999085457,203.0,203.5,198.0,198.0,-5.5,5278
2025-07-15,3450,7266321,1473006990,198.0,206.0,198.0,205.5,7.5,6204
2025-07-16,3450,14792204,3105022512,208.0,213.5,206.0,209.0,3.5,11787
2025-07-17,3450,6892214,1428406002,211.5,212.5,204.0,205.0,-4.0,9271
2025-07-18,3450,7014092,1456188677,208.0,210.0,205.0,208.5,3.5,5871
2025-07-21,3450,6686404,1385239754,208.5,210.5,205.0,206.5,-2.0,5475
2025-07-22,3450,7634722,1536468688,207.5,208.5,196.0,197.0,-9.5,7512
2025-07-23,3450,4802797,954489151,199.0,201.5,197.0,198.0,1.0,4191
2025-07-24,3450,8799168,1781660112,200.0,206.0,198.0,203.5,5.5,6897
2025-07-25,3450,6662117,1362521291,205.0,206.5,201.5,205.0,1.5,5705
2025-07-28,3450,7700630,1568077565,208.0,208.5,200.0,201.5,-3.5,6920
2025-07-29,3450,4956088,984203200,201.5,202.5,196.0,197.0,-4.5,5294
2025-07-30,3450,5740832,1110493440,198.0,199.0,190.5,192.5,-4.5,6506
2025-07-31,3450,8893165,1749464873,193.5,201.0,193.5,194.5,2.0,7734
2025-08-01,3450,6270448,1224082103,190.0,199.0,187.0,199.0,4.5,5741
2025-08-04,3450,4419934,855455878,195.5,197.0,192.0,193.5,-5.5,4295
2025-08-05,3450,4400757,850642240,195.5,197.0,191.0,191.5,-2.0,4563
2025-08-06,3450,5243769,987097760,189.5,190.5,187.0,187.5,-4.0,6277
2025-08-07,3450,5458837,1041003372,189.0,194.0,188.5,189.5,2.0,4760
2025-08-08,3450,6971615,1312272100,190.5,193.0,185.5,187.0,-2.5,8576
2025-08-11,3450,3031736,566598500,185.5,188.5,184.5,188.0,1.0,3068
2025-08-12,3450,7737048,1474141577,187.0,193.0,187.0,190.5,2.5,6479
2025-08-13,3450,13027834,2559772959,193.0,203.0,190.5,192.0,1.5,11059
2025-08-14,3450,27763377,5612841858,195.0,207.5,194.0,203.0,11.0,30956
2025-08-15,3450,18830241,3882248058,206.5,209.0,203.5,206.0,3.0,21988
2025-08-18,3450,14645085,3053060398,205.5,211.5,204.0,207.5,1.5,11561
2025-08-19,3450,9305895,1918043981,209.0,210.5,203.0,205.0,-2.5,9396
2025-08-20,3450,8062057,1576773795,203.0,203.0,190.5,191.0,-14.0,13456
2025-08-21,3450,6541951,1270033957,192.5,198.0,192.0,192.5,1.5,6869
2025-08-22,3450,5937192,1132709645,194.0,195.5,188.0,188.5,-4.0,6261
2025-08-25,3450,11878845,2407503076,193.0,207.0,193.0,207.0,18.5,9420
2025-08-26,3450,15764523,3282278661,210.5,212.5,204.5,207.5,0.5,17305
2025-08-27,3450,11650286,2447382620,211.0,213.0,207.5,209.0,1.5,9775
2025-08-28,3450,9713062,1984818919,209.0,210.0,201.0,202.0,-7.0,14264
2025-08-29,3450,9445355,1943194830,205.5,210.0,202.5,203.0,1.0,7966
2025-09-01,3450,7463643,1494076757,203.5,206.5,195.0,197.5,-5.5,9245
2025-09-02,3450,4704306,925967737,200.0,202.0,193.0,196.5,-1.0,5179
2025-09-03,3450,5252885,1048916672,197.0,202.5,195.5,201.5,5.0,5569
2025-09-04,3450,5166959,1034555245,204.0,204.5,196.5,196.5,-5.0,6063
2025-09-05,3450,7319600,1479102096,198.0,206.0,198.0,201.0,4.5,6488
2025-09-08,3450,6400840,1304964052,203.0,206.0,200.0,204.5,3.5,8510
2025-09-09,3450,8090734,1609915983,204.0,204.0,197.0,197.5,-7.0,8195
2025-09-10,3450,9130481,1853985965,203.0,207.0,200.0,200.0,2.5,7152
2025-09-11,3450,9886709,2003239002,203.0,206.5,198.0,202.5,2.5,10787
2025-09-12,3450,51910012,11229279346,211.5,222.5,205.5,206.0,3.5,41946
2025-09-15,3450,10682957,2164092963,205.5,206.0,198.5,205.0,-1.0,10343
2025-09-16,3450,8067891,1672609828,206.0,210.0,203.5,209.5,4.5,13100
2025-09-17,3450,31692722,6942447009,209.0,226.0,207.5,221.0,11.5,28022
2025-09-18,3450,17431940,3872642522,220.5,226.0,218.5,226.0,5.0,42706
2025-09-19,3450,25151047,6186936671,238.0,248.5,232.0,248.5,22.5,19580
2025-09-22,3450,66529942,17006489739,252.5,265.0,243.5,258.5,10.0,76277
2025-09-23,3450,51958770,14155319598,263.5,280.0,261.0,278.0,19.5,43644
2025-06-25,6770,11450404,176690536,15.6,15.6,15.3,15.4,0.0,3005
2025-06-26,6770,15114744,236639462,15.5,15.9,15.4,15.4,0.0,5038
2025-06-27,6770,8993203,139583868,15.55,15.75,15.35,15.45,0.05,3189
2025-06-30,6770,7862855,121130056,15.45,15.55,15.3,15.4,-0.05,2286
2025-07-01,6770,8548031,132216533,15.4,15.6,15.35,15.5,0.1,2865
2025-07-02,6770,27204569,429980364,15.6,16.05,15.3,16.05,0.55,6482
2025-07-03,6770,99255086,1698865462,17.2,17.65,16.3,17.65,1.6,25723
2025-07-04,6770,206015674,3702576999,17.8,18.6,17.4,17.65,0.0,66215
2025-07-07,6770,49693713,853751178,17.5,17.5,16.8,17.3,-0.35,15934
2025-07-08,6770,46555982,769728555,17.2,17.2,16.25,16.25,-1.05,15394
