date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2025-06-16,1414,東和,TW0001414001,217282762,2717238,98.76,1.23,100.0,100.0,220000000,2025-05-20,
2025-06-17,1414,東和,TW0001414001,217125762,2874238,98.69,1.3,100.0,100.0,220000000,2025-05-20,
2025-06-18,1414,東和,TW0001414001,217279762,2720238,98.76,1.23,100.0,100.0,220000000,2025-05-20,
2025-06-19,1414,東和,TW0001414001,217326762,2673238,98.78,1.21,100.0,100.0,220000000,2025-05-20,
2025-06-20,1414,東和,TW0001414001,217423762,2576238,98.82,1.17,100.0,100.0,220000000,2025-05-20,
2025-06-23,1414,東和,TW0001414001,217511762,2488238,98.86,1.13,100.0,100.0,220000000,2025-05-20,
2025-06-24,1414,東和,TW0001414001,217364762,2635238,98.8,1.19,100.0,100.0,220000000,2025-05-20,
2025-06-25,1414,東和,TW0001414001,217554762,2445238,98.88,1.11,100.0,100.0,220000000,2025-05-20,
2025-06-26,1414,東和,TW0001414001,217488762,2511238,98.85,1.14,100.0,100.0,220000000,2025-05-20,
2025-06-27,1414,東和,TW0001414001,217304162,2695838,98.77,1.22,100.0,100.0,220000000,2025-05-20,
2025-06-30,1414,東和,TW0001414001,217351162,2648838,98.79,1.2,100.0,100.0,220000000,2025-05-20,
2025-07-01,1414,東和,TW0001414001,217346162,2653838,98.79,1.2,100.0,100.0,220000000,2025-05-20,
2025-07-02,1414,東和,TW0001414001,217356162,2643838,98.79,1.2,100.0,100.0,220000000,2025-05-20,
2025-07-03,1414,東和,TW0001414001,217117162,2882838,98.68,1.31,100.0,100.0,220000000,2025-05-20,
2025-07-04,1414,東和,TW0001414001,217189162,2810838,98.72,1.27,100.0,100.0,220000000,2025-05-20,
2025-07-07,1414,東和,TW0001414001,217202162,2797838,98.72,1.27,100.0,100.0,220000000,2025-05-20,
2025-07-08,1414,東和,TW0001414001,217304162,2695838,98.77,1.22,100.0,100.0,220000000,2025-05-20,
2025-07-09,1414,東和,TW0001414001,217336162,2663838,98.78,1.21,100.0,100.0,220000000,2025-05-20,
2025-07-10,1414,東和,TW0001414001,217232162,2767838,98.74,1.25,100.0,100.0,220000000,2025-05-20,
2025-07-11,1414,東和,TW0001414001,217263162,2736838,98.75,1.24,100.0,100.0,220000000,2025-05-20,
2025-07-14,1414,東和,TW0001414001,217303162,2696838,98.77,1.22,100.0,100.0,220000000,2025-05-20,
2025-07-15,1414,東和,TW0001414001,217388162,2611838,98.81,1.18,100.0,100.0,220000000,2025-05-20,
2025-07-16,1414,東和,TW0001414001,217286162,2713838,98.76,1.23,100.0,100.0,220000000,2025-05-20,
2025-07-17,1414,東和,TW0001414001,217116162,2883838,98.68,1.31,100.0,100.0,220000000,2025-05-20,
2025-07-18,1414,東和,TW0001414001,217178162,2821838,98.71,1.28,100.0,100.0,220000000,2025-05-20,
2025-07-21,1414,東和,TW0001414001,217232162,2767838,98.74,1.25,100.0,100.0,220000000,2025-05-20,
2025-07-22,1414,東和,TW0001414001,217134162,2865838,98.69,1.3,100.0,100.0,220000000,2025-05-20,
2025-07-23,1414,東和,TW0001414001,216648162,3351838,98.47,1.52,100.0,100.0,220000000,2025-05-20,
2025-07-24,1414,東和,TW0001414001,216735162,3264838,98.51,1.48,100.0,100.0,220000000,2025-05-20,
2025-07-25,1414,東和,TW0001414001,216735162,3264838,98.51,1.48,100.0,100.0,220000000,2025-05-20,
2025-07-28,1414,東和,TW0001414001,216587162,3412838,98.44,1.55,100.0,100.0,220000000,2025-05-20,
2025-07-29,1414,東和,TW0001414001,216604162,3395838,98.45,1.54,100.0,100.0,220000000,2025-05-20,
2025-07-30,1414,東和,TW0001414001,216449162,3550838,98.38,1.61,100.0,100.0,220000000,2025-05-20,
2025-07-31,1414,東和,TW0001414001,216506162,3493838,98.41,1.58,100.0,100.0,220000000,2025-05-20,
2025-08-01,1414,東和,TW0001414001,216601162,3398838,98.45,1.54,100.0,100.0,220000000,2025-05-20,
2025-08-04,1414,東和,TW0001414001,216488162,3511838,98.4,1.59,100.0,100.0,220000000,2025-05-20,
2025-08-05,1414,東和,TW0001414001,216349162,3650838,98.34,1.65,100.0,100.0,220000000,2025-05-20,
2025-08-06,1414,東和,TW0001414001,216291162,3708838,98.31,1.68,100.0,100.0,220000000,2025-05-20,
2025-08-07,1414,東和,TW0001414001,216618162,3381838,98.46,1.53,100.0,100.0,220000000,2025-05-20,
2025-08-08,1414,東和,TW0001414001,216742162,3257838,98.51,1.48,100.0,100.0,220000000,2025-05-20,
2025-08-11,1414,東和,TW0001414001,216924162,3075838,98.6,1.39,100.0,100.0,220000000,2025-05-20,
2025-08-12,1414,東和,TW0001414001,216869162,3130838,98.57,1.42,100.0,100.0,220000000,2025-05-20,
2025-08-13,1414,東和,TW0001414001,216939162,3060838,98.6,1.39,100.0,100.0,220000000,2025-05-20,
2025-08-14,1414,東和,TW0001414001,216768162,3231838,98.53,1.46,100.0,100.0,220000000,2025-05-20,
2025-08-15,1414,東和,TW0001414001,216748162,3251838,98.52,1.47,100.0,100.0,220000000,2025-05-20,
2025-08-18,1414,東和,TW0001414001,216752162,3247838,98.52,1.47,100.0,100.0,220000000,2025-05-20,
2025-08-19,1414,東和,TW0001414001,216966162,3033838,98.62,1.37,100.0,100.0,220000000,2025-05-20,
2025-08-20,1414,東和,TW0001414001,217034162,2965838,98.65,1.34,100.0,100.0,220000000,2025-05-20,
2025-08-21,1414,東和,TW0001414001,216925162,3074838,98.6,1.39,100.0,100.0,220000000,2025-05-20,
2025-08-22,1414,東和,TW0001414001,217047162,2952838,98.65,1.34,100.0,100.0,220000000,2025-05-20,
