stock_id,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering,date
3006,240000,36000,40000,0,236000,71542767,19772000,54000,0,0,19826000,1277724,0,2023-07-17
3006,236000,35000,47000,1000,223000,71542767,19826000,301000,186000,0,19941000,1238604,0,2023-07-18
3006,223000,30000,12000,0,241000,71542767,19941000,675000,121000,0,20495000,1229069,0,2023-07-19
3006,241000,22000,8000,0,255000,71542767,20495000,153000,273000,0,20375000,1191763,0,2023-07-20
3006,255000,16000,58000,0,213000,71542767,20375000,379000,425000,0,20329000,1170050,0,2023-07-21
3006,213000,87000,40000,0,260000,71542767,20329000,574000,213000,0,20690000,1142890,0,2023-07-24
3006,260000,21000,47000,0,234000,71542767,20690000,93000,33000,0,20750000,1126308,0,2023-07-25
3006,234000,99000,28000,0,305000,71542767,20750000,287000,0,0,21037000,1132962,0,2023-07-26
3006,305000,141000,78000,0,368000,71542767,21037000,55000,103000,0,20989000,1124692,0,2023-07-27
3006,368000,50000,52000,0,366000,71542767,20989000,128000,97000,0,21020000,1170088,0,2023-07-28
3006,366000,29000,51000,0,344000,71542767,21020000,40000,442000,0,20618000,1163085,0,2023-07-31
3006,344000,32000,12000,0,364000,71542767,20618000,24000,227000,0,20415000,1103059,0,2023-08-01
3006,364000,39000,44000,0,359000,71542767,20415000,105000,435000,0,20085000,1076295,0,2023-08-02
3006,359000,10000,55000,0,314000,71542767,20085000,30000,50000,0,20065000,1045593,0,2023-08-04
3006,314000,54000,43000,0,325000,71542767,20065000,12000,57000,0,20020000,990365,0,2023-08-07
3006,325000,18000,26000,0,317000,71542767,20020000,49000,579000,0,19490000,964128,0,2023-08-08
3006,317000,25000,33000,0,309000,71542767,19490000,25000,443000,0,19072000,945810,0,2023-08-09
3006,309000,47000,66000,0,290000,71542767,19072000,189000,51000,0,19210000,939755,0,2023-08-10
