date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2023-07-17,2375,31,0,27168,30,3224,3223, ,0,2,0,27168,8,273,267
2023-07-18,2375,59,0,27168,27,3256,3224, ,0,0,0,27168,0,273,273
2023-07-19,2375,29,0,27168,30,3255,3256, ,2,10,0,27168,2,265,273
2023-07-20,2375,16,12,27168,10,3249,3255, ,0,3,0,27168,5,267,265
2023-07-21,2375,35,0,27168,79,3205,3249, ,1,9,0,27168,2,260,267
2023-07-24,2375,11,0,27168,24,3192,3205, ,4,23,0,27168,1,238,260
2023-07-25,2375,5,8,27168,3,3186,3192, ,0,1,0,27168,1,238,238
2023-07-26,2375,16,7,27168,11,3184,3186, ,1,52,0,27168,0,186,238
2023-07-27,2375,24,0,27168,42,3166,3184, ,0,99,0,27168,11,98,186
2023-07-28,2375,9,0,27168,34,3141,3166, ,0,85,0,27168,3,16,98
2023-07-31,2375,23,0,27168,59,3105,3141,X ,0,14,0,27168,0,2,16
2023-08-01,2375,16,0,27168,10,3111,3105,X ,0,2,0,27168,0,0,2
2023-08-02,2375,15,9,27168,27,3090,3111,X ,0,0,0,27168,0,0,0
2023-08-04,2375,31,0,27168,85,3036,3090, ,0,0,0,27168,0,0,0
2023-08-07,2375,7,2,27168,13,3028,3036, ,1,0,0,27168,3,3,0
2023-08-08,2375,12,0,27168,3,3037,3028, ,0,0,0,27168,2,5,3
2023-08-09,2375,13,0,27168,19,3031,3037, ,0,2,0,27168,2,5,5
2023-08-10,2375,32,0,27168,119,2944,3031, ,0,1,0,27168,2,6,5
2023-08-11,2375,8,17,27168,24,2911,2944, ,0,2,0,27168,0,4,6
2023-08-14,2375,4,10,27168,41,2864,2911, ,0,1,0,27168,2,5,4
2023-08-15,2375,3,0,27168,17,2850,2864, ,0,0,0,27168,8,13,5
2023-08-16,2375,2,4,27168,5,2843,2850, ,0,0,0,27168,76,89,13
2023-08-17,2375,20,0,27168,8,2855,2843, ,0,2,0,27168,84,171,89
2023-08-18,2375,16,0,27168,4,2867,2855, ,0,1,0,27168,34,204,171
2023-08-21,2375,5,2,27168,8,2862,2867, ,0,2,0,27168,8,210,204
2023-08-22,2375,1,0,27168,7,2856,2862, ,0,0,0,27168,8,218,210
2023-08-23,2375,1,11,27168,3,2843,2856, ,0,1,0,27168,0,217,218
2023-08-24,2375,69,0,27168,24,2888,2843, ,0,1,0,27168,4,220,217
2023-08-25,2375,1,0,27168,5,2884,2888, ,0,0,0,27168,1,221,220
2023-08-28,2375,1,9,27168,7,2869,2884, ,0,1,0,27168,0,220,221
2023-08-29,2375,10,8,27168,10,2861,2869, ,0,0,0,27168,0,220,220
2023-08-30,2375,8,0,27168,76,2793,2861, ,1,1,0,27168,1,220,220
2023-08-31,2375,33,3,27168,18,2805,2793, ,0,0,0,27168,2,222,220
2023-09-01,2375,462,0,27168,220,3047,2805, ,3,4,0,27168,7,225,222
2023-09-04,2375,316,0,27168,233,3130,3047, ,1,1,0,27168,8,232,225
2023-09-05,2375,256,1,27168,142,3243,3130, ,0,2,0,27168,3,233,232
2023-09-06,2375,43,0,27168,37,3248,3242, ,0,1,0,27168,1,233,233
2023-09-07,2375,79,8,27168,56,3263,3248, ,0,0,0,27168,2,235,233
2023-09-08,2375,90,5,27168,17,3331,3263, ,0,3,0,27168,3,235,235
2023-09-11,2375,70,0,27168,50,3351,3331, ,0,8,0,27168,0,227,235
2023-09-12,2375,80,1,27168,47,3383,3351, ,0,2,0,27168,1,226,227
2023-09-13,2375,36,0,27168,69,3350,3383, ,1,1,0,27168,0,225,226
2023-09-14,2375,87,0,27168,294,3143,3350, ,0,86,0,27168,1,140,225
2023-09-15,2375,44,0,27168,67,3120,3143, ,0,2,0,27168,0,138,140
2023-09-18,2375,50,0,27168,136,3034,3120, ,0,1,0,27168,0,137,138
2023-09-19,2375,46,4,27168,60,3016,3034, ,2,4,0,27168,1,134,137
2023-09-20,2375,18,0,27168,44,2990,3016, ,0,1,0,27168,0,133,134
2023-09-21,2375,17,0,27168,11,2996,2990, ,0,0,0,27168,0,133,133
2023-09-22,2375,19,56,27168,9,2950,2996, ,0,0,0,27168,1,134,133
2023-09-25,2375,0,0,27168,19,2931,2950, ,0,0,0,27168,0,134,134
2023-09-26,2375,41,0,27168,12,2960,2931, ,0,1,0,27168,4,137,134
2023-09-27,2375,20,0,27168,43,2937,2960, ,0,2,0,27168,0,135,137
2023-09-28,2375,24,0,27168,37,2924,2937, ,0,0,0,27168,0,135,135
2023-10-02,2375,20,0,27168,33,2911,2924, ,0,0,0,27168,0,135,135
2023-10-03,2375,7,0,27168,28,2890,2911, ,0,1,0,27168,0,134,135
2023-10-04,2375,10,0,27168,9,2891,2890, ,1,0,0,27168,1,135,134
2023-10-05,2375,9,0,27168,44,2856,2891, ,0,0,0,27168,1,136,135
2023-10-06,2375,11,0,27168,17,2850,2856, ,0,3,0,27168,0,133,136
2023-10-11,2375,20,19,27168,35,2816,2850, ,0,0,0,27168,0,133,133
2023-10-12,2375,35,0,27168,73,2778,2816, ,0,1,0,27168,3,135,133
2023-10-13,2375,170,2,27168,147,2799,2778, ,0,74,0,27168,5,66,135
2023-10-16,2375,17,0,27168,8,2808,2799, ,0,39,0,27168,0,27,66
2023-10-17,2375,63,1,27168,68,2802,2808, ,0,0,0,27168,1,28,27
2023-10-18,2375,33,0,27168,23,2812,2802, ,0,2,0,27168,0,26,28
2023-10-19,2375,28,1,27168,22,2817,2812, ,0,0,0,27168,0,26,26
2023-10-20,2375,34,1,27168,34,2816,2817, ,0,0,0,27168,2,28,26
2023-10-23,2375,4,0,27168,12,2808,2816, ,0,0,0,27168,0,28,28
2023-10-24,2375,20,0,27168,31,2797,2808, ,0,1,0,27168,0,27,28
2023-10-25,2375,20,0,27168,50,2767,2797, ,0,0,0,27168,0,27,27
2023-10-26,2375,16,0,27168,50,2733,2767, ,0,0,0,27168,1,28,27
2023-10-27,2375,3,1,27168,9,2725,2732, ,0,1,0,27168,0,27,28
2023-10-30,2375,0,0,27168,10,2715,2725, ,0,0,0,27168,0,27,27
2023-10-31,2375,12,1,27168,17,2709,2715, ,0,3,0,27168,0,24,27
2023-11-01,2375,151,0,27168,111,2749,2709, ,1,1,0,27168,0,23,24
2023-11-02,2375,50,0,27168,101,2698,2749, ,0,1,0,27168,16,38,23
2023-11-03,2375,29,0,27168,40,2687,2698, ,2,6,0,27168,0,32,38
2023-11-06,2375,25,1,27168,80,2631,2687, ,0,0,0,27168,2,34,32
2023-11-07,2375,88,0,27168,76,2643,2631, ,0,0,0,27168,2,36,34
2023-11-08,2375,38,1,27168,80,2600,2643, ,0,2,0,27168,0,34,36
2023-11-09,2375,8,0,27168,29,2579,2600, ,0,2,0,27168,1,33,34
2023-11-10,2375,5,0,27168,5,2579,2579, ,0,1,0,27168,0,32,33
2023-11-13,2375,17,2,27168,48,2546,2579, ,0,0,0,27168,0,32,32
2023-11-14,2375,10,0,27168,31,2525,2546, ,0,3,0,27168,0,29,32
2023-11-15,2375,9,0,27168,25,2509,2525, ,0,5,0,27168,3,27,29
2023-11-16,2375,20,3,27168,24,2502,2509, ,0,0,0,27168,1,28,27
2023-11-17,2375,13,0,27168,12,2502,2501, ,0,2,0,27168,0,26,28
2023-11-20,2375,237,0,27168,113,2626,2502, ,0,0,0,27168,5,31,26
2023-11-21,2375,136,0,27168,133,2629,2626, ,0,3,0,27168,4,32,31
2023-11-22,2375,64,0,27168,88,2605,2629, ,0,0,0,27168,0,32,32
2023-11-23,2375,115,0,27168,82,2638,2605, ,0,0,0,27168,0,32,32
2023-11-24,2375,879,0,27168,416,3101,2638, ,3,3,0,27168,18,47,32
2023-11-27,2375,560,0,27168,532,3129,3101, ,6,5,0,27168,5,47,47
2023-11-28,2375,270,0,27168,277,3122,3129, ,3,1,0,27168,24,70,47
2023-11-29,2375,963,0,27168,521,3564,3122, ,8,2,0,27168,8,76,70
2023-11-30,2375,305,0,27168,430,3438,3563, ,2,9,0,27168,6,73,76
2023-12-01,2375,118,0,27168,157,3399,3438, ,0,2,0,27168,1,72,73
2023-12-04,2375,211,0,27168,152,3458,3399, ,0,2,0,27168,0,70,72
2023-12-05,2375,173,0,27168,354,3277,3458, ,2,1,0,27168,4,73,70
2023-12-06,2375,211,0,27168,206,3282,3277, ,1,5,0,27168,4,72,73
2023-12-07,2375,69,5,27168,150,3196,3282, ,0,0,0,27168,3,75,72
2023-12-08,2375,259,0,27168,147,3308,3196, ,0,2,0,27168,24,97,75
2023-12-11,2375,265,0,27168,293,3280,3308, ,1,21,0,27168,0,76,97
2023-12-12,2375,72,0,27168,74,3278,3280, ,0,2,0,27168,2,76,76
2023-12-13,2375,59,3,27168,84,3250,3278, ,3,0,0,27168,0,76,76
2023-12-14,2375,185,0,27168,275,3160,3250, ,2,2,0,27168,0,74,76
2023-12-15,2375,162,0,27168,95,3227,3160, ,0,1,0,27168,0,73,74
2023-12-18,2375,132,0,27168,292,3067,3227, ,1,31,0,27168,20,62,73
2023-12-19,2375,52,0,27168,58,3061,3067, ,1,20,0,27168,5,47,62
2023-12-20,2375,29,0,27168,62,3028,3061, ,1,0,0,27168,1,48,47
2023-12-21,2375,20,0,27168,31,3017,3028, ,0,10,0,27168,0,38,48
2023-12-22,2375,22,6,27168,40,2993,3017, ,0,1,0,27168,1,38,38
2023-12-25,2375,28,15,27168,22,2984,2993, ,1,2,0,27168,1,37,38
2023-12-26,2375,18,0,27168,24,2978,2984, ,0,1,0,27168,1,37,37
2023-12-27,2375,26,0,27168,39,2965,2978, ,0,1,0,27168,1,37,37
2023-12-28,2375,32,0,27168,14,2983,2965, ,0,6,0,27168,0,31,37
2023-12-29,2375,33,0,27168,19,2996,2982, ,0,0,0,27168,1,32,31
2024-01-02,2375,28,0,27168,18,3006,2996, ,0,0,0,27168,0,32,32
2024-01-03,2375,11,0,27168,74,2943,3006, ,0,0,0,27168,0,32,32
2024-01-04,2375,42,3,27168,53,2929,2943, ,0,0,0,27168,0,32,32
2024-01-05,2375,26,0,27168,17,2938,2929, ,0,0,0,27168,0,32,32
2024-01-08,2375,17,2,27168,28,2925,2938, ,0,2,0,27168,0,30,32
2024-01-09,2375,11,0,27168,69,2867,2925, ,0,1,0,27168,6,35,30
2024-01-10,2375,15,0,27168,12,2870,2867, ,0,6,0,27168,0,29,35
2024-01-11,2375,18,1,27168,14,2873,2870, ,0,2,0,27168,4,31,29
2024-01-12,2375,40,0,27168,38,2875,2873, ,0,4,0,27168,0,27,31
2024-01-15,2375,14,2,27168,17,2870,2875, ,0,1,0,27168,0,26,27
2024-01-16,2375,38,0,27168,9,2899,2870, ,0,1,0,27168,0,25,26
2024-01-17,2375,237,0,27168,61,3075,2899, ,2,0,0,27168,0,25,25
