date,stock_id,country,revenue,revenue_month,revenue_year
2023-08-01,4722,Taiwan,283147000,7,2023
2023-09-01,4722,Taiwan,322336000,8,2023
2023-10-01,4722,Taiwan,293932000,9,2023
2023-11-01,4722,Taiwan,278809000,10,2023
2023-12-01,4722,Taiwan,347203000,11,2023
2024-01-01,4722,Taiwan,326748000,12,2023
2024-02-01,4722,Taiwan,331008000,1,2024
2024-03-01,4722,Taiwan,248615000,2,2024
2024-04-01,4722,Taiwan,328878000,3,2024
2024-05-01,4722,Taiwan,377369000,4,2024
2024-06-01,4722,Taiwan,383756000,5,2024
2024-07-01,4722,Taiwan,346281000,6,2024
2024-08-01,4722,Taiwan,343264000,7,2024
2024-09-01,4722,Taiwan,397247000,8,2024
2024-10-01,4722,Taiwan,318145000,9,2024
2024-11-01,4722,Taiwan,295922000,10,2024
2024-12-01,4722,Taiwan,294626000,11,2024
2025-01-01,4722,Taiwan,375523000,12,2024
2025-02-01,4722,Taiwan,275111000,1,2025
2025-03-01,4722,Taiwan,287888000,2,2025
2025-04-01,4722,Taiwan,353815000,3,2025
2025-05-01,4722,Taiwan,370650000,4,2025
2025-06-01,4722,Taiwan,316735000,5,2025
2025-07-01,4722,Taiwan,285664000,6,2025
2025-08-01,4722,Taiwan,347993000,7,2025
2025-09-01,4722,Taiwan,330643000,8,2025
