date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2023-07-17,2317,41502082,4572570706,110.0,111.0,109.5,110.5,1.0,17109
2023-07-18,2317,52688441,5894531944,110.5,113.5,110.0,112.0,1.5,25727
2023-07-19,2317,54967023,6055023271,113.0,113.5,108.0,108.5,-3.5,26548
2023-07-20,2317,33167955,3600029166,109.0,110.0,107.5,108.0,-0.5,13586
2023-07-21,2317,25278976,2715559372,107.0,108.5,106.5,107.5,-0.5,10913
2023-07-24,2317,19896359,2146631209,108.0,108.5,107.0,108.0,0.5,9411
2023-07-25,2317,61862737,6856399236,108.5,112.0,108.5,112.0,4.0,25155
2023-07-26,2317,30223635,3373004998,112.0,112.5,111.0,111.5,-0.5,18007
2023-07-27,2317,32278647,3590682916,112.0,113.0,110.5,110.5,-1.0,18735
2023-07-28,2317,23255646,2555161402,110.5,111.0,109.5,109.5,-1.0,15209
2023-07-31,2317,30730719,3355672410,110.5,111.0,108.5,108.5,-1.0,14355
2023-08-01,2317,24113256,2653917873,109.5,111.0,109.0,110.5,2.0,9945
2023-08-02,2317,34095728,3706374022,110.0,110.5,108.0,108.0,-2.5,20180
2023-08-04,2317,40122815,4419908982,109.0,111.0,109.0,111.0,3.0,16129
2023-08-07,2317,45621252,5055979980,112.0,112.5,109.5,109.5,-1.5,20471
2023-08-08,2317,29311389,3236790526,110.5,111.0,109.5,110.5,1.0,10143
2023-08-09,2317,20468574,2265522164,110.5,111.5,110.0,110.5,0.0,9312
2023-08-10,2317,22401300,2462848227,111.0,111.0,109.5,110.0,-0.5,9959
2023-08-11,2317,22854757,2490127311,110.0,110.5,108.5,108.5,-1.5,14053
2023-08-14,2317,30169722,3309279031,109.5,110.5,109.0,110.0,1.5,13517
2023-08-15,2317,64762274,6974932952,108.0,109.0,107.0,107.0,-3.0,36735
2023-08-16,2317,44390097,4696567368,106.5,106.5,105.0,105.5,-1.5,27924
2023-08-17,2317,24753076,2631718597,105.5,107.0,105.5,106.5,1.0,10441
2023-08-18,2317,17412067,1848910219,106.5,107.0,105.5,106.0,-0.5,11848
2023-08-21,2317,10884357,1154268088,106.5,107.0,105.5,106.0,0.0,7109
2023-08-22,2317,13225842,1408358404,106.5,107.0,106.0,106.5,0.5,6142
