date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2023-07-20,1721,議借,64,16.0,14.75,2024-01-19,183
2023-07-26,1721,競價,10,2.0,14.25,2024-01-26,184
2023-10-23,1721,議借,740,0.05,16.05,2024-04-23,183
2023-10-24,1721,競價,60,2.0,16.55,2024-04-24,183
2023-10-31,1721,議借,350,16.0,16.95,2024-04-30,182
2023-11-02,1721,競價,15,4.0,16.6,2024-05-02,182
2023-11-08,1721,議借,326,4.25,17.85,2024-05-08,182
2023-11-10,1721,競價,5,3.0,16.9,2024-05-10,182
2023-11-14,1721,競價,9,3.0,16.85,2024-05-14,182
2023-12-08,1721,競價,1,3.0,15.8,2024-06-07,182
2023-12-19,1721,議借,355,16.0,15.55,2024-06-19,183
2024-01-22,1721,競價,20,3.0,14.35,2024-07-22,182
2024-01-24,1721,競價,5,3.0,14.7,2024-07-24,182
2024-01-25,1721,競價,8,3.0,14.7,2024-07-25,182
2024-01-30,1721,競價,9,3.0,14.35,2024-07-30,182
2024-02-16,1721,競價,6,3.0,14.75,2024-08-16,182
2024-02-20,1721,競價,1,3.0,14.95,2024-08-20,182
2024-02-26,1721,競價,13,3.0,16.1,2024-08-26,182
2024-02-27,1721,競價,19,3.0,16.9,2024-08-27,182
2024-03-01,1721,議借,231,16.0,16.45,2024-08-30,182
2024-06-05,1721,議借,456,0.02,14.6,2024-12-05,183
2024-07-15,1721,議借,207,16.0,16.65,2025-01-15,184
2024-07-18,1721,議借,148,16.0,16.5,2025-01-17,183
2024-08-12,1721,議借,254,7.0,14.35,2025-02-12,184
2024-09-24,1721,競價,30,4.0,25.4,2025-03-24,181
2024-10-07,1721,議借,1568,0.02,26.25,2025-04-07,182
2024-10-11,1721,議借,1452,0.02,21.25,2025-04-11,182
2024-10-15,1721,議借,46,3.5,20.7,2025-04-15,182
2024-10-16,1721,議借,336,0.41,20.7,2025-04-16,182
2024-10-21,1721,競價,25,2.5,21.8,2025-04-21,182
2024-10-23,1721,議借,54,5.0,23.8,2025-04-23,182
2024-10-24,1721,議借,29,5.0,22.9,2025-04-24,182
2024-10-24,1721,競價,4,2.5,22.9,2025-04-24,182
2024-10-25,1721,議借,141,7.0,22.3,2025-04-25,182
2024-10-29,1721,議借,465,0.41,21.25,2025-04-29,182
2024-11-01,1721,競價,7,3.0,21.15,2025-04-30,180
2024-11-04,1721,競價,10,2.5,21.05,2025-05-02,179
2024-11-05,1721,競價,10,2.5,21.35,2025-05-05,181
2024-12-03,1721,議借,3697,0.63,18.3,2025-06-03,182
2024-12-11,1721,議借,99,0.05,17.1,2025-06-11,182
2024-12-30,1721,競價,5,2.5,15.95,2025-06-30,182
2024-12-30,1721,議借,54,0.05,15.95,2025-06-30,182
2025-01-02,1721,競價,7,2.5,16.05,2025-07-02,181
2025-01-03,1721,競價,19,3.0,15.65,2025-07-03,181
2025-01-07,1721,競價,15,2.5,15.7,2025-07-07,181
2025-01-08,1721,競價,2,2.5,15.5,2025-07-08,181
2025-01-10,1721,競價,3,2.5,15.05,2025-07-10,181
2025-01-14,1721,競價,2,2.5,15.2,2025-07-14,181
2025-03-11,1721,競價,5,3.0,15.4,2025-09-11,184
2025-03-13,1721,競價,23,3.0,14.8,2025-09-12,183
2025-03-21,1721,議借,20,0.1,15.0,2025-09-19,182
2025-06-25,1721,競價,56,1.6,11.45,2025-12-24,182
2025-07-10,1721,議借,46,7.0,11.15,2026-01-09,183
2025-07-28,1721,議借,276,7.0,12.8,2026-01-28,184
2025-08-01,1721,競價,6,2.5,12.05,2026-01-30,182
2025-08-12,1721,競價,5,3.0,13.0,2026-02-12,184
2025-08-21,1721,競價,10,1.8,13.2,2026-02-11,174
