date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2023-07-17,2431,聯昌,TW0002431004,108187688,2739326,97.53,2.46,100.0,100.0,110927014,2023-05-17,
2023-07-18,2431,聯昌,TW0002431004,108233688,2693326,97.57,2.42,100.0,100.0,110927014,2023-05-17,
2023-07-19,2431,聯昌,TW0002431004,108311688,2615326,97.64,2.35,100.0,100.0,110927014,2023-05-17,
2023-07-20,2431,聯昌,TW0002431004,108358688,2568326,97.68,2.31,100.0,100.0,110927014,2023-05-17,
2023-07-21,2431,聯昌,TW0002431004,108400688,2526326,97.72,2.27,100.0,100.0,110927014,2023-05-17,
2023-07-24,2431,聯昌,TW0002431004,108492688,2434326,97.8,2.19,100.0,100.0,110927014,2023-05-17,
2023-07-25,2431,聯昌,TW0002431004,108529688,2397326,97.83,2.16,100.0,100.0,110927014,2023-05-17,
2023-07-26,2431,聯昌,TW0002431004,108570688,2356326,97.87,2.12,100.0,100.0,110927014,2023-05-17,
2023-07-27,2431,聯昌,TW0002431004,108612688,2314326,97.91,2.08,100.0,100.0,110927014,2023-05-17,
2023-07-28,2431,聯昌,TW0002431004,108636688,2290326,97.93,2.06,100.0,100.0,110927014,2023-05-17,
2023-07-31,2431,聯昌,TW0002431004,108708688,2218326,98.0,1.99,100.0,100.0,110927014,2023-05-17,
2023-08-01,2431,聯昌,TW0002431004,108920688,2006326,98.19,1.8,100.0,100.0,110927014,2023-05-17,
2023-08-02,2431,聯昌,TW0002431004,108998688,1928326,98.26,1.73,100.0,100.0,110927014,2023-05-17,
2023-08-04,2431,聯昌,TW0002431004,109010688,1916326,98.27,1.72,100.0,100.0,110927014,2023-05-17,
2023-08-07,2431,聯昌,TW0002431004,109029688,1897326,98.28,1.71,100.0,100.0,110927014,2023-05-17,
