price,stock_id,date
36741.47,TAIEX,2023-07-18
36511.33,TAIEX,2023-07-19
36641.17,TAIEX,2023-07-20
36358.14,TAIEX,2023-07-21
36365.21,TAIEX,2023-07-24
36728.74,TAIEX,2023-07-25
36671.3,TAIEX,2023-07-26
36852.39,TAIEX,2023-07-27
36966.99,TAIEX,2023-07-28
36654.26,TAIEX,2023-07-31
36810.67,TAIEX,2023-08-01
36133.38,TAIEX,2023-08-02
36072.73,TAIEX,2023-08-04
36399.79,TAIEX,2023-08-07
36145.48,TAIEX,2023-08-08
36142.32,TAIEX,2023-08-09
35659.69,TAIEX,2023-08-10
35596.18,TAIEX,2023-08-11
35151.09,TAIEX,2023-08-14
35282.85,TAIEX,2023-08-15
35269.75,TAIEX,2023-08-16
35428.05,TAIEX,2023-08-17
35141.0,TAIEX,2023-08-18
35141.56,TAIEX,2023-08-21
35262.22,TAIEX,2023-08-22
35563.32,TAIEX,2023-08-23
35984.99,TAIEX,2023-08-24
35370.65,TAIEX,2023-08-25
35435.95,TAIEX,2023-08-28
35686.65,TAIEX,2023-08-29
35893.63,TAIEX,2023-08-30
35715.18,TAIEX,2023-08-31
35737.71,TAIEX,2023-09-01
36049.5,TAIEX,2023-09-04
36054.19,TAIEX,2023-09-05
35940.09,TAIEX,2023-09-06
35685.61,TAIEX,2023-09-07
35593.17,TAIEX,2023-09-08
35295.47,TAIEX,2023-09-11
35595.96,TAIEX,2023-09-12
35615.46,TAIEX,2023-09-13
36157.07,TAIEX,2023-09-14
36400.92,TAIEX,2023-09-15
35921.89,TAIEX,2023-09-18
35788.88,TAIEX,2023-09-19
35573.23,TAIEX,2023-09-20
35104.04,TAIEX,2023-09-21
35163.86,TAIEX,2023-09-22
35395.68,TAIEX,2023-09-25
35019.7,TAIEX,2023-09-26
35093.53,TAIEX,2023-09-27
35186.86,TAIEX,2023-09-28
35624.87,TAIEX,2023-10-02
35403.55,TAIEX,2023-10-03
35014.29,TAIEX,2023-10-04
35401.95,TAIEX,2023-10-05
35546.64,TAIEX,2023-10-06
35872.53,TAIEX,2023-10-11
36203.68,TAIEX,2023-10-12
36110.42,TAIEX,2023-10-13
35830.0,TAIEX,2023-10-16
35809.14,TAIEX,2023-10-17
35375.35,TAIEX,2023-10-18
35400.88,TAIEX,2023-10-19
35375.04,TAIEX,2023-10-20
34967.59,TAIEX,2023-10-23
35093.27,TAIEX,2023-10-24
35198.98,TAIEX,2023-10-25
34585.52,TAIEX,2023-10-26
34716.5,TAIEX,2023-10-27
34748.92,TAIEX,2023-10-30
34430.12,TAIEX,2023-10-31
34510.66,TAIEX,2023-11-01
35281.8,TAIEX,2023-11-02
35520.0,TAIEX,2023-11-03
35824.94,TAIEX,2023-11-06
35901.51,TAIEX,2023-11-07
36021.75,TAIEX,2023-11-08
36032.13,TAIEX,2023-11-09
35896.6,TAIEX,2023-11-10
36233.61,TAIEX,2023-11-13
36398.05,TAIEX,2023-11-14
36856.51,TAIEX,2023-11-15
36947.74,TAIEX,2023-11-16
37029.06,TAIEX,2023-11-17
37032.36,TAIEX,2023-11-20
37476.12,TAIEX,2023-11-21
37247.09,TAIEX,2023-11-22
37213.6,TAIEX,2023-11-23
37198.24,TAIEX,2023-11-24
36875.5,TAIEX,2023-11-27
37314.34,TAIEX,2023-11-28
37377.44,TAIEX,2023-11-29
37513.62,TAIEX,2023-11-30
37523.31,TAIEX,2023-12-01
37487.01,TAIEX,2023-12-04
37285.88,TAIEX,2023-12-05
37356.41,TAIEX,2023-12-06
37182.51,TAIEX,2023-12-07
37408.99,TAIEX,2023-12-08
37482.9,TAIEX,2023-12-11
37552.4,TAIEX,2023-12-12
37591.78,TAIEX,2023-12-13
38042.17,TAIEX,2023-12-14
38086.91,TAIEX,2023-12-15
38039.93,TAIEX,2023-12-18
37877.27,TAIEX,2023-12-19
38003.67,TAIEX,2023-12-20
37806.92,TAIEX,2023-12-21
37920.89,TAIEX,2023-12-22
37938.58,TAIEX,2023-12-25
38255.28,TAIEX,2023-12-26
38556.5,TAIEX,2023-12-27
38597.16,TAIEX,2023-12-28
38641.2,TAIEX,2023-12-29
38475.17,TAIEX,2024-01-02
37840.62,TAIEX,2024-01-03
37846.73,TAIEX,2024-01-04
37780.93,TAIEX,2024-01-05
37896.36,TAIEX,2024-01-08
37816.2,TAIEX,2024-01-09
37665.54,TAIEX,2024-01-10
37837.4,TAIEX,2024-01-11
37767.32,TAIEX,2024-01-12
37840.64,TAIEX,2024-01-15
37409.42,TAIEX,2024-01-16
37010.29,TAIEX,2024-01-17
37152.63,TAIEX,2024-01-18
38131.13,TAIEX,2024-01-19
38419.19,TAIEX,2024-01-22
38547.48,TAIEX,2024-01-23
38550.16,TAIEX,2024-01-24
38823.59,TAIEX,2024-01-25
38807.22,TAIEX,2024-01-26
39075.93,TAIEX,2024-01-29
38892.62,TAIEX,2024-01-30
38579.77,TAIEX,2024-01-31
38749.16,TAIEX,2024-02-01
38947.18,TAIEX,2024-02-02
39025.11,TAIEX,2024-02-05
40207.99,TAIEX,2024-02-15
40127.51,TAIEX,2024-02-16
40189.07,TAIEX,2024-02-19
40442.16,TAIEX,2024-02-20
40276.45,TAIEX,2024-02-21
40657.0,TAIEX,2024-02-22
40735.52,TAIEX,2024-02-23
40862.45,TAIEX,2024-02-26
40660.52,TAIEX,2024-02-27
40902.82,TAIEX,2024-02-29
40836.31,TAIEX,2024-03-01
41632.9,TAIEX,2024-03-04
41808.91,TAIEX,2024-03-05
42051.58,TAIEX,2024-03-06
42470.1,TAIEX,2024-03-07
42668.07,TAIEX,2024-03-08
