price,stock_id,date
381.64,TPEx,2023-07-18
381.6,TPEx,2023-07-19
384.56,TPEx,2023-07-20
382.41,TPEx,2023-07-21
380.15,TPEx,2023-07-24
382.84,TPEx,2023-07-25
377.2,TPEx,2023-07-26
381.44,TPEx,2023-07-27
384.92,TPEx,2023-07-28
381.39,TPEx,2023-07-31
379.0,TPEx,2023-08-01
370.68,TPEx,2023-08-02
373.25,TPEx,2023-08-04
375.39,TPEx,2023-08-07
371.81,TPEx,2023-08-08
370.14,TPEx,2023-08-09
362.48,TPEx,2023-08-10
362.05,TPEx,2023-08-11
353.79,TPEx,2023-08-14
356.98,TPEx,2023-08-15
357.61,TPEx,2023-08-16
362.5,TPEx,2023-08-17
358.71,TPEx,2023-08-18
359.01,TPEx,2023-08-21
357.79,TPEx,2023-08-22
358.95,TPEx,2023-08-23
360.45,TPEx,2023-08-24
358.82,TPEx,2023-08-25
357.82,TPEx,2023-08-28
361.13,TPEx,2023-08-29
365.94,TPEx,2023-08-30
368.36,TPEx,2023-08-31
369.06,TPEx,2023-09-01
371.48,TPEx,2023-09-04
373.57,TPEx,2023-09-05
374.09,TPEx,2023-09-06
372.92,TPEx,2023-09-07
370.46,TPEx,2023-09-08
366.72,TPEx,2023-09-11
368.28,TPEx,2023-09-12
371.82,TPEx,2023-09-13
378.08,TPEx,2023-09-14
378.61,TPEx,2023-09-15
376.86,TPEx,2023-09-18
373.9,TPEx,2023-09-19
370.12,TPEx,2023-09-20
365.09,TPEx,2023-09-21
368.67,TPEx,2023-09-22
371.41,TPEx,2023-09-25
366.83,TPEx,2023-09-26
367.51,TPEx,2023-09-27
368.5,TPEx,2023-09-28
373.27,TPEx,2023-10-02
371.36,TPEx,2023-10-03
369.68,TPEx,2023-10-04
373.54,TPEx,2023-10-05
373.43,TPEx,2023-10-06
370.05,TPEx,2023-10-11
374.59,TPEx,2023-10-12
373.92,TPEx,2023-10-13
371.1,TPEx,2023-10-16
370.41,TPEx,2023-10-17
365.68,TPEx,2023-10-18
368.85,TPEx,2023-10-19
366.29,TPEx,2023-10-20
364.51,TPEx,2023-10-23
367.99,TPEx,2023-10-24
371.33,TPEx,2023-10-25
363.55,TPEx,2023-10-26
366.4,TPEx,2023-10-27
368.63,TPEx,2023-10-30
362.55,TPEx,2023-10-31
366.32,TPEx,2023-11-01
370.97,TPEx,2023-11-02
372.06,TPEx,2023-11-03
378.08,TPEx,2023-11-06
379.57,TPEx,2023-11-07
380.13,TPEx,2023-11-08
379.75,TPEx,2023-11-09
376.76,TPEx,2023-11-10
377.6,TPEx,2023-11-13
378.88,TPEx,2023-11-14
381.33,TPEx,2023-11-15
383.15,TPEx,2023-11-16
385.23,TPEx,2023-11-17
386.43,TPEx,2023-11-20
387.8,TPEx,2023-11-21
390.88,TPEx,2023-11-22
