pillar,column,exists,missing_rate
tech,score_tech_ret_5d,False,1.0
tech,score_tech_ret_20d,True,0.0
tech,score_tech_rsi14,True,0.0
tech,score_tech_breakout_20d,False,1.0
tech,score_tech_turnover_rate_20d,False,1.0
chip,score_chip_inst_net_buy_5d_ratio,False,1.0
chip,score_chip_inst_consistency_20d,False,1.0
chip,score_chip_margin_short_ratio_5d,False,1.0
chip,score_chip_borrow_balance_chg_5d,False,1.0
fund,score_fund_revenue_yoy,True,1.0
fund,score_fund_gross_margin_ttm,False,1.0
fund,score_fund_roe_ttm,False,1.0
fund,score_fund_op_margin_ttm,False,1.0
risk,score_risk_volatility_20d,False,1.0
risk,score_risk_drawdown_60d,False,1.0
