date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,ret_1d,ret_5d,ret_20d,sma20,sma20_gap_pct,sma60,sma60_gap_pct,sma120,sma120_gap_pct,rsi14,rolling_vol_20d,vol_mult_20d,taiex_ret_20d,excess_ret_20d,net_Dealer_Hedging_5d,net_Dealer_self_5d,net_Foreign_Dealer_Self_5d,net_Foreign_Investor_5d,net_Investment_Trust_5d,net_Dealer_Hedging_20d,net_Dealer_self_20d,net_Foreign_Dealer_Self_20d,net_Foreign_Investor_20d,net_Investment_Trust_20d,chip_net5_sum,chip_net20_sum,foreign_ratio,foreign_ratio_5d_chg,foreign_ratio_20d_chg,margin_delta_row_sum,margin_delta_5d_sum,margin_delta_20d_sum,revenue_yoy,revenue_mom,pe,pb,dividend_yield,stock_name,industry_category
2024-09-23,2308,5102479,1997787898,392.5,393.5,389.0,390.5,3.5,4436,,,,390.5,0.0,390.5,0.0,390.5,0.0,,,1.0,0.0081355562400007,,32809.0,94100.0,0.0,1092483.0,-97000.0,32809.0,94100.0,0.0,1092483.0,-97000.0,1122392.0,1122392.0,34.86,,,34,34.0,34.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-09-24,2308,3933449,1546680723,390.5,397.0,387.0,397.0,6.5,4926,0.0166453265044814,,,393.75,0.825396825396818,393.75,0.825396825396818,393.75,0.825396825396818,,,0.8706242457885898,0.0109248794267478,,84268.0,152175.0,0.0,1810757.0,-320444.0,84268.0,152175.0,0.0,1810757.0,-320444.0,1726756.0,1726756.0,34.83,,,-57,-23.0,-23.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-09-25,2308,8739750,3482627343,395.0,401.5,395.0,398.0,1.0,9129,0.0025188916876575,,,395.1666666666667,0.716997047659218,395.1666666666667,0.716997047659218,395.1666666666667,0.716997047659218,,0.009988897852965924,1.4750070292677444,0.0281654438804175,,203896.0,493275.0,0.0,-215069.0,-345859.0,203896.0,493275.0,0.0,-215069.0,-345859.0,136243.0,136243.0,34.89,,,-7,-30.0,-30.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-09-26,2308,7688086,3052648330,394.0,399.0,394.0,396.0,-2.0,7114,-0.0050251256281407,,,395.375,0.15807777426493086,395.375,0.15807777426493086,395.375,0.15807777426493086,,0.011000582208284124,1.2076904262857604,0.0239948818498758,,375197.0,972575.0,0.0,-2294739.0,39270.0,375197.0,972575.0,0.0,-2294739.0,39270.0,-907697.0,-907697.0,34.95,,,198,168.0,168.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-09-27,2308,10223004,4098055175,398.0,404.0,397.5,400.0,4.0,8959,0.0101010101010101,,,396.3,0.9336361342417332,396.3,0.9336361342417332,396.3,0.9336361342417332,,0.009377248319055898,1.4323241600360113,0.0300546565458266,,526182.0,1396339.0,0.0,-1417378.0,-81108.0,526182.0,1396339.0,0.0,-1417378.0,-81108.0,424035.0,424035.0,34.91,,,325,493.0,493.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-09-30,2308,8858681,3422312606,389.5,395.0,380.5,380.5,-19.5,11650,-0.0487499999999999,-0.0256081946222791,,393.6666666666667,-3.344623200677399,393.6666666666667,-3.344623200677399,393.6666666666667,-3.344623200677399,,0.025822032689836162,1.1932102424200506,4.6092056442015306e-05,,247291.0,1090408.0,0.0,-4348066.0,-155486.0,280100.0,1184508.0,0.0,-3255583.0,-252486.0,-3165853.0,-2043461.0,35.01,0.14999999999999858,,-91,368.0,402.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-10-01,2308,5988958,2295918032,379.5,388.0,379.5,384.5,4.0,5757,0.0105124835742445,-0.0314861460957178,,392.35714285714283,-2.0025486983433427,392.35714285714283,-2.0025486983433427,392.35714285714283,-2.0025486983433427,,0.023937895540953765,0.8295873740044085,0.0089812776522577,,179789.0,983420.0,0.0,-3611335.0,-257732.0,264057.0,1135595.0,0.0,-1800578.0,-578176.0,-2705858.0,-979102.0,34.95,0.12000000000000455,,-59,366.0,343.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-10-04,2308,19998727,7389963712,372.0,376.5,366.0,366.0,-18.5,26214,-0.048114434330299,-0.0804020100502512,,389.0625,-5.92771084337349,389.0625,-5.92771084337349,389.0625,-5.92771084337349,,0.02787364840044923,2.268293026650425,0.0115027351834295,,37779.0,86121.0,0.0,-9261295.0,-494761.0,241675.0,579396.0,0.0,-9476364.0,-840620.0,-9632156.0,-9495913.0,35.25,0.35999999999999943,,424,797.0,767.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-10-07,2308,16223402,5987231615,371.5,377.5,363.5,372.5,6.5,15544,0.0177595628415301,-0.0593434343434343,,387.22222222222223,-3.8020086083213833,387.22222222222223,-3.8020086083213833,387.22222222222223,-3.8020086083213833,,0.027470189103574762,1.682992714231928,0.0783993399908371,,11559.0,-160140.0,0.0,-8110471.0,-3436390.0,386756.0,812435.0,0.0,-10405210.0,-3397120.0,-11695442.0,-12603139.0,35.29,0.3399999999999963,,89,688.0,856.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-10-08,2308,10805050,4068450479,371.0,382.0,370.0,382.0,9.5,8893,0.0255033557046979,-0.045,,386.7,-1.2154124644427222,386.7,-1.2154124644427222,386.7,-1.2154124644427222,,0.02770179379316657,1.1075106958593315,0.0691161866505856,,-110059.0,-709854.0,0.0,-6435123.0,-3486535.0,416123.0,686485.0,0.0,-7852501.0,-3567643.0,-10741571.0,-10317536.0,35.2,0.29000000000000625,,-331,32.0,525.0,,,52.79,10.87,0.79,台達電,電子零組件業
2024-10-09,2308,9432998,3610184958,387.0,387.5,379.0,381.5,-0.5,8296,-0.0013089005235602,0.002628120893561,,386.22727272727275,-1.2239613981405273,386.22727272727275,-1.2239613981405273,386.22727272727275,-1.2239613981405273,,0.026118682623819445,0.9697965459634854,0.0589955204939467,,-59733.0,-696123.0,0.0,-2702092.0,-3502846.0,220367.0,488385.0,0.0,-5957675.0,-3755332.0,-6960794.0,-9004255.0,35.13,0.12000000000000455,,13,136.0,538.0,,,52.79,10.87,0.79,台達電,電子零組件業
